,Total (N.º),"Sex, M, Total (N.º)","Sex, M, New recipients (N.º)","Sex, F, Total (N.º)","Sex, F, New recipients (N.º)","Age, Under 25 years , New recipients (N.º)","Age, 25-29 years, New recipients (N.º)","Age, 30-39  years, New recipients (N.º)","Age, 40-49 years , New recipients (N.º)","Age, 50-54 years , New recipients (N.º)","Age, 55 years and over, New recipients (N.º)"
Portugal,434212,193504,112742,240708,130349,32630,54807,105083,104702,44007,92983
Continente,413066,183037,107928,230029,125401,31096,51997,99911,99706,41562,88794
Norte,155241,67794,37745,87447,46475,11308,17971,34771,36850,16406,37935
Alto Minho,7987,3627,2272,4360,2726,758,1068,2009,1994,729,1429
Arcos de Valdevez,512,204,135,308,202,64,73,119,127,37,92
Caminha,586,249,140,337,193,33,82,160,146,55,110
Melgaço,106,41,27,65,39,9,17,30,25,9,16
Monção,456,161,103,295,159,35,50,129,115,34,93
Paredes de Coura,401,201,126,200,116,57,55,97,95,33,64
Ponte da Barca,271,108,74,163,108,31,39,63,71,23,44
Ponte de Lima,1368,594,392,774,539,198,198,310,312,128,222
Valença,669,279,179,390,260,57,80,179,177,68,108
Viana do Castelo,3244,1631,1000,1613,971,241,420,832,847,303,601
Vila Nova de Cerveira,374,159,96,215,139,33,54,90,79,39,79
Cávado,14758,6082,3437,8676,4891,1041,1794,3451,3556,1431,3485
Amares,642,224,128,418,233,52,79,150,164,65,132
Barcelos,3742,1622,891,2120,1248,239,424,729,881,417,1052
Braga,7753,3177,1853,4576,2575,550,960,1989,1912,699,1643
Esposende,1019,418,232,601,321,62,118,219,246,105,269
Terras de Bouro,302,119,59,183,70,20,36,63,65,31,87
Vila Verde,1300,522,274,778,444,118,177,301,288,114,302
Ave,20672,8201,4510,12471,6274,1360,1998,4125,4836,2404,5949
Cabeceiras de Basto,508,224,126,284,168,46,69,118,123,43,109
Fafe,2603,953,463,1650,846,142,239,531,630,300,761
Guimarães,8453,3351,1797,5102,2431,483,787,1665,1936,1023,2559
Mondim de Basto,137,68,31,69,37,7,13,36,29,15,37
Póvoa de Lanhoso,811,348,177,463,231,49,90,173,191,90,218
Vieira do Minho,484,203,98,281,116,28,51,99,120,54,132
Vila Nova de Famalicão,6233,2513,1513,3720,1955,519,651,1213,1478,698,1674
Vizela,1443,541,305,902,490,86,98,290,329,181,459
A. M. Porto,83104,37438,20812,45666,24192,6369,9864,19112,19637,8671,19451
Arouca,622,228,119,394,191,60,77,139,162,51,133
Espinho,1282,610,320,672,344,97,171,300,285,126,303
Gondomar,8327,3964,2113,4363,2269,686,1066,1958,1863,867,1887
Maia,6235,2767,1629,3468,1869,439,694,1487,1519,695,1401
Matosinhos,8525,4208,2265,4317,2272,609,990,1937,2070,851,2068
Oliveira de Azeméis,2955,1177,740,1778,1059,281,351,664,672,302,685
Paredes,3850,1507,861,2343,1247,309,456,886,887,407,905
Porto,10360,5017,2894,5343,2993,750,1443,2653,2330,967,2217
Póvoa de Varzim,2807,1285,678,1522,771,170,309,629,719,304,676
Santa Maria da Feira,6389,2686,1530,3703,1936,525,723,1385,1420,706,1630
Santo Tirso,3295,1276,680,2019,1009,220,301,606,767,362,1039
São João da Madeira,1405,620,372,785,451,110,161,320,323,158,333
Trofa,2202,791,442,1411,758,200,244,452,543,222,541
Vale de Cambra,581,181,99,400,211,35,76,152,144,40,134
