,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Portugal,9676,1205,8471,18988,12499,2364,16624
Continente,9740,1226,8515,19026,12525,2394,16632
Norte,8670,962,7708,17383,11651,1930,15454
Alto Minho,7927,740,7187,15737,11061,1469,14268
Arcos de Valdevez,6585,523,6062,13350,9805,1061,12289
Caminha,8632,957,7676,16445,11100,1822,14622
Melgaço,6375,534,5841,13657,10152,1145,12512
Monção,6877,583,6295,14328,10433,1214,13114
Paredes de Coura,7122,501,6621,13893,10537,978,12915
Ponte da Barca,6782,495,6286,13203,9665,965,12239
Ponte de Lima,6983,526,6457,14459,10514,1089,13370
Valença,7636,582,7055,14387,10899,1096,13291
Viana do Castelo,9218,992,8226,17932,12371,1930,16002
Vila Nova de Cerveira,8131,743,7389,15981,11561,1459,14522
Cávado,8576,898,7678,17375,11827,1820,15555
Amares,7193,581,6612,15093,10999,1219,13874
Barcelos,7333,592,6741,15146,10941,1223,13923
Braga,10164,1247,8918,19871,13314,2437,17434
Esposende,8569,939,7630,17130,11373,1877,15253
Terras de Bouro,6359,452,5907,13305,9905,946,12358
Vila Verde,6325,457,5868,14022,10368,1012,13009
Ave,8112,712,7400,15861,11360,1392,14469
Cabeceiras de Basto,5974,428,5546,13484,9636,965,12519
Fafe,7322,569,6754,14371,10303,1116,13255
Guimarães,8708,818,7889,16441,11631,1545,14895
Mondim de Basto,5319,358,4961,12576,9190,846,11730
Póvoa de Lanhoso,6147,435,5713,13772,10251,973,12798
Vieira do Minho,6089,449,5640,13339,9736,984,12355
Vila Nova de Famalicão,8684,791,7893,16776,12148,1528,15248
Vizela,7729,554,7175,14832,11115,1063,13769
A. M. Porto,9831,1250,8581,19131,12529,2433,16698
Arouca,7050,533,6517,14459,10611,1093,13365
Espinho,10147,1269,8878,18675,12175,2336,16338
Gondomar,8551,849,7702,17085,12088,1696,15389
Maia,10536,1395,9140,21541,14476,2853,18688
Matosinhos,10933,1541,9392,21376,14006,3012,18363
Oliveira de Azeméis,9061,887,8174,17201,12204,1684,15517
Paredes,6582,493,6089,13744,10004,1029,12716
Porto,14458,2748,11710,24966,13918,4745,20221
Póvoa de Varzim,8666,947,7719,17061,11284,1864,15197
Santa Maria da Feira,8200,772,7428,16497,11694,1554,14943
Santo Tirso,8444,756,7689,16095,11600,1440,14655
São João da Madeira,9729,1061,8668,17615,11875,1922,15694
Trofa,8537,795,7742,16655,12191,1551,15104
Vale de Cambra,8871,833,8038,17146,12193,1610,15536
Valongo,8500,835,7665,17353,12439,1705,15648
Vila do Conde,9058,992,8065,17924,12190,1964,15960
Vila Nova de Gaia,9692,1205,8487,19120,12770,2377,16743
Alto Tâmega,6475,587,5888,14438,9902,1308,13130
Boticas,5713,387,5327,12673,9306,857,11815
Chaves,7231,753,6478,16267,10828,1694,14573
Montalegre,6274,532,5743,13015,9285,1103,11911
