,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Portugal,7328,10034,14634,23570,559634,1524344,859597,799804,956156,542238
Continente,7339,10041,14646,23578,532739,1457470,821559,767423,914702,517722
Norte,7115,9523,13626,21742,202071,566138,293487,271281,298287,151264
Alto Minho,6581,9229,12695,20295,15042,37967,20145,16923,18245,7877
Arcos de Valdevez,5475,8593,10949,17192,1741,3825,1695,1370,1234,468
Caminha,6180,9151,12766,20527,1188,2620,1409,1216,1247,653
Melgaço,5796,8878,11501,17458,584,1374,631,568,466,167
Monção,5999,9020,11718,18599,1296,2951,1531,1153,1183,471
Paredes de Coura,6411,9153,11862,18331,552,1570,826,615,638,181
Ponte da Barca,5564,8514,10687,17301,948,2226,931,709,679,257
Ponte de Lima,6682,9154,11900,18625,2476,7258,3532,2901,2821,1009
Valença,6621,9185,12264,19093,897,2360,1326,1045,1103,321
Viana do Castelo,7280,10050,14440,23118,4768,12461,7423,6652,8083,4065
Vila Nova de Cerveira,6815,9656,13280,20933,592,1322,841,694,791,285
Cávado,7332,9642,13886,21974,21273,63176,32571,31012,34510,16946
Amares,6952,9248,12521,19392,1001,2920,1580,1324,1299,512
Barcelos,7260,9164,12626,19264,5724,20411,9514,9110,8618,2960
Braga,7780,10518,15786,25070,9235,25395,14682,14435,18531,10969
Esposende,6999,9310,13327,21394,1986,5636,2703,2543,2819,1379
Terras de Bouro,5883,8711,11324,17393,489,1099,527,426,384,126
Vila Verde,6540,8996,11790,18187,2838,7715,3565,3174,2859,1000
Ave,7433,9387,13131,20016,21214,72180,36119,34719,33336,13277
Cabeceiras de Basto,6047,8537,11084,17580,1003,2727,1058,971,874,306
Fafe,6590,8900,11794,18134,3155,9116,4064,3737,3147,1323
Guimarães,7784,9555,13435,20280,7219,27520,13939,13769,12993,5358
Mondim de Basto,5852,8400,10336,16517,450,1256,418,377,335,110
Póvoa de Lanhoso,6523,8919,11649,17838,1292,3545,1627,1434,1286,401
Vieira do Minho,5826,8595,11075,17669,834,2086,839,725,706,229
