,"Quintiles of gross reported income less personal income paid tax by taxable person, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, 32 500 € or more, No."
Portugal,5725,8480,11070,16248,1126708,2767776,1345574,1014714,834569,233731
Continente,5744,8482,11079,16237,1071218,2648755,1288826,973255,795110,223669
Norte,5284,7939,10055,14485,458613,1062627,441467,297353,231966,58927
Alto Minho,4903,7475,9623,13444,34441,70040,28977,18040,12528,2404
Arcos de Valdevez,4255,6334,8726,11697,4046,6414,2116,1221,767,123
Caminha,4790,7416,9675,13995,2529,4808,1933,1276,984,270
Melgaço,4372,6820,8962,12003,1339,2401,774,509,292,32
Monção,4535,6853,9153,12320,2944,5362,1976,1131,755,116
Paredes de Coura,4713,6761,9121,11902,1448,2907,1123,522,312,51
Ponte da Barca,4256,6312,8762,11497,2260,3588,1143,673,424,64
Ponte de Lima,4695,7046,9140,12060,6579,13311,4806,2590,1540,289
Valença,5184,7689,9646,12733,1847,4355,1953,1076,537,79
Viana do Castelo,5490,8347,10688,15295,10251,24294,11822,8256,6481,1292
Vila Nova de Cerveira,5215,7902,10135,13594,1198,2600,1331,786,436,88
Cávado,5457,8140,10094,14458,48293,122284,50631,33716,26344,5999
Amares,4967,7294,9187,12602,2575,5882,2105,1289,761,103
Barcelos,5301,7742,9231,12354,14449,39954,14357,7845,4364,851
Braga,6046,8754,11409,17085,18192,49649,24641,18700,17277,4304
Esposende,5123,7846,9830,14160,4679,10347,4109,2760,2132,528
Terras de Bouro,4299,6540,8701,11667,1176,1947,660,373,218,25
Vila Verde,4664,6901,8878,11881,7222,14505,4759,2749,1592,188
Ave,5581,7937,9501,12903,48519,146371,54763,30778,20006,3982
Cabeceiras de Basto,4297,6428,8509,11504,2747,4664,1401,831,482,69
Fafe,4892,7122,8860,11919,7377,17518,5038,2929,2140,334
Guimarães,5936,8178,9631,13034,15740,57462,21484,11559,7988,1874
Mondim de Basto,4173,6010,8400,10832,1265,1930,502,307,199,21
Póvoa de Lanhoso,4509,6931,8832,11649,3370,6581,2143,1162,659,84
Vieira do Minho,4306,6288,8593,11589,2202,3434,1140,635,398,47
Vila Nova de Famalicão,5984,8336,10111,13701,13350,45130,19876,11828,7291,1370
Vizela,5873,8040,9153,11877,2468,9652,3179,1527,849,183
A. M. Porto,5738,8400,10930,16009,190736,484610,230701,166590,138456,40829
Arouca,4761,6951,8969,11943,3299,7135,2321,1338,795,114
Espinho,5621,8268,10610,16038,3485,9136,3914,2729,2525,708
