," Sujeito passivo, Rendimento bruto declarado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P90/P10), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P90/P10), N.º"
Portugal,41.7,3.2,6.5,36.5,2.8,5.5
Continente,41.7,3.2,6.5,36.4,2.8,5.4
Norte,40.9,3,6.3,36,2.7,5.4
Alto Minho,39.1,2.9,6.3,35,2.7,5.5
Arcos de Valdevez,39.1,2.9,6.9,35.7,2.7,6.2
Caminha,42.3,3.2,7.6,37.6,2.9,6.6
Melgaço,38.1,3,6.9,34.5,2.7,6.2
Monção,38.9,2.9,7.1,35.3,2.7,6.3
Paredes de Coura,35.9,2.6,5.2,32.6,2.5,4.8
Ponte da Barca,38.6,2.8,6.7,35.4,2.7,6.1
Ponte de Lima,36.9,2.7,5.3,33.3,2.6,4.8
Valença,34.9,2.6,5.2,31.7,2.5,4.8
Viana do Castelo,39.3,3.1,6.2,34.8,2.8,5.3
Vila Nova de Cerveira,37.6,2.8,5.7,33.7,2.6,5.2
Cávado,39.6,2.9,5.9,34.9,2.6,5.1
Amares,36.7,2.7,5.4,32.9,2.5,4.8
Barcelos,35.2,2.5,4.6,31.3,2.3,4.1
Braga,40.8,3.2,6.5,35.7,2.8,5.5
Esposende,41,3,6.2,36,2.8,5.4
Terras de Bouro,37.4,2.9,6.3,34.2,2.7,5.7
Vila Verde,36.1,2.7,5.5,32.8,2.5,5
Ave,36.3,2.5,4.9,32,2.3,4.3
Cabeceiras de Basto,37.9,2.8,6.3,34.5,2.7,5.7
Fafe,37.2,2.6,5.5,33.4,2.4,5
Guimarães,36.5,2.3,4.7,31.8,2.2,4.1
Mondim de Basto,37.4,2.8,6.1,34.3,2.6,5.6
Póvoa de Lanhoso,36.4,2.7,5.7,33,2.6,5.2
Vieira do Minho,37.8,2.9,6.1,34.4,2.7,5.5
Vila Nova de Famalicão,35.6,2.5,4.8,31.2,2.3,4.2
Vizela,32.3,2.1,3.9,28.5,2,3.5
A. M. Porto,41.9,3.1,6.4,36.5,2.8,5.4
Arouca,36.1,2.6,5,32.5,2.5,4.5
Espinho,41.8,3.1,6.6,36.6,2.9,5.6
Gondomar,37.9,2.9,5.7,33.6,2.7,4.9
Maia,40.3,3.3,6.5,35.2,2.9,5.4
