,"Quintis do rendimento bruto declarado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
Portugal,7377,10406,15525,26100,552757,1426310,836441,778203,921349,726713
Continente,7389,10424,15551,26137,526081,1362508,798617,746818,881331,696260
Norte,7163,9814,14277,23604,199917,532247,290822,267126,288231,204185
Alto Minho,6605,9525,13277,21751,14862,35527,20232,16770,17957,10851
Arcos de Valdevez,5483,8617,11377,18018,1720,3578,1769,1383,1199,684
Caminha,6225,9401,13440,22385,1172,2485,1366,1184,1256,870
Melgaço,5914,8891,12000,18779,572,1293,649,538,482,256
Monção,6072,9050,12159,19731,1280,2769,1527,1172,1170,667
Paredes de Coura,6433,9263,12290,19248,547,1479,846,611,644,255
Ponte da Barca,5611,8532,11033,18031,937,2096,958,715,684,360
Ponte de Lima,6707,9224,12287,19554,2455,6822,3635,2883,2824,1378
Valença,6684,9496,12764,20247,880,2193,1356,1045,1110,468
Viana do Castelo,7338,10418,15272,25265,4712,11592,7288,6534,7800,5526
Vila Nova de Cerveira,6981,10009,13932,22348,587,1220,838,705,788,387
Cávado,7362,9952,14537,23698,21007,59342,32539,30371,33407,22822
Amares,6994,9539,13001,20434,987,2746,1587,1327,1299,690
Barcelos,7305,9463,13129,20230,5658,19198,9707,9111,8574,4089
Braga,7810,10912,16742,27854,9117,23712,14402,13883,17567,14566
Esposende,7034,9600,13956,22995,1954,5318,2689,2502,2711,1892
Terras de Bouro,5895,8780,11669,18394,483,1057,518,426,390,177
Vila Verde,6584,9032,12262,19124,2808,7311,3636,3122,2866,1408
Ave,7465,9703,13634,21149,21006,67601,36722,34863,32610,18043
Cabeceiras de Basto,6116,8561,11465,18342,994,2618,1067,965,840,455
Fafe,6603,8930,12214,18884,3120,8694,4114,3749,3102,1763
Guimarães,7800,9890,13954,21354,7145,25718,14183,13794,12751,7207
Mondim de Basto,5875,8400,10599,17348,441,1216,427,356,356,150
Póvoa de Lanhoso,6540,8945,12121,18551,1274,3368,1651,1451,1280,561
Vieira do Minho,5870,8600,11449,18615,825,1980,846,713,723,332
Vila Nova de Famalicão,7879,10322,14594,22801,6112,19708,12281,11527,11753,6797
Vizela,7800,9539,13321,19320,1095,4299,2153,2308,1805,778
A. M. Porto,7479,10463,15465,26084,92062,239736,144467,133267,154071,122966
Arouca,6838,9222,12582,19612,1169,3494,1762,1555,1441,716
Espinho,7457,10290,14870,25516,1634,4485,2777,2364,2552,2217
Gondomar,7352,10211,14726,24003,8916,23208,14220,12687,14685,9268
Maia,8181,11712,18187,30867,6006,15551,10166,10098,13367,12476
Matosinhos,8009,11442,17364,29625,8322,21056,13737,13814,17045,15468
Oliveira de Azeméis,7882,10496,14569,23492,2972,9899,6554,5568,6276,3530
Paredes,6082,8737,11817,18659,6196,14399,6666,5949,5320,2686
Porto,7307,11066,18090,34810,14045,29998,16905,16054,20853,27198
Póvoa de Varzim,6649,9438,13943,23315,4012,9771,4846,4637,4984,3570
Santa Maria da Feira,7363,10010,13990,22619,7023,20497,12536,10672,11514,6643
Santo Tirso,7818,9996,13725,21184,3024,11283,6799,6116,5406,3121
São João da Madeira,7503,10174,14384,23872,1206,3500,2193,1766,1990,1418
Trofa,7856,10426,14564,22715,1794,5543,3662,3294,3532,1842
Vale de Cambra,7820,10507,14773,23703,933,3110,2102,1791,1967,1150
Valongo,7529,10468,15250,24639,5058,12633,8075,7445,8799,5508
Vila do Conde,7306,10119,14973,24481,4119,11709,6395,6306,6941,4826
Vila Nova de Gaia,7591,10670,15743,26273,15633,39600,25072,23151,27399,21329
Alto Tâmega,5748,8674,11891,20140,6062,13487,5809,4904,5202,3239
Boticas,5508,8400,10703,17120,381,881,358,286,245,116
Chaves,6082,9167,13507,23327,2522,5428,2540,2274,2778,1948
Montalegre,5449,8375,10853,17922,780,1621,651,523,488,297
Ribeira de Pena,5905,8607,11096,17220,424,1037,492,362,291,160
Valpaços,5414,8095,10430,17073,1185,2544,959,738,744,333
Vila Pouca de Aguiar,6022,8668,11621,18756,770,1976,809,721,656,385
Tâmega e Sousa,6320,8701,11708,18207,26554,72209,30601,29240,24075,11796
Amarante,5958,8620,11511,19107,3763,9007,3679,3247,3075,1905
Baião,6246,8677,11551,17879,1050,2937,1291,1149,1010,359
Castelo de Paiva,6782,9042,12020,18372,897,2711,1296,1163,1006,361
Celorico de Basto,5759,8425,10809,16821,1189,3091,1193,1068,818,375
Cinfães,5428,8108,10257,16176,1405,3209,1179,967,786,371
Felgueiras,7002,8919,11999,18294,3137,10809,4582,4538,3614,1629
Lousada,6616,8724,12031,18168,2958,8670,3523,3874,2967,1282
Marco de Canaveses,5748,8491,11378,17723,3650,8227,3617,3139,2635,1351
Paços de Ferreira,6705,8711,11852,17728,3275,10173,4242,4555,3109,1529
Penafiel,6522,8954,12363,19491,4355,11668,5383,5085,4611,2387
Resende,4927,8033,10080,16490,875,1707,616,455,444,247
Douro,6180,9011,12887,22149,11762,28151,12989,11054,12525,8794
Alijó,5668,8400,11130,18335,806,1985,762,650,650,315
Armamar,5850,8502,11474,18379,378,840,381,322,276,171
Carrazeda de Ansiães,5749,8410,11348,18940,392,898,373,297,310,176
Freixo de Espada à Cinta,6188,8892,11998,19001,//,//,//,//,//,//
Lamego,6298,9155,13163,23471,1499,3728,1695,1437,1723,1322
Mesão Frio,5689,8532,10801,17557,267,677,293,198,206,96
Moimenta da Beira,6237,9096,13123,21054,554,1200,607,559,587,331
Murça,5459,8399,11266,18869,423,878,365,301,311,168
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,6180,8927,12597,21343,974,2395,1116,918,980,681
Sabrosa,6180,8889,12038,18569,344,934,467,387,344,168
Santa Marta de Penaguião,5390,7751,10200,16833,598,1282,447,375,348,172
São João da Pesqueira,5519,8348,11183,18241,512,1108,484,368,379,201
Sernancelhe,6338,8695,11133,17832,298,841,357,305,259,123
Tabuaço,5748,8559,11521,18248,322,731,323,270,245,136
Tarouca,6315,8944,12202,19721,412,1018,428,413,421,199
Torre de Moncorvo,6059,8890,12298,19878,456,1126,549,463,469,241
Vila Nova de Foz Côa,5707,8635,12224,19821,494,1037,476,425,418,234
Vila Real,7192,10339,16364,28718,2612,6426,3421,2960,4238,3894
Terras de Trás-os-Montes,6344,9267,13699,23510,6602,16194,7463,6657,8384,5674
Alfândega da Fé,5849,8616,11339,18947,310,781,314,270,245,173
Bragança,7170,10482,16802,27846,1931,4244,2394,2144,3361,2548
Macedo de Cavaleiros,5830,8616,11860,20549,1009,2342,909,840,860,596
Miranda do Douro,6540,9501,14495,22917,387,998,485,468,586,324
Mirandela,6508,9353,13868,23449,1236,3172,1455,1349,1614,1119
Mogadouro,6256,8794,12353,21064,509,1459,586,518,583,363
Vila Flor,5999,8685,11695,18979,412,978,418,367,346,197
Vimioso,5977,8568,11682,19347,310,745,301,259,277,146
Vinhais,6004,8511,11210,18590,498,1475,601,442,512,208
Centro,7556,10405,15204,24942,107101,308253,185813,169486,199557,134872
Oeste,7256,10089,14638,23934,19101,52877,30655,27738,31835,20520
Alcobaça,7683,10202,14365,22650,2457,8221,5065,4551,4843,2545
Alenquer,7802,10778,15644,25164,2006,5863,3807,3535,4311,2651
Arruda dos Vinhos,8217,11782,18201,30714,542,1582,1038,1048,1368,1246
Bombarral,6858,9583,13488,21998,694,1914,1065,931,955,557
Cadaval,6834,9603,13971,22207,708,1959,1017,996,1028,578
Caldas da Rainha,7000,9822,14390,23963,3092,7744,4294,3777,4438,3148
Lourinhã,6775,9635,13829,22845,1571,3922,2127,1926,2078,1351
Nazaré,6658,9682,13745,21925,988,2343,1321,1234,1304,684
Óbidos,6964,9797,14157,22960,669,1735,974,864,980,612
Peniche,7242,10030,14361,23249,1423,3880,2253,2068,2331,1348
Sobral de Monte Agraço,7457,10280,15387,25164,506,1478,809,779,939,661
Torres Vedras,7252,10038,14744,24725,4445,12236,6885,6029,7260,5139
Região de Aveiro,7587,10557,15412,25456,18413,49556,31441,28295,34006,23647
Águeda,7812,10262,14452,23512,2021,7082,4381,3690,4234,2460
Albergaria-a-Velha,7786,10585,15030,23734,1147,3416,2199,2112,2380,1254
Anadia,7045,9859,13970,22895,1514,4319,2471,2167,2368,1413
Aveiro,8127,11673,18249,31280,3790,9401,6369,5966,8183,7829
Estarreja,7367,10436,14896,24011,1353,3602,2310,2099,2487,1397
Ílhavo,7542,10860,16208,26919,2150,4841,3187,2995,3750,2837
Murtosa,5850,9380,13798,22974,779,1274,731,656,764,510
Oliveira do Bairro,7347,10074,14625,23496,1098,3265,1855,1604,2065,1132
Ovar,7725,10647,15248,24940,2706,7413,4995,4517,5064,3434
Sever do Vouga,7258,10053,13869,22279,573,1668,1069,872,985,475
Vagos,6816,9649,13429,21552,1282,3275,1874,1617,1726,906
Região de Coimbra,7840,10833,16411,27243,19821,57623,34948,33015,41527,32391
Arganil,7047,9255,12827,19535,556,1908,883,868,779,336
Cantanhede,6780,9786,14100,23441,2011,4844,2827,2377,2847,1740
Coimbra,8486,12500,20197,35251,5642,15714,10426,10476,14663,16430
Condeixa-a-Nova,8312,11758,17865,29162,676,1855,1203,1273,1658,1319
Figueira da Foz,7980,11202,17124,28353,2765,7399,4844,4383,6066,4703
Góis,7064,9456,12929,19419,194,656,329,309,284,114
Lousã,7647,10500,15861,24509,805,2217,1279,1298,1651,897
Mealhada,7955,10868,15865,25462,874,2562,1710,1559,1984,1200
Mira,6739,9618,13754,22692,695,1741,971,863,884,602
Miranda do Corvo,7609,10234,14616,22625,503,1695,1020,948,1084,485
Montemor-o-Velho,8187,11042,15957,24990,865,3212,2078,2012,2528,1330
Mortágua,7200,9819,13430,21054,480,1347,835,684,740,334
Oliveira do Hospital,7299,9384,13059,20191,867,3255,1552,1490,1434,653
Pampilhosa da Serra,7326,9564,13347,19836,127,621,308,305,273,110
Penacova,6838,9606,13277,20795,715,2187,1184,1054,1168,407
Penela,6700,9220,12957,21237,296,944,407,386,433,208
Soure,8062,10867,15662,24754,710,2293,1567,1397,1777,951
Tábua,6619,9082,11919,18535,637,2048,902,855,718,321
Vila Nova de Poiares,6738,9364,12901,20979,403,1125,623,478,556,251
Região de Leiria,7908,10837,15670,25404,12933,37521,24977,23363,27537,17490
Alvaiázere,6770,9059,12262,19081,305,1086,476,451,388,198
Ansião,7069,9517,13055,20620,559,1889,986,864,842,440
Batalha,7918,10747,15465,24832,693,2100,1365,1264,1566,877
Castanheira de Pêra,//,//,//,//,//,//,//,//,//,//
Figueiró dos Vinhos,6770,9059,12137,19577,312,980,460,387,382,189
Leiria,8227,11418,16861,27652,5585,15456,10839,10426,13006,9578
Marinha Grande,8358,11728,16866,26888,1763,4633,3564,3655,4368,2777
Pedrógão Grande,6583,8871,11645,18578,//,//,//,//,//,//
Pombal,7636,10360,14493,22700,2425,6767,4557,3991,4481,2180
Porto de Mós,7916,10302,14490,22881,965,3404,2159,1869,2083,1066
Viseu Dão Lafões,7396,10117,14767,24156,11645,33768,19533,17290,20477,13162
Aguiar da Beira,6840,9259,12692,18804,250,722,357,362,284,125
Carregal do Sal,7466,9713,13301,20772,408,1269,719,629,609,328
Castro Daire,6154,8680,11292,17936,803,2223,964,825,698,339
Mangualde,7676,10317,15093,23262,769,2431,1498,1414,1636,773
Nelas,7421,10055,14518,23309,602,1869,1080,932,1140,609
Oliveira de Frades,7395,9880,13390,21564,461,1408,897,689,781,344
Penalva do Castelo,6534,9194,12529,19804,375,1069,560,453,489,187
Santa Comba Dão,7324,9800,13714,21865,495,1637,909,796,857,459
São Pedro do Sul,6815,9366,12760,20318,778,2351,1214,1028,1015,553
Sátão,6462,9174,12881,20473,648,1644,805,732,770,380
Tondela,7722,10342,14216,22439,1073,3511,2376,1993,2146,1077
Vila Nova de Paiva,6650,9138,12779,20707,225,628,290,252,296,140
Viseu,7928,11044,17212,28793,4338,11587,7057,6517,9006,7547
Vouzela,7303,9690,13352,20979,420,1419,807,668,750,301
Beira Baixa,7642,10326,15051,24525,3703,11599,6776,6035,7452,4641
Castelo Branco,8061,10960,16500,26883,2314,6841,4340,3922,5314,3678
Idanha-a-Nova,7097,9263,12591,19649,408,1538,744,617,664,245
Oleiros,6780,9101,12278,18845,246,862,418,351,294,164
Penamacor,7016,9346,12520,19132,231,749,427,341,311,132
Proença-a-Nova,6864,9360,13326,21305,378,1136,548,512,540,284
Vila Velha de Ródão,8001,10541,14953,23070,126,473,299,292,329,138
Médio Tejo,7493,10240,14713,23978,11111,33088,20070,17809,20342,12778
Abrantes,7652,10320,14530,23874,1531,5126,3258,2705,2947,2026
Alcanena,7339,9830,13291,20926,687,2099,1322,1069,1096,472
Constância,8241,10963,16599,25840,145,534,318,314,409,241
Entroncamento,8505,12678,19801,31737,860,1986,1457,1522,2285,1917
Ferreira do Zêzere,6849,9427,12904,19802,421,1257,705,575,620,212
Mação,7477,9703,13171,20456,275,1074,604,493,464,259
Ourém,7200,9958,14022,22326,2338,6423,3859,3387,3807,1952
Sardoal,7190,9556,13213,21092,196,612,353,294,272,172
Sertã,6537,8903,11940,18952,790,2610,1141,998,930,444
Tomar,7200,10076,14609,24265,2050,5345,3106,2819,3193,2204
Torres Novas,7955,10870,15687,25860,1441,4645,3093,2782,3315,2259
Vila de Rei,7386,9495,13684,19995,120,538,242,272,247,90
Vila Nova da Barquinha,8568,11775,17375,28504,257,839,612,579,757,530
Beiras e Serra da Estrela,7201,9761,13928,22454,10374,32221,17413,15941,16381,10243
Almeida,6625,9762,14284,22237,339,917,465,476,562,250
Belmonte,7438,9504,13484,20120,297,959,486,524,423,212
Celorico da Beira,6817,9476,13386,20305,339,974,499,517,461,213
Covilhã,7681,10009,14083,22836,2090,7384,4216,3711,3748,2573
Figueira de Castelo Rodrigo,6180,8753,11782,18918,339,969,397,356,314,197
Fornos de Algodres,7037,9350,12876,19200,206,616,332,314,269,107
Fundão,7140,9620,13558,21240,1381,4146,2240,2104,2023,1105
Gouveia,6780,9265,12628,19889,640,2041,971,870,794,477
Guarda,7905,11177,17188,28421,1699,4844,2973,2979,3832,3041
Manteigas,7170,9337,12209,18501,143,562,301,253,195,91
Mêda,6332,9060,12436,19100,268,722,363,318,282,146
Pinhel,6214,8891,12267,19812,533,1470,654,584,605,288
Sabugal,6540,9409,12725,20019,657,1549,905,748,733,358
