,"Quintis do rendimento bruto declarado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
Portugal,5751,8573,11630,18253,1108912,2607703,1255700,977809,903641,469307
Continente,5768,8576,11651,18266,1053943,2493123,1200943,939121,862624,451079
Norte,5326,8030,10462,15938,452216,1007291,419466,292617,254578,124785
Alto Minho,4945,7574,9974,14543,33928,66215,28036,18165,14472,5614
Arcos de Valdevez,4282,6398,8836,12433,3985,6090,2127,1258,905,322
Caminha,4816,7525,10052,15319,2498,4547,1881,1208,1126,540
Melgaço,4400,6885,9061,12995,1316,2270,778,494,372,117
Monção,4577,6939,9308,13245,2902,5050,1973,1119,936,304
Paredes de Coura,4756,6814,9266,12575,1434,2762,1108,585,359,115
Ponte da Barca,4282,6372,8847,12081,2232,3401,1150,703,506,160
Ponte de Lima,4729,7116,9262,12810,6492,12744,4696,2692,1842,649
Valença,5245,7778,10047,13681,1805,4069,1942,1146,679,206
Viana do Castelo,5534,8400,11191,16977,10091,22835,11136,8111,7214,3009
Vila Nova de Cerveira,5238,7995,10554,14700,1173,2447,1245,849,533,192
Cávado,5483,8220,10472,15847,47591,116187,48391,32764,29038,13296
Amares,5007,7374,9482,13440,2539,5578,2084,1274,954,286
Barcelos,5348,7808,9515,13149,14250,38013,14027,8137,5424,1969
Braga,6100,8830,11972,19376,17931,46888,23162,17410,18071,9301
Esposende,5194,7945,10186,15417,4583,9892,3896,2730,2350,1104
Terras de Bouro,4326,6577,8851,12468,1160,1878,620,405,272,64
Vila Verde,4682,6970,8960,12586,7128,13938,4602,2808,1967,572
Ave,5614,8007,9806,13831,47906,139104,53459,31237,23523,9190
Cabeceiras de Basto,4308,6476,8566,12160,2732,4482,1336,873,576,195
Fafe,4918,7177,8926,12605,7273,16844,5005,2892,2434,888
Guimarães,5969,8240,9941,13986,15555,54666,20969,11805,9041,4071
Mondim de Basto,4199,6053,8410,11588,1256,1826,526,294,258,64
Póvoa de Lanhoso,4540,7004,8925,12320,3333,6278,2128,1198,828,234
Vieira do Minho,4308,6328,8670,12323,2167,3252,1129,674,495,139
Vila Nova de Famalicão,6016,8400,10484,14853,13156,42522,19193,11936,8823,3215
Vizela,5902,8092,9378,12573,2434,9234,3173,1565,1068,384
A. M. Porto,5755,8481,11470,17992,187841,456627,215316,162382,147999,81757
Arouca,4784,7023,9076,12660,3255,6844,2268,1367,947,321
Espinho,5684,8382,11098,17898,3419,8624,3760,2592,2594,1508
Gondomar,5568,8340,10974,16153,19088,44764,21768,15647,12707,4546
Maia,6520,9490,13389,21227,11667,30021,16917,15295,15204,7853
Matosinhos,6379,9216,12912,20949,15446,41122,21668,18279,17965,11110
Oliveira de Azeméis,5950,8400,10883,15255,6806,20478,10148,6971,4488,1645
Paredes,4382,6747,8771,12424,15570,25516,8837,4992,3801,1221
Porto,6419,9692,15045,27652,20910,47274,22843,20910,26689,25291
Póvoa de Varzim,5015,7716,10221,15814,9017,17701,6884,5150,4619,2124
Santa Maria da Feira,5501,8036,10388,14732,16221,41041,18692,11842,8632,3332
Santo Tirso,5759,7996,9911,14093,7144,24143,9102,5505,4072,1607
São João da Madeira,6029,8525,11079,16581,2200,6598,3202,2058,1812,848
Trofa,5805,8384,10621,14791,4096,11712,5712,3692,2437,846
Vale de Cambra,5748,8292,10913,15380,2270,6459,3222,2170,1459,573
Valongo,5779,8480,11281,16556,10212,25042,12755,9596,7754,2582
Vila do Conde,5589,8252,10793,16254,9213,22940,9821,7204,6051,2877
Vila Nova de Gaia,5860,8630,11720,18259,31307,76348,37717,29112,26768,13473
Alto Tâmega,4201,6274,8870,13406,16140,21823,7427,5155,4287,1735
Boticas,4022,5951,8400,11253,1008,1430,402,237,171,56
Chaves,4524,7081,9909,15596,6189,9202,3649,2757,2505,1116
Montalegre,3824,5800,8403,12303,2004,2422,793,513,407,134
Ribeira de Pena,4193,5967,8428,11961,1240,1632,522,327,216,76
Valpaços,3651,5431,7779,11272,3358,3916,1089,685,451,166
Vila Pouca de Aguiar,4200,6180,8498,12420,2341,3221,972,636,537,187
Tâmega e Sousa,4482,6703,8642,11922,71387,131516,38074,22494,16190,5355
Amarante,4300,6370,8655,12569,9993,15242,4546,2938,2527,947
Baião,4333,6131,8408,11711,3227,5209,1505,1007,519,147
Castelo de Paiva,4611,6745,8792,11637,2645,5147,1633,881,543,135
Celorico de Basto,4242,6197,8400,11183,3205,5142,1290,785,558,177
Cinfães,3847,5459,7752,10802,4014,4987,1229,754,554,151
Felgueiras,5015,7360,8873,11903,8107,20732,5937,3221,2194,788
Lousada,4698,7102,8675,11763,7759,16611,4804,2704,1811,480
Marco de Canaveses,4240,6180,8400,11703,9397,14669,4166,2575,1823,579
Paços de Ferreira,4675,7010,8568,11569,9169,19498,5071,2915,2101,683
Penafiel,4665,7034,8960,12665,11466,21792,7226,4294,3235,1141
Resende,3514,5230,7693,11104,2405,2487,667,420,325,127
Douro,4524,6869,9479,14701,30481,48173,17577,12410,11305,4894
Alijó,4200,6083,8419,11989,2119,3243,954,597,460,127
Armamar,4278,6164,8426,12012,977,1529,428,289,199,80
Carrazeda de Ansiães,4200,6136,8465,12624,1031,1470,421,335,240,76
Freixo de Espada à Cinta,4730,6780,8947,12627,//,//,//,//,//,//
Lamego,4550,6999,9770,15493,4077,6195,2287,1729,1621,812
Mesão Frio,4179,5807,8400,11655,794,1056,336,211,114,45
Moimenta da Beira,4424,6839,9034,13241,1454,2370,864,501,465,141
Murça,4030,5866,8360,12277,1138,1456,453,285,247,62
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,4561,6809,9287,14432,2478,4072,1376,1069,925,318
Sabrosa,4567,6566,8804,12285,922,1743,554,363,222,72
Santa Marta de Penaguião,3561,5640,7890,11155,1540,2000,524,351,233,66
São João da Pesqueira,4003,5912,8348,11914,1382,1854,585,332,271,106
Sernancelhe,4324,6356,8537,11477,939,1418,459,224,144,75
Tabuaço,4199,5978,8348,11770,941,1263,389,198,190,67
Tarouca,4445,6638,8954,12778,1112,1818,573,402,298,80
Torre de Moncorvo,4456,6556,9030,13278,1225,1902,728,436,348,140
Vila Nova de Foz Côa,4282,6605,8891,13269,1196,1759,647,428,321,112
Vila Real,5353,8430,11861,19658,6083,11243,5391,4334,4776,2431
Terras de Trás-os-Montes,4697,7219,10031,15623,16942,27646,11186,8010,7764,2944
Alfândega da Fé,4295,6015,8438,12788,910,1259,361,249,233,77
Bragança,5596,8746,12034,19224,3902,7599,4293,3201,3429,1442
Macedo de Cavaleiros,4200,6222,8750,13656,2799,3709,1152,849,806,313
Miranda do Douro,5015,7438,9873,14944,958,1972,756,499,523,119
Mirandela,4682,7201,9992,15623,3362,5414,2147,1645,1498,555
Mogadouro,4500,6605,9053,13586,1510,2421,809,514,478,205
Vila Flor,4238,6069,8513,12595,1185,1685,471,363,238,106
Vimioso,4290,6306,8696,12923,832,1235,409,274,193,63
Vinhais,4441,6141,8474,12127,1484,2352,788,416,366,64
Centro,5731,8444,11200,16685,237967,593422,287934,212817,173873,74548
Oeste,5661,8400,11025,16325,39659,97955,47077,34049,27530,10929
Alcobaça,5951,8407,10800,15049,5244,15944,7898,5061,3569,1234
Alenquer,6180,8915,11770,16755,3985,11159,6439,4994,3573,1222
Arruda dos Vinhos,6617,9575,13343,21053,1085,3107,1772,1553,1598,738
Bombarral,5215,7769,10250,14848,1581,3458,1526,1039,730,313
Cadaval,5192,7696,10249,15086,1665,3635,1505,1194,770,272
Caldas da Rainha,5568,8396,11067,16995,5814,13679,6313,4514,4130,1904
Lourinhã,5134,7800,10369,15625,3462,7119,3011,2187,1793,742
Nazaré,5305,7953,10422,14725,1989,4354,2102,1331,939,345
Óbidos,5320,8001,10568,15767,1459,3226,1456,982,833,342
Peniche,5577,8166,10490,15500,3001,7745,3336,2393,1871,646
Sobral de Monte Agraço,5951,8716,11577,17689,1013,2634,1315,1067,886,355
Torres Vedras,5595,8400,11173,16995,9361,21895,10404,7734,6838,2816
Região de Aveiro,5821,8631,11515,17035,38978,94382,50294,37044,30010,13452
Águeda,5920,8470,10877,15327,4635,13753,6945,4537,3114,1250
Albergaria-a-Velha,5869,8504,11103,15412,2623,6895,3701,2619,1749,525
Anadia,5400,8004,10498,15366,3470,8050,3564,2643,1855,738
Aveiro,6717,9836,13744,22015,6801,16971,10450,9105,9274,5381
Estarreja,5562,8433,11190,15679,3086,6840,3826,2796,1869,653
Ílhavo,6070,8950,12104,18506,3932,9297,5256,4084,3665,1653
Murtosa,4430,7443,10318,15419,1644,2314,1111,800,705,248
Oliveira do Bairro,5584,8389,10815,15219,2565,6110,3249,2032,1529,491
Ovar,5915,8580,11383,16652,5673,14768,7808,5585,4359,1889
Sever do Vouga,5308,7773,10324,14380,1435,3325,1570,1023,705,182
Vagos,4968,7693,10090,14195,3114,6059,2814,1820,1186,442
Região de Coimbra,5971,8759,11810,18328,43157,112464,56078,43457,38688,20581
Arganil,5119,7382,9186,12783,1454,3711,1175,747,495,142
Cantanhede,5084,7725,10459,15351,4704,9153,4192,3152,2197,865
