,Total de despesas em atividades e equipamentos desportivos (Euros),"Despesas correntes , Total (Euros)","Despesas correntes , das quais, Atividades desportivas  (Euros)","Despesas correntes , das quais, Associações desportivas (Euros)","Despesas correntes , das quais, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, Total, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, das quais, Atividades desportivas  (Euros)","Despesas de capital, das quais, Associações desportivas (Euros)","Despesas de capital, das quais, Construção e manutenção de infraestruturas desportivas (Euros)"
Portugal,301008387,226647768,85214334,63864185,45608851,74360619,6426983,9158411,30369293
Continente,292524592,220139389,83735245,60941465,45209725,72385203,6367983,8775261,30043805
Norte,102276340,76784527,34763161,24103734,6543069,25491813,1235255,3162719,10281039
Alto Minho,9117985,5909432,1843735,2833654,977077,3208553,15802,725264,261882
Arcos de Valdevez,1984846,971616,133996,270489,443260,1013230,0,176589,136748
Caminha,404315,290873,211378,79495,0,113442,0,0,57891
Melgaço,91970,91970,27970,64000,0,0,0,0,0
Monção,852915,806746,312242,422232,28563,46169,0,0,46169
Paredes de Coura,347120,296013,34549,80100,169116,51107,0,51107,0
Ponte da Barca,88700,88700,0,82500,6200,0,0,0,0
Ponte de Lima,2055142,583907,0,178831,329938,1471235,0,0,21074
Valença,915133,899331,530543,368788,0,15802,15802,0,0
Viana do Castelo,2072158,1574590,429715,1144875,0,497568,0,497568,0
Vila Nova de Cerveira,305686,305686,163342,142344,0,0,0,0,0
Cávado,11841547,11069792,9735243,1092049,0,771755,51043,433721,32859
Amares,182692,182692,182692,0,0,0,0,0,0
Barcelos,1974210,1359397,795695,459388,0,614813,0,328904,32859
Braga,8360924,8309881,8309881,0,0,51043,51043,0,0
Esposende,781868,749569,446975,301226,0,32299,0,31217,0
Terras de Bouro,35750,35750,0,35750,0,0,0,0,0
Vila Verde,506103,432503,0,295685,0,73600,0,73600,0
Ave,10043492,8665523,4515440,2459616,1433405,1377969,789032,314506,172091
Cabeceiras de Basto,95600,95600,23800,71800,0,0,0,0,0
Fafe,1311770,1254270,484403,523740,219672,57500,0,57500,0
Guimarães,3172790,2179738,1630290,549448,0,993052,789032,0,110825
Mondim de Basto,74500,69100,0,69100,0,5400,0,5400,0
Póvoa de Lanhoso,908184,870763,118502,179396,388004,37421,0,0,30703
Vieira do Minho,176065,167509,0,167509,0,8556,0,0,6129
Vila Nova de Famalicão,3787270,3762836,2237091,700016,825729,24434,0,0,24434
Vizela,517313,265707,21354,198607,0,251606,0,251606,0
A. M. Porto,46268437,34413497,13464127,10258096,2084091,11854940,53042,1190699,6035792
Arouca,2265171,977160,87951,110550,622935,1288011,0,3000,345616
Espinho,221885,221885,132185,89700,0,0,0,0,0
Gondomar,4469417,3387814,1498877,765277,133504,1081603,0,0,40270
Maia,5817068,4752553,1654459,1628333,637454,1064515,0,25000,987939
Matosinhos,13145424,9725159,5549326,3856197,0,3420265,0,710351,1866909
Oliveira de Azeméis,1019145,434204,13606,397098,22489,584941,0,0,211122
Paredes,2120553,490217,221482,268735,0,1630336,0,0,1630336
Porto,6092318,5838149,1173370,0,0,254169,0,0,254169
Póvoa de Varzim,2665567,1667833,613307,967526,0,997734,0,0,0
Santa Maria da Feira,388868,337985,337985,0,0,50883,50883,0,0
Santo Tirso,410049,410049,264049,115500,15500,0,0,0,0
São João da Madeira,1108106,1082462,713892,342926,25644,25644,0,0,25644
Trofa,128375,54058,984,48198,4876,74317,0,0,74317
Vale de Cambra,778439,688258,176613,75922,390520,90181,1159,0,42467
Valongo,1383758,1033327,984791,0,48509,350431,1000,0,322279
Vila do Conde,1087425,1087425,41250,906350,139825,0,0,0,0
Vila Nova de Gaia,3166869,2224959,0,685784,42835,941910,0,452348,234724
Alto Tâmega,5128423,3640050,1549068,1037650,213489,1488373,76506,80963,256826
Boticas,362700,250700,137000,19200,61000,112000,74000,0,0
Chaves,1390299,773009,426759,346250,0,617290,2506,21463,76960
Montalegre,575963,551363,256038,295325,0,24600,0,0,0
Ribeira de Pena,977851,284000,464,87700,143943,693851,0,59500,179866
Valpaços,628798,620583,501374,119209,0,8215,0,0,0
Vila Pouca de Aguiar,1192812,1160395,227433,169966,8546,32417,0,0,0
Tâmega e Sousa,10514762,6901598,1728851,4070013,566793,3613164,242980,89084,2355680
Amarante,2150335,810250,247520,402412,104212,1340085,0,57084,1058025
Baião,247960,241695,9370,93200,80020,6265,4190,0,2075
Castelo de Paiva,207691,207691,127971,78470,0,0,0,0,0
Celorico de Basto,1079317,937100,275343,257697,122786,142217,0,0,0
Cinfães,105278,105278,105278,0,0,0,0,0,0
Felgueiras,750155,0,0,0,0,750155,0,0,750155
Lousada,596040,252488,29060,199790,23638,343552,0,0,343552
Marco de Canaveses,614873,491616,53304,347055,16983,123257,0,32000,16983
Paços de Ferreira,2000926,2000926,85647,1909739,0,0,0,0,0
Penafiel,2092847,1378250,760000,618250,0,714597,238790,0,0
Resende,669340,476304,35358,163400,219154,193036,0,0,184890
Douro,5212117,3570253,1008565,1193155,1084822,1641864,6850,323482,901131
Alijó,265493,265493,261993,3500,0,0,0,0,0
Armamar,255478,255478,160790,32729,61959,0,0,0,0
Carrazeda de Ansiães,148884,148884,0,6560,80731,0,0,0,0
Freixo de Espada à Cinta,171318,171318,171318,0,0,0,0,0,0
Lamego,218620,218620,0,185594,17323,0,0,0,0
Mesão Frio,19500,19500,0,19500,0,0,0,0,0
Moimenta da Beira,393635,364510,216180,142800,4185,29125,0,0,29125
Murça,48650,48650,0,43067,3867,0,0,0,0
Penedono,141243,141243,29218,112025,0,0,0,0,0
Peso da Régua,233000,233000,0,233000,0,0,0,0,0
Sabrosa,121007,26849,14849,12000,0,94158,0,0,88992
Santa Marta de Penaguião,284627,247478,0,89337,99755,37149,0,0,37149
São João da Pesqueira,51661,26820,26820,0,0,24841,0,0,24841
Sernancelhe,454496,160241,36871,0,119419,294255,0,0,96122
Tabuaço,136073,46550,0,46550,0,89523,0,0,0
Tarouca,363696,310868,60215,65950,123764,52828,6850,0,12141
Torre de Moncorvo,221150,57905,0,55405,0,163245,0,80000,0
Vila Nova de Foz Côa,111102,111102,0,49500,43587,0,0,0,0
