,"Cinema, Spectators per inhabitant, No., 2020","Cinema, Occupancy rate, %, 2020","Art facilities, Rooms average capacity  , No., 2019","Live shows, Spectators per inhabitant, No., 2020","Live shows, Mean value of tickets sold, €, 2020","Periodical publications , Ratio of copies offered, %, 2020"
Portugal,0.4,7.1,440,0.2,17.8,25.5
Continente,0.4,7.2,439.4,0.2,18,26.6
Norte,0.3,7.6,426.4,0.2,13.3,28.1
Alto Minho,0.1,7.3,674.8,0.2,6.6,8.3
Arcos de Valdevez,x,x,234,0.2,9.8,//
Caminha,x,x,//,0.4,10,//
Melgaço,x,x,//,0,//,//
Monção,x,x,//,0.1,4.7,…
Paredes de Coura,x,x,325.5,0.4,//,…
Ponte da Barca,x,x,//,0,//,…
Ponte de Lima,x,x,305,0.3,5.9,…
Valença,x,x,//,0.1,//,//
Viana do Castelo,x,x,1052,0.2,5.9,14.8
Vila Nova de Cerveira,x,x,//,0.6,//,…
Cávado,0.5,7.5,364.1,0.1,9.9,24.6
Amares,x,x,//,0,//,…
Barcelos,x,x,125.5,ә,4.6,…
Braga,x,x,482.6,0.2,10.8,25.5
Esposende,x,x,226,…,…,…
Terras de Bouro,x,x,150,…,…,…
Vila Verde,x,x,//,0,//,…
Ave,0.2,4.7,1188.7,0.6,7.8,26.2
Cabeceiras de Basto,x,x,//,0,//,…
Fafe,x,x,1312.7,…,…,6.4
Guimarães,x,x,2593.3,0.1,8.3,28.8
Mondim de Basto,x,x,100,0,//,//
Póvoa de Lanhoso,x,x,120,0.1,//,…
Vieira do Minho,x,x,254,0,//,…
Vila Nova de Famalicão,x,x,222.7,1.6,5.1,//
Vizela,x,x,//,…,…,…
A. M. Porto,0.5,8,356.5,0.3,14.4,28.1
Arouca,x,x,204,ә,//,…
Espinho,x,x,200,…,…,66.9
Gondomar,x,x,872.5,0.1,36,70.7
Maia,x,x,//,0.1,5,…
Matosinhos,x,x,151,0.1,7,1.7
Oliveira de Azeméis,x,x,482.5,ә,//,1.8
Paredes,x,x,216,…,…,26.7
Porto,x,x,404.6,1.5,15.2,27.4
Póvoa de Varzim,x,x,206.8,0.1,8,5.5
Santa Maria da Feira,x,x,//,0.2,8.2,12.4
Santo Tirso,x,x,250,0.1,4,3.7
São João da Madeira,x,x,595.5,0.4,11.1,13.1
Trofa,x,x,//,0,//,…
Vale de Cambra,x,x,151,0,//,//
Valongo,x,x,301,ә,8.1,…
Vila do Conde,x,x,230.5,0.1,13.3,42.8
Vila Nova de Gaia,x,x,330,0.1,7,76.9
Alto Tâmega,ә,19.4,170.2,0.2,3.6,14.1
Boticas,x,x,130,0,//,…
Chaves,x,x,153.7,…,…,18.9
Montalegre,x,x,//,0,//,…
Ribeira de Pena,x,x,180,0,//,//
Valpaços,x,x,250,0,//,//
Vila Pouca de Aguiar,x,x,//,…,…,//
Tâmega e Sousa,0.1,8.8,202.4,ә,3.7,75.3
Amarante,x,x,123,ә,//,//
Baião,x,x,//,0,//,…
Castelo de Paiva,x,x,//,…,…,//
Celorico de Basto,x,x,//,0,//,//
Cinfães,x,x,//,…,…,…
Felgueiras,x,x,283,0.2,3.4,…
Lousada,x,x,200,0,//,…
Marco de Canaveses,x,x,//,0,//,…
Paços de Ferreira,x,x,//,0,//,…
Penafiel,x,x,//,0,//,…
Resende,x,x,//,0,//,…
Douro,0.3,6.4,350.1,0.1,8,6.9
Alijó,x,x,248,0,//,//
Armamar,x,x,//,0,//,//
Carrazeda de Ansiães,x,x,//,0,//,…
Freixo de Espada à Cinta,x,x,//,0,//,//
Lamego,x,x,804.5,0.1,7.7,…
Mesão Frio,x,x,103,0,//,//
Moimenta da Beira,x,x,//,…,…,…
Murça,x,x,193,0,//,//
Penedono,x,x,283.3,0,//,//
Peso da Régua,x,x,//,…,…,…
Sabrosa,x,x,215,0,//,//
Santa Marta de Penaguião,x,x,213,0,//,//
São João da Pesqueira,x,x,400,0.1,//,//
Sernancelhe,x,x,150,…,…,//
Tabuaço,x,x,//,0,//,//
Tarouca,x,x,196,0,//,…
Torre de Moncorvo,x,x,198.5,0,//,//
Vila Nova de Foz Côa,x,x,//,0,//,…
Vila Real,x,x,359.8,0.2,8.1,…
Terras de Trás-os-Montes,ә,13.5,247.4,0.2,5.3,30.6
Alfândega da Fé,x,x,213,0,//,//
Bragança,x,x,161.5,0.1,5.5,…
Macedo de Cavaleiros,x,x,302,0,//,…
Miranda do Douro,x,x,60,0,//,//
Mirandela,x,x,//,0,//,…
Mogadouro,x,x,525,0,//,//
Vila Flor,x,x,250,…,…,//
Vimioso,x,x,200,…,…,//
Vinhais,x,x,//,1.6,5,//
Centro,0.2,5.6,376.6,0.2,9.2,21
Oeste,0.2,7.5,584.2,0.1,8.5,18.4
Alcobaça,x,x,311,0.1,7.6,9.3
Alenquer,x,x,//,ә,//,…
Arruda dos Vinhos,x,x,1555.5,ә,2,…
Bombarral,x,x,//,ә,//,//
Cadaval,x,x,//,0,//,//
Caldas da Rainha,x,x,//,…,…,…
Lourinhã,x,x,118,0,//,…
Nazaré,x,x,365,0,//,//
Óbidos,x,x,350,…,…,//
Peniche,x,x,//,0.3,//,…
Sobral de Monte Agraço,x,x,219,0.1,5.1,//
Torres Vedras,x,x,434,0.1,10.2,…
