,"Publications, Total (N.º)","Publications, of which, Newspapers (N.º)","Publications, of which, Magazines (N.º)","Publications, of which, In both paper and electronic support  (N.º)","Editions, of which, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, of which, Newspapers (N.º)","Total circulation, of which, Magazines (N.º)","Sold copies, Total, Magazines (N.º)","Sold copies, of which, Newspapers (N.º)","Sold copies, of which, Magazines (N.º)"
Portugal,886,350,410,467,18051,162693064,102524592,55455129,121250426,85831060,33404319
Continente,833,329,396,432,15153,154164414,94382691,55099752,113149215,77858871,33281797
Norte,223,111,90,104,4574,35878221,24907731,9004319,25809108,22007437,1974699
Alto Minho,14,12,1,3,283,425733,…,…,390251,…,…
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0
Monção,1,1,0,0,…,…,…,0,…,…,0
Paredes de Coura,2,2,0,0,…,…,…,0,…,…,0
Ponte da Barca,1,1,0,0,…,…,…,0,…,…,0
Ponte de Lima,1,1,0,0,…,…,…,0,…,…,0
Valença,0,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,7,5,1,2,129,188537,…,…,160543,…,…
Vila Nova de Cerveira,2,2,0,1,…,…,…,0,…,…,0
Cávado,35,12,16,10,999,4856454,2362636,…,3660298,1321090,…
Amares,2,1,1,1,…,…,…,…,…,…,…
Barcelos,2,2,0,1,…,…,…,0,…,…,0
Braga,27,6,15,5,879,4581224,2120206,…,3412944,1089120,…
Esposende,2,2,0,2,…,…,…,0,…,…,0
Terras de Bouro,1,0,0,0,…,…,0,0,…,0,0
Vila Verde,1,1,0,1,…,…,…,0,…,…,0
Ave,19,12,3,8,334,407000,358134,3866,300234,294991,3017
Cabeceiras de Basto,2,2,0,0,…,…,…,0,…,…,0
Fafe,3,2,0,1,76,77700,…,0,72750,…,0
Guimarães,11,6,3,6,164,169500,129634,3866,120683,115440,3017
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,0,…,…,0,0,…,0,0
Vieira do Minho,1,1,0,0,…,…,…,0,…,…,0
Vila Nova de Famalicão,0,0,0,0,0,0,0,0,0,0,0
Vizela,1,1,0,1,…,…,…,0,…,…,0
A. M. Porto,118,44,68,71,2253,28647437,20329650,8262862,20602430,19179019,1378151
Arouca,2,2,0,2,…,…,…,0,…,…,0
Espinho,3,3,0,1,147,305670,305670,0,101280,101280,0
Gondomar,4,2,0,2,26,147975,…,0,43360,…,0
Maia,2,1,1,2,…,…,…,…,…,…,…
Matosinhos,7,2,5,4,36,909524,…,…,894480,…,…
Oliveira de Azeméis,4,2,2,0,35,158500,…,…,155700,…,…
Paredes,3,2,1,0,26,81900,…,…,60020,…,…
Porto,60,13,44,44,1386,25606274,18806361,6793063,18599833,18211034,388799
