,Museums in activity (N.º),"Museums that fulfilled the selection criteria, Number (N.º)","Museums that fulfilled the selection criteria, Visitors, Total (N.º)","Museums that fulfilled the selection criteria, Visitors, School visitors (N.º)","Museums that fulfilled the selection criteria, Visitors, Foreign visitors  (N.º)","Museums that fulfilled the selection criteria, Goods, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Number, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Temporary exhibitions, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Pieces exhibited, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Represented authors, Foreign visitors  (N.º)"
Portugal,668,414,5735532,430113,2037544,20166991,831,3748,158526,31292
Continente,611,378,5594731,414550,1991625,19835942,778,3510,151864,30278
Norte,163,106,1853219,111060,635873,2663043,225,1171,53270,9878
Alto Minho,17,11,100162,4844,24759,83940,23,120,4503,996
Arcos de Valdevez,1,1,12394,305,1578,…,2,6,234,61
Caminha,1,1,2009,1000,…,35830,2,17,345,41
Melgaço,4,1,…,0,241,13007,2,12,863,13
Monção,2,2,…,…,…,…,2,18,440,63
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,1,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,2493,697,346,4255,3,12,735,48
Valença,3,1,4717,…,2629,311,1,1,89,3
Viana do Castelo,3,3,64361,2549,15641,30072,7,38,1149,230
Vila Nova de Cerveira,1,1,2741,206,822,204,4,16,648,537
Cávado,16,11,128217,4950,52454,185305,16,67,2028,414
Amares,0,0,0,0,0,0,1,2,55,4
Barcelos,4,3,25506,1228,6395,21389,3,13,466,83
Braga,8,5,94903,3638,44715,155746,9,41,1056,199
Esposende,3,2,…,…,…,…,1,1,185,3
Terras de Bouro,1,1,…,…,…,…,0,0,0,0
Vila Verde,0,0,0,0,0,0,2,10,266,125
Ave,22,12,183530,21922,62611,293272,23,69,2084,395
Cabeceiras de Basto,1,0,0,0,0,0,1,1,39,39
Fafe,3,0,0,0,0,0,1,1,24,1
Guimarães,7,5,163388,12457,61867,91831,8,23,787,127
Mondim de Basto,0,0,0,0,0,0,1,2,174,2
Póvoa de Lanhoso,2,1,4598,500,563,3892,1,3,127,87
Vieira do Minho,1,0,0,0,0,0,2,14,166,38
Vila Nova de Famalicão,8,6,15544,8965,181,197549,9,25,767,101
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,47,34,1193589,64159,457148,1284374,113,684,34766,6103
Arouca,2,1,19100,911,922,3,1,6,145,29
Espinho,1,1,1943,220,138,425,2,14,782,52
Gondomar,2,2,…,…,…,…,8,28,942,182
Maia,1,1,24133,1500,0,218,5,26,2466,533
Matosinhos,3,2,…,…,…,…,8,19,1288,288
Oliveira de Azeméis,3,0,0,0,0,0,3,23,432,35
Paredes,0,0,0,0,0,0,3,18,225,18
