,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Portugal,470475380,385558302,75925803,45871846,69326455,54962332,68295412,18444296,17697151,11889823,133322273,81887075
Continente,454213004,372081898,74296089,44531554,67103423,53004744,64285569,17670010,17230903,11553816,129300784,79525189
Norte,119952154,97788780,17377240,11421056,22736096,15954932,14617540,4491077,2016998,2081826,31200301,18975770
Alto Minho,15069426,12142602,2339252,1768255,2857374,2046103,2638843,1273724,302020,429706,3145830,2437768
Arcos de Valdevez,2069241,1219684,152108,34470,185640,66134,429258,139497,15542,181689,375814,122743
Caminha,1475156,1406708,174729,165240,264589,219083,743028,702000,0,32000,97289,97289
Melgaço,1306366,1202929,294919,217710,262477,184450,46090,12720,17370,0,136519,136519
Monção,2937616,1286654,162021,13608,234448,106437,326174,88143,24069,0,372958,305961
Paredes de Coura,723687,719276,107415,48689,164825,95195,210488,58483,73790,611,146603,58539
Ponte da Barca,330729,330729,59365,27412,59301,29289,0,0,0,0,165000,165000
Ponte de Lima,2011317,1883632,319127,316114,338210,167946,575678,215133,0,215406,643814,643814
Valença,1007037,978755,411444,411444,297985,192912,11059,11059,0,0,249425,76722
Viana do Castelo,2231166,2137124,476508,351952,814859,814859,236000,0,171249,0,536257,536257
Vila Nova de Cerveira,977111,977111,181616,181616,235040,169798,61068,46689,0,0,422151,294924
Cávado,8003279,7681077,1007235,820557,1578955,1163244,973602,297838,166910,0,2170538,352212
Amares,223903,223903,0,0,213903,213903,0,0,0,0,0,0
Barcelos,2318756,2312328,515624,514814,484894,370826,287538,125210,50170,0,425119,199542
Braga,3191587,3070432,113174,113174,304453,241076,235799,102500,116740,0,1592749,0
Esposende,1341550,1148550,307808,121940,213280,147456,154263,70128,0,0,55110,55110
Terras de Bouro,140746,140746,70629,70629,47808,0,0,0,0,0,0,0
Vila Verde,786737,785118,0,0,314617,189983,296002,0,0,0,97560,97560
Ave,16752755,14825722,3174484,758347,2970492,1799082,2598489,1290872,369505,141681,4951488,4847692
Cabeceiras de Basto,190060,190060,94520,94520,18700,2800,75000,0,0,0,0,0
Fafe,1128624,1127975,45080,23478,212319,135929,705064,178689,327360,44034,107717,107717
Guimarães,6452284,6405528,632421,26124,1334286,844470,211138,197300,13838,0,4092212,4092212
Mondim de Basto,1171220,206520,13881,0,26479,26479,79600,72100,0,0,23195,23195
Póvoa de Lanhoso,986665,978763,62831,14162,196347,61111,266374,89933,28307,97647,49133,0
Vieira do Minho,454807,454807,37594,37594,100977,86792,52308,52308,0,0,92558,92558
Vila Nova de Famalicão,6087216,5180190,2288157,562469,1081384,641501,1043059,700542,0,0,532010,532010
Vizela,281879,281879,0,0,0,0,165946,0,0,0,54663,0
A. M. Porto,48036503,40483057,6389339,5165496,10120571,7195363,4347924,657097,664189,1044126,15499214,7484820
Arouca,722473,637741,116983,73511,214962,170893,2480,0,0,0,264622,113206
Espinho,901326,818395,270795,269798,209320,209320,30872,25340,0,0,137317,1150
Gondomar,1096133,1081438,0,0,33909,33564,165008,40460,0,10545,872701,185575
Maia,2368670,1895575,102206,101096,376815,374181,697876,105969,438027,0,582815,73101
Matosinhos,5288793,4833720,417870,337701,857224,587859,723696,71669,0,0,2151918,1409385
Oliveira de Azeméis,1680279,823430,67987,22696,362510,222455,324684,106994,0,0,0,0
Paredes,683370,289308,47877,70,115538,71214,42308,26158,0,0,0,0
Porto,20527680,17836065,2688433,2584286,3750132,2534724,382839,102070,0,94751,9554519,4765090
Póvoa de Varzim,2705643,2705643,316034,303451,740109,481294,1070203,110862,0,622745,264302,85208
Santa Maria da Feira,1510655,1295244,297864,297864,576245,576245,60421,0,0,0,350714,350714
Santo Tirso,957269,957269,90547,89747,105417,85581,121510,38900,81260,0,441595,90500
São João da Madeira,990769,990769,137246,137246,244564,244564,224711,0,0,224711,0,0
Trofa,185416,125658,52470,0,16744,1337,8721,8721,0,0,36797,29522
