,"Teaching staff, Pre-primary education, Total (N.º)","Teaching staff, Pre-primary education, Public (N.º)","Teaching staff, Pre-primary education, Private (N.º)","Teaching staff, Primary education 1st cycle, Total (N.º)","Teaching staff, Primary education 1st cycle, Public (N.º)","Teaching staff, Primary education 1st cycle, Private (N.º)","Teaching staff, Primary education 2nd cycle, Total (N.º)","Teaching staff, Primary education 2nd cycle, Public (N.º)","Teaching staff, Primary education 2nd cycle, Private (N.º)"
Portugal,16611,9527,7084,30043,26638,3405,23518,21079,2439
Continente,15465,8657,6808,27548,24430,3118,21716,19354,2362
Norte,5457,3407,2050,9813,8946,867,7872,7212,660
Alto Minho,339,252,87,584,568,16,543,532,11
Arcos de Valdevez,22,12,10,39,39,0,37,37,0
Caminha,29,22,7,46,46,0,33,33,0
Melgaço,10,8,2,15,15,0,15,15,0
Monção,24,20,4,38,38,0,35,35,0
Paredes de Coura,14,7,7,16,16,0,21,21,0
Ponte da Barca,14,11,3,19,19,0,21,21,0
Ponte de Lima,59,56,3,104,104,0,99,99,0
Valença,19,17,2,38,38,0,30,30,0
Viana do Castelo,135,88,47,240,224,16,235,224,11
Vila Nova de Cerveira,13,11,2,29,29,0,17,17,0
Cávado,677,440,237,1224,1110,114,918,826,92
Amares,22,20,2,43,43,0,40,40,0
Barcelos,184,151,33,323,312,11,228,209,19
Braga,336,169,167,589,491,98,452,381,71
Esposende,52,31,21,109,109,0,80,79,1
Terras de Bouro,11,9,2,13,13,0,15,15,0
Vila Verde,72,60,12,147,142,5,103,102,1
Ave,590,334,256,1067,1018,49,817,777,40
Cabeceiras de Basto,24,20,4,47,47,0,36,36,0
Fafe,81,47,34,125,116,9,118,108,10
Guimarães,216,103,113,387,365,22,302,286,16
Mondim de Basto,9,6,3,16,16,0,18,18,0
Póvoa de Lanhoso,29,23,6,55,55,0,47,47,0
Vieira do Minho,12,11,1,25,25,0,22,22,0
Vila Nova de Famalicão,182,92,90,349,331,18,228,214,14
Vizela,37,32,5,63,63,0,46,46,0
A. M. Porto,2573,1372,1201,4387,3794,593,3635,3196,439
Arouca,29,22,7,65,65,0,44,44,0
Espinho,52,40,12,72,72,0,81,75,6
Gondomar,218,137,81,355,323,32,275,257,18
Maia,202,107,95,336,308,28,311,283,28
Matosinhos,260,129,131,400,348,52,333,307,26
Oliveira de Azeméis,76,45,31,155,144,11,116,116,0
Paredes,113,91,22,218,202,16,201,188,13
Porto,449,126,323,739,462,277,628,418,210
Póvoa de Varzim,89,30,59,184,169,15,163,151,12
Santa Maria da Feira,177,107,70,329,306,23,246,230,16
Santo Tirso,89,56,33,158,140,18,144,124,20
São João da Madeira,48,31,17,87,80,7,65,61,4
Trofa,50,36,14,91,86,5,69,66,3
Vale de Cambra,30,28,2,42,42,0,38,38,0
Valongo,150,91,59,228,203,25,203,188,15
Vila do Conde,130,81,49,219,211,8,156,151,5
Vila Nova de Gaia,411,215,196,709,633,76,562,499,63
Alto Tâmega,135,100,35,304,292,12,208,207,1
Boticas,7,5,2,13,13,0,14,14,0
Chaves,73,52,21,185,173,12,105,104,1
Montalegre,10,10,0,16,16,0,15,15,0
Ribeira de Pena,8,4,4,17,17,0,17,17,0
Valpaços,20,14,6,39,39,0,35,35,0
Vila Pouca de Aguiar,17,15,2,34,34,0,22,22,0
Tâmega e Sousa,630,516,114,1226,1175,51,966,905,61
Amarante,80,64,16,147,138,9,114,84,30
Baião,24,15,9,45,45,0,48,48,0
Castelo de Paiva,29,23,6,51,51,0,36,36,0
Celorico de Basto,25,24,1,36,36,0,34,34,0
Cinfães,27,27,0,58,58,0,41,41,0
Felgueiras,83,58,25,157,146,11,133,132,1
Lousada,73,60,13,153,140,13,121,109,12
Marco de Canaveses,87,82,5,160,160,0,102,102,0
Paços de Ferreira,73,53,20,157,144,13,157,140,17
Penafiel,114,97,17,229,224,5,155,154,1
Resende,15,13,2,33,33,0,25,25,0
Douro,322,248,74,594,578,16,491,477,14
Alijó,16,10,6,27,27,0,26,26,0
Armamar,6,5,1,16,16,0,13,13,0
Carrazeda de Ansiães,8,5,3,15,15,0,21,21,0
Freixo de Espada à Cinta,4,2,2,8,8,0,11,11,0
Lamego,56,46,10,74,69,5,44,42,2
Mesão Frio,6,6,0,10,10,0,14,14,0
Moimenta da Beira,16,12,4,32,32,0,32,32,0
Murça,5,3,2,16,16,0,13,13,0
Penedono,3,1,2,9,9,0,12,12,0
Peso da Régua,23,12,11,42,42,0,44,44,0
Sabrosa,10,9,1,15,15,0,16,16,0
Santa Marta de Penaguião,8,4,4,24,24,0,11,11,0
São João da Pesqueira,12,12,0,19,19,0,18,18,0
Sernancelhe,5,4,1,11,11,0,12,12,0
Tabuaço,8,8,0,10,10,0,14,14,0
Tarouca,14,11,3,19,19,0,18,18,0
Torre de Moncorvo,17,16,1,19,19,0,19,19,0
Vila Nova de Foz Côa,8,5,3,14,14,0,13,13,0
Vila Real,97,77,20,214,203,11,140,128,12
Terras de Trás-os-Montes,191,145,46,427,411,16,294,292,2
Alfândega da Fé,10,9,1,17,17,0,13,13,0
Bragança,66,45,21,175,161,14,117,115,2
Macedo de Cavaleiros,29,24,5,62,62,0,37,37,0
Miranda do Douro,9,8,1,17,17,0,17,17,0
Mirandela,37,26,11,75,73,2,54,54,0
Mogadouro,12,9,3,28,28,0,11,11,0
Vila Flor,11,9,2,18,18,0,17,17,0
Vimioso,5,5,0,10,10,0,14,14,0
Vinhais,12,10,2,25,25,0,14,14,0
Centro,3466,2206,1260,6036,5717,319,4619,4286,333
Oeste,515,326,189,987,944,43,736,665,71
Alcobaça,77,32,45,140,134,6,99,97,2
Alenquer,53,40,13,128,128,0,99,99,0
Arruda dos Vinhos,22,15,7,48,48,0,30,6,24
Bombarral,16,12,4,24,24,0,24,24,0
Cadaval,18,15,3,35,35,0,24,24,0
Caldas da Rainha,85,54,31,147,130,17,101,89,12
Lourinhã,40,29,11,66,66,0,64,64,0
Nazaré,19,13,6,36,36,0,23,23,0
Óbidos,17,14,3,32,32,0,25,25,0
Peniche,35,17,18,79,79,0,68,68,0
Sobral de Monte Agraço,11,7,4,28,28,0,29,29,0
Torres Vedras,122,78,44,224,204,20,150,117,33
Região de Aveiro,561,311,250,920,884,36,769,725,44
Águeda,61,31,30,115,111,4,102,96,6
Albergaria-a-Velha,39,23,16,67,63,4,58,50,8
Anadia,40,19,21,69,62,7,52,43,9
Aveiro,137,58,79,209,196,13,189,180,9
Estarreja,41,23,18,64,61,3,54,54,0
Ílhavo,64,41,23,96,96,0,82,82,0
Murtosa,14,10,4,29,29,0,34,34,0
Oliveira do Bairro,40,22,18,62,62,0,41,41,0
Ovar,78,47,31,131,126,5,105,105,0
Sever do Vouga,16,14,2,22,22,0,16,16,0
Vagos,31,23,8,56,56,0,36,24,12
Região de Coimbra,650,362,288,1086,989,97,847,772,75
Arganil,16,14,2,27,27,0,17,17,0
Cantanhede,52,33,19,94,88,6,74,61,13
Coimbra,218,70,148,359,285,74,272,221,51
Condeixa-a-Nova,17,13,4,34,34,0,30,30,0
Figueira da Foz,90,48,42,152,136,16,112,109,3
Góis,6,4,2,9,9,0,9,9,0
Lousã,22,18,4,40,40,0,32,32,0
Mealhada,25,16,9,49,49,0,35,35,0
Mira,14,11,3,29,29,0,12,12,0
Miranda do Corvo,20,15,5,32,32,0,30,30,0
Montemor-o-Velho,32,19,13,52,52,0,43,43,0
Mortágua,13,9,4,15,15,0,18,18,0
Oliveira do Hospital,34,24,10,62,61,1,46,46,0
Pampilhosa da Serra,6,3,3,13,13,0,13,13,0
Penacova,15,15,0,21,21,0,26,26,0
Penela,7,7,0,12,12,0,9,9,0
Soure,27,15,12,41,41,0,27,19,8
Tábua,23,20,3,25,25,0,24,24,0
Vila Nova de Poiares,13,8,5,20,20,0,18,18,0
Região de Leiria,441,297,144,780,729,51,545,479,66
Alvaiázere,6,6,0,13,13,0,14,14,0
Ansião,16,10,6,28,28,0,21,21,0
Batalha,25,17,8,35,35,0,23,23,0
Castanheira de Pêra,3,3,0,8,8,0,8,8,0
Figueiró dos Vinhos,8,6,2,12,12,0,8,8,0
Leiria,206,127,79,374,335,39,259,222,37
Marinha Grande,62,44,18,105,96,9,78,72,6
Pedrógão Grande,3,2,1,8,8,0,10,10,0
Pombal,79,59,20,129,127,2,84,68,16
Porto de Mós,33,23,10,68,67,1,40,33,7
Viseu Dão Lafões,449,351,98,804,775,29,651,633,18
Aguiar da Beira,8,8,0,14,14,0,10,10,0
Carregal do Sal,13,13,0,24,24,0,24,24,0
