,"Pre-primary education, Dependent on the State (N.º)","Pre-primary education, Independent from the State (N.º)","Primary education, 1st cycle, Dependent on the State (N.º)","Primary education, 1st cycle, Independent from the State (N.º)","Primary education, 2nd cycle, Dependent on the State (N.º)","Primary education, 2nd cycle, Independent from the State (N.º)","Secondary education, Lower, Dependent on the State (N.º)","Secondary education, Lower, Independent from the State (N.º)","Secondary education, Upper, Dependent on the State (N.º)","Secondary education, Upper, Independent from the State (N.º)"
Portugal,74517,43584,6716,45093,6053,19098,10218,31478,8091,76485
Continente,69776,43102,4234,44259,5311,18950,9041,31356,6542,74384
Norte,24270,11125,897,13314,744,6554,1165,12418,1480,32759
Alto Minho,1608,75,0,285,0,133,0,448,0,1589
Arcos de Valdevez,200,0,0,3,0,6,0,14,0,164
Caminha,120,0,0,0,0,0,0,3,0,160
Melgaço,48,0,0,0,0,0,0,0,0,0
Monção,102,0,0,0,0,0,0,66,0,253
Paredes de Coura,87,0,0,0,0,0,0,0,0,128
Ponte da Barca,46,0,0,1,0,19,0,13,0,111
Ponte de Lima,69,0,0,2,0,2,0,57,0,241
Valença,14,0,0,0,0,0,0,0,0,62
Viana do Castelo,885,75,0,279,0,106,0,295,0,420
Vila Nova de Cerveira,37,0,0,0,0,0,0,0,0,50
Cávado,3222,1426,0,2206,35,1138,60,2016,0,4630
Amares,36,0,0,0,0,0,0,0,0,0
Barcelos,673,0,0,177,35,192,60,397,0,980
Braga,2003,1255,0,1959,0,944,0,1458,0,2806
Esposende,216,160,0,0,0,0,0,52,0,206
Terras de Bouro,24,11,0,0,0,0,0,0,0,0
Vila Verde,270,0,0,70,0,2,0,109,0,638
Ave,4349,868,0,882,0,379,0,908,0,2648
Cabeceiras de Basto,92,0,0,1,0,9,0,31,0,216
Fafe,441,235,0,150,0,78,0,158,0,429
Guimarães,1996,275,0,400,0,185,0,351,0,633
Mondim de Basto,50,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,119,0,0,0,0,0,0,17,0,176
Vieira do Minho,24,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1514,358,0,331,0,103,0,314,0,1109
Vizela,113,0,0,0,0,4,0,37,0,85
A. M. Porto,11309,7724,450,8935,368,4222,479,7614,166,20036
Arouca,95,0,0,0,0,0,0,43,0,90
Espinho,208,5,0,0,40,2,0,171,0,455
Gondomar,525,682,0,619,0,312,0,533,0,782
Maia,978,624,0,549,0,250,0,306,0,375
Matosinhos,1389,633,203,628,0,198,0,544,0,1080
Oliveira de Azeméis,589,16,0,115,0,0,0,0,0,0
Paredes,205,154,0,239,0,174,0,256,0,371
Porto,2054,2791,247,3925,167,2005,259,3357,166,9044
Póvoa de Varzim,826,257,0,237,0,110,0,157,0,133
Santa Maria da Feira,1011,228,0,331,0,221,0,291,0,724
Santo Tirso,313,220,0,346,0,169,0,318,0,822
São João da Madeira,271,59,0,94,0,33,0,68,0,244
Trofa,112,61,0,78,0,66,0,124,0,365
Vale de Cambra,49,0,0,0,0,0,0,0,0,0
Valongo,325,394,0,376,0,157,0,318,0,410
Vila do Conde,730,70,0,118,0,18,0,57,0,303
Vila Nova de Gaia,1629,1530,0,1280,161,507,220,1071,0,4838
Alto Tâmega,429,156,43,122,0,4,0,13,0,225
Boticas,26,0,0,0,0,0,0,0,0,0
Chaves,179,136,43,122,0,4,0,13,0,225
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,77,0,0,0,0,0,0,0,0,0
Valpaços,99,20,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,48,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,1436,669,276,513,341,325,626,809,1314,1618
Amarante,153,166,201,0,341,0,626,12,1314,74
Baião,206,0,0,0,0,0,0,0,0,0
Castelo de Paiva,93,0,0,1,0,53,0,133,0,66
Celorico de Basto,25,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,51
Felgueiras,266,163,0,168,0,3,0,23,0,357
Lousada,125,94,0,169,0,106,0,140,0,200
Marco de Canaveses,37,44,0,0,0,0,0,0,0,0
Paços de Ferreira,230,147,0,173,0,130,0,250,0,377
Penafiel,301,24,75,2,0,33,0,251,0,493
Resende,0,31,0,0,0,0,0,0,0,0
Douro,1110,125,74,190,0,238,0,269,0,1004
Alijó,105,0,0,0,0,0,0,0,0,0
Armamar,0,24,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,40,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,43,0,0,0,0,0,0,0,0,0
Lamego,132,11,0,37,0,22,0,39,0,147
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,87,0,0,0,0,0,0,19,0,86
Murça,32,0,0,0,0,0,0,16,0,101
Penedono,26,0,0,0,0,0,0,0,0,0
Peso da Régua,159,20,0,0,0,0,0,0,0,0
Sabrosa,22,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,78,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,32,0,113
Sernancelhe,16,0,0,0,0,0,0,0,0,136
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,38,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,13,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,30,0,0,0,0,0,0,0,0,0
Vila Real,289,70,74,153,0,216,0,163,0,421
