,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Portugal,384396,384057,0,211399,208909,1283,0,335266,318588,1568,358,11455
Continente,364683,364648,0,200641,198524,1283,0,317580,302523,1568,358,10574
Norte,124040,124031,0,69302,68649,564,0,111793,106851,764,285,3319
Alto Minho,7196,7196,0,4095,4083,0,0,6515,6252,0,70,153
Arcos de Valdevez,513,513,0,304,304,0,0,494,483,0,0,0
Caminha,452,452,0,242,242,0,0,385,385,0,0,0
Melgaço,186,186,0,117,117,0,0,141,141,0,0,0
Monção,420,420,0,284,284,0,0,442,395,0,0,47
Paredes de Coura,244,244,0,157,157,0,0,237,237,0,0,0
Ponte da Barca,332,332,0,174,174,0,0,318,318,0,0,0
Ponte de Lima,1368,1368,0,751,751,0,0,1244,1199,0,0,33
Valença,441,441,0,241,229,0,0,338,326,0,0,12
Viana do Castelo,2964,2964,0,1633,1633,0,0,2646,2498,0,70,61
Vila Nova de Cerveira,276,276,0,192,192,0,0,270,270,0,0,0
Cávado,15424,15424,0,8519,8355,162,0,13662,13039,251,0,313
Amares,571,571,0,373,373,0,0,495,482,0,0,13
Barcelos,4011,4011,0,2160,2102,58,0,3508,3313,108,0,87
Braga,7738,7738,0,4352,4248,104,0,7011,6715,143,0,108
Esposende,1331,1331,0,704,704,0,0,1095,1043,0,0,52
Terras de Bouro,170,170,0,112,112,0,0,196,196,0,0,0
Vila Verde,1603,1603,0,818,816,0,0,1357,1290,0,0,53
Ave,14049,14049,0,7484,7474,0,0,12462,12011,0,43,387
Cabeceiras de Basto,529,529,0,304,304,0,0,528,528,0,0,0
Fafe,1626,1626,0,881,881,0,0,1457,1402,0,0,55
Guimarães,5150,5150,0,2756,2751,0,0,4659,4551,0,0,98
Mondim de Basto,188,188,0,113,113,0,0,170,170,0,0,0
Póvoa de Lanhoso,755,755,0,417,417,0,0,662,645,0,0,17
Vieira do Minho,357,357,0,182,182,0,0,303,289,0,0,14
Vila Nova de Famalicão,4620,4620,0,2346,2341,0,0,3919,3677,0,43,188
Vizela,824,824,0,485,485,0,0,764,749,0,0,15
A. M. Porto,62315,62306,0,34920,34474,402,0,55461,52703,513,92,1856
Arouca,786,786,0,416,416,0,0,697,697,0,0,0
Espinho,1112,1112,0,887,847,40,0,1505,1342,0,47,101
Gondomar,5128,5128,0,2840,2840,0,0,4374,4263,0,0,83
Maia,5032,5032,0,2918,2918,0,0,4322,4241,0,0,81
Matosinhos,5833,5833,0,3240,3235,0,0,5094,4731,0,0,323
Oliveira de Azeméis,1999,1999,0,1045,1045,0,0,1732,1687,0,0,45
Paredes,3009,3009,0,1735,1735,0,0,2844,2816,0,0,28
Porto,10381,10372,0,5717,5489,193,0,9665,8789,288,0,448
Póvoa de Varzim,2512,2512,0,1516,1516,0,0,2380,2364,0,0,16
Santa Maria da Feira,4504,4504,0,2283,2283,0,0,3619,3557,0,0,62
Santo Tirso,2139,2139,0,1373,1373,0,0,2244,2134,0,45,65
São João da Madeira,1213,1213,0,729,729,0,0,1154,1139,0,0,15
Trofa,1268,1268,0,674,674,0,0,1134,1087,0,0,47
Vale de Cambra,663,663,0,350,350,0,0,587,569,0,0,18
Valongo,3254,3254,0,1929,1921,8,0,2941,2815,5,0,101
Vila do Conde,2967,2967,0,1406,1406,0,0,2267,2228,0,0,39
Vila Nova de Gaia,10515,10515,0,5862,5697,161,0,8902,8244,220,0,384
Alto Tâmega,2173,2173,0,1235,1233,0,0,2075,2034,0,0,27
Boticas,111,111,0,90,90,0,0,103,103,0,0,0
Chaves,1073,1073,0,618,616,0,0,1026,1012,0,0,0
Montalegre,190,190,0,89,89,0,0,210,210,0,0,0
Ribeira de Pena,184,184,0,94,94,0,0,165,165,0,0,0
Valpaços,338,338,0,198,198,0,0,316,303,0,0,13
Vila Pouca de Aguiar,277,277,0,146,146,0,0,255,241,0,0,14
Tâmega e Sousa,14533,14533,0,8348,8333,0,0,13967,13560,0,0,345
Amarante,1787,1787,0,1002,1002,0,0,1717,1668,0,0,49
Baião,503,503,0,316,316,0,0,516,516,0,0,0
Castelo de Paiva,562,562,0,326,326,0,0,571,571,0,0,0
Celorico de Basto,517,517,0,290,290,0,0,502,478,0,0,24
Cinfães,566,566,0,314,314,0,0,529,500,0,0,29
Felgueiras,1938,1938,0,1150,1150,0,0,1968,1908,0,0,47
Lousada,1806,1806,0,1081,1081,0,0,1676,1612,0,0,64
Marco de Canaveses,1826,1826,0,999,986,0,0,1750,1679,0,0,34
Paços de Ferreira,2146,2146,0,1312,1312,0,0,2065,2015,0,0,50
Penafiel,2570,2570,0,1377,1377,0,0,2369,2321,0,0,48
Resende,312,312,0,181,179,0,0,304,292,0,0,0
Douro,5499,5499,0,3098,3098,0,0,5026,4873,0,0,116
Alijó,262,262,0,157,157,0,0,252,234,0,0,18
Armamar,142,142,0,87,87,0,0,130,130,0,0,0
Carrazeda de Ansiães,148,148,0,77,77,0,0,154,154,0,0,0
Freixo de Espada à Cinta,101,101,0,49,49,0,0,69,57,0,0,0
Lamego,707,707,0,421,421,0,0,725,725,0,0,0
Mesão Frio,108,108,0,85,85,0,0,123,123,0,0,0
Moimenta da Beira,291,291,0,177,177,0,0,285,251,0,0,34
Murça,149,149,0,60,60,0,0,132,132,0,0,0
Penedono,55,55,0,47,47,0,0,76,76,0,0,0
Peso da Régua,511,511,0,275,275,0,0,460,428,0,0,16
Sabrosa,146,146,0,91,91,0,0,145,145,0,0,0
Santa Marta de Penaguião,161,161,0,63,63,0,0,98,98,0,0,0
São João da Pesqueira,200,200,0,122,122,0,0,228,210,0,0,18
Sernancelhe,137,137,0,65,65,0,0,103,94,0,0,0
Tabuaço,103,103,0,71,71,0,0,125,115,0,0,10
Tarouca,232,232,0,134,134,0,0,228,228,0,0,0
Torre de Moncorvo,154,154,0,88,88,0,0,106,106,0,0,0
Vila Nova de Foz Côa,144,144,0,85,85,0,0,123,123,0,0,0
Vila Real,1748,1748,0,944,944,0,0,1464,1444,0,0,20
Terras de Trás-os-Montes,2851,2851,0,1603,1599,0,0,2625,2379,0,80,122
Alfândega da Fé,108,108,0,53,53,0,0,89,89,0,0,0
Bragança,1038,1038,0,576,576,0,0,914,868,0,0,32
Macedo de Cavaleiros,346,346,0,188,185,0,0,331,293,0,0,19
Miranda do Douro,142,142,0,101,101,0,0,140,140,0,0,0
Mirandela,642,642,0,388,388,0,0,638,499,0,80,59
Mogadouro,193,193,0,91,91,0,0,189,177,0,0,12
Vila Flor,165,165,0,88,88,0,0,133,133,0,0,0
Vimioso,77,77,0,44,44,0,0,58,58,0,0,0
