,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Portugal,76869,70202,6667,8433,1492,6941,80216,56048,24168
Continente,71862,65369,6493,7931,1248,6683,72785,50477,22308
Norte,26102,23683,2419,3028,506,2522,25763,18921,6842
Alto Minho,1647,1619,28,364,69,295,1891,1577,314
Arcos de Valdevez,129,129,0,21,0,21,144,99,45
Caminha,97,97,0,31,0,31,92,66,26
Melgaço,53,53,0,0,0,0,64,56,8
Monção,107,107,0,36,0,36,120,106,14
Paredes de Coura,49,49,0,26,0,26,75,48,27
Ponte da Barca,75,75,0,25,0,25,109,90,19
Ponte de Lima,304,304,0,66,42,24,367,354,13
Valença,89,89,0,11,0,11,90,85,5
Viana do Castelo,701,673,28,128,27,101,743,590,153
Vila Nova de Cerveira,43,43,0,20,0,20,87,83,4
Cávado,3115,2815,300,329,0,329,3005,2172,833
Amares,125,125,0,0,0,0,114,112,2
Barcelos,739,700,39,99,0,99,749,595,154
Braga,1727,1466,261,148,0,148,1480,909,571
Esposende,216,216,0,45,0,45,235,185,50
Terras de Bouro,42,42,0,0,0,0,70,64,6
Vila Verde,266,266,0,37,0,37,357,307,50
Ave,2760,2617,143,296,0,296,3112,2278,834
Cabeceiras de Basto,105,84,21,0,0,0,113,95,18
Fafe,303,283,20,31,0,31,413,317,96
Guimarães,1057,1004,53,120,0,120,1230,886,344
Mondim de Basto,61,61,0,0,0,0,40,37,3
Póvoa de Lanhoso,154,154,0,30,0,30,145,119,26
Vieira do Minho,76,76,0,0,0,0,63,62,1
Vila Nova de Famalicão,833,784,49,115,0,115,938,603,335
Vizela,171,171,0,0,0,0,170,159,11
A. M. Porto,12573,10901,1672,1348,188,1160,11838,7830,4008
Arouca,166,166,0,0,0,0,157,149,8
Espinho,332,309,23,99,0,99,250,168,82
Gondomar,947,852,95,37,0,37,923,725,198
Maia,843,817,26,21,0,21,712,501,211
Matosinhos,1177,1114,63,129,0,129,1272,888,384
Oliveira de Azeméis,457,457,0,0,0,0,394,309,85
Paredes,559,524,35,0,0,0,483,414,69
Porto,2604,1824,780,652,131,521,2565,1108,1457
Póvoa de Varzim,561,525,36,0,0,0,525,344,181
Santa Maria da Feira,693,627,66,13,0,13,726,518,208
Santo Tirso,517,456,61,156,57,99,531,390,141
São João da Madeira,352,302,50,0,0,0,210,166,44
Trofa,247,206,41,0,0,0,257,210,47
Vale de Cambra,151,151,0,0,0,0,119,117,2
Valongo,639,593,46,40,0,40,498,367,131
Vila do Conde,492,488,4,26,0,26,602,455,147
Vila Nova de Gaia,1836,1490,346,175,0,175,1614,1001,613
Alto Tâmega,614,614,0,28,0,28,606,538,68
Boticas,21,21,0,0,0,0,32,30,2
Chaves,322,322,0,28,0,28,277,228,49
Montalegre,64,64,0,0,0,0,62,62,0
Ribeira de Pena,51,51,0,0,0,0,63,55,8
Valpaços,79,79,0,0,0,0,94,87,7
Vila Pouca de Aguiar,77,77,0,0,0,0,78,76,2
