,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Portugal,251108,133007,118101,384396,332743,51653,211399,186971,24428,335266,296645,38621
Continente,238618,125740,112878,364683,316346,48337,200641,177103,23538,317580,280203,37377
Norte,82226,46831,35395,124040,109955,14085,69302,62603,6699,111793,100137,11656
Alto Minho,4986,3303,1683,7196,6918,278,4095,3989,106,6515,6187,328
Arcos de Valdevez,385,185,200,513,513,0,304,304,0,494,494,0
Caminha,336,216,120,452,452,0,242,242,0,385,385,0
Melgaço,114,66,48,186,186,0,117,117,0,141,141,0
Monção,320,218,102,420,420,0,284,284,0,442,395,47
Paredes de Coura,158,71,87,244,244,0,157,157,0,237,237,0
Ponte da Barca,206,160,46,332,332,0,174,174,0,318,318,0
Ponte de Lima,927,858,69,1368,1368,0,751,751,0,1244,1234,10
Valença,302,288,14,441,441,0,241,241,0,338,338,0
Viana do Castelo,2030,1070,960,2964,2686,278,1633,1527,106,2646,2375,271
Vila Nova de Cerveira,208,171,37,276,276,0,192,192,0,270,270,0
Cávado,10550,5902,4648,15424,13220,2204,8519,7381,1138,13662,11760,1902
Amares,352,316,36,571,571,0,373,373,0,495,495,0
Barcelos,2682,2009,673,4011,3836,175,2160,1966,194,3508,3123,385
Braga,5432,2174,3258,7738,5779,1959,4352,3408,944,7011,5589,1422
Esposende,858,482,376,1331,1331,0,704,704,0,1095,1043,52
Terras de Bouro,126,91,35,170,170,0,112,112,0,196,196,0
Vila Verde,1100,830,270,1603,1533,70,818,818,0,1357,1314,43
Ave,9723,4506,5217,14049,13175,874,7484,7118,366,12462,11705,757
Cabeceiras de Basto,362,270,92,529,529,0,304,304,0,528,519,9
Fafe,1090,414,676,1626,1483,143,881,803,78,1457,1309,148
Guimarães,3769,1498,2271,5150,4750,400,2756,2571,185,4659,4361,298
Mondim de Basto,119,69,50,188,188,0,113,113,0,170,170,0
Póvoa de Lanhoso,459,340,119,755,755,0,417,417,0,662,645,17
Vieira do Minho,187,163,24,357,357,0,182,182,0,303,303,0
Vila Nova de Famalicão,3201,1329,1872,4620,4289,331,2346,2243,103,3919,3634,285
Vizela,536,423,113,824,824,0,485,485,0,764,764,0
A. M. Porto,40737,21704,19033,62315,53005,9310,34920,30462,4458,55461,48016,7445
Arouca,496,401,95,786,786,0,416,416,0,697,697,0
Espinho,798,585,213,1112,1112,0,887,847,40,1505,1372,133
Gondomar,3352,2145,1207,5128,4509,619,2840,2530,310,4374,3882,492
Maia,3305,1703,1602,5032,4493,539,2918,2684,234,4322,4025,297
Matosinhos,3962,1940,2022,5833,5009,824,3240,3050,190,5094,4616,478
Oliveira de Azeméis,1346,741,605,1999,1884,115,1045,1045,0,1732,1732,0
Paredes,1933,1574,359,3009,2821,188,1735,1636,99,2844,2732,112
Porto,6724,1879,4845,10381,6210,4171,5717,3549,2168,9665,6115,3550
Póvoa de Varzim,1576,493,1083,2512,2275,237,1516,1406,110,2380,2223,157
Santa Maria da Feira,3059,1820,1239,4504,4173,331,2283,2062,221,3619,3339,280
Santo Tirso,1376,843,533,2139,1793,346,1373,1204,169,2244,1926,318
São João da Madeira,815,485,330,1213,1119,94,729,696,33,1154,1086,68
Trofa,772,599,173,1268,1190,78,674,608,66,1134,1010,124
Vale de Cambra,477,428,49,663,663,0,350,350,0,587,587,0
Valongo,2091,1372,719,3254,2880,374,1929,1779,150,2941,2708,233
Vila do Conde,1928,1128,800,2967,2850,117,1406,1393,13,2267,2238,29
Vila Nova de Gaia,6727,3568,3159,10515,9238,1277,5862,5207,655,8902,7728,1174
Alto Tâmega,1437,852,585,2173,2008,165,1235,1235,0,2075,2075,0
Boticas,71,45,26,111,111,0,90,90,0,103,103,0
Chaves,653,338,315,1073,908,165,618,618,0,1026,1026,0
Montalegre,122,122,0,190,190,0,89,89,0,210,210,0
Ribeira de Pena,133,56,77,184,184,0,94,94,0,165,165,0
Valpaços,241,122,119,338,338,0,198,198,0,316,316,0
Vila Pouca de Aguiar,217,169,48,277,277,0,146,146,0,255,255,0
Tâmega e Sousa,9216,7111,2105,14533,13748,785,8348,7802,546,13967,12976,991
Amarante,1094,775,319,1787,1586,201,1002,661,341,1717,1079,638
Baião,333,127,206,503,503,0,316,316,0,516,516,0
Castelo de Paiva,359,266,93,562,562,0,326,326,0,571,571,0
Celorico de Basto,329,304,25,517,517,0,290,290,0,502,502,0
Cinfães,339,339,0,566,566,0,314,314,0,529,529,0
Felgueiras,1278,849,429,1938,1770,168,1150,1150,0,1968,1968,0
Lousada,1152,933,219,1806,1637,169,1081,975,106,1676,1536,140
Marco de Canaveses,1116,1035,81,1826,1826,0,999,999,0,1750,1750,0
Paços de Ferreira,1310,933,377,2146,1974,172,1312,1213,99,2065,1887,178
Penafiel,1695,1370,325,2570,2495,75,1377,1377,0,2369,2334,35
Resende,211,180,31,312,312,0,181,181,0,304,304,0
Douro,3674,2439,1235,5499,5260,239,3098,3013,85,5026,4905,121
Alijó,169,64,105,262,262,0,157,157,0,252,252,0
Armamar,106,82,24,142,142,0,87,87,0,130,130,0
Carrazeda de Ansiães,102,62,40,148,148,0,77,77,0,154,154,0
Freixo de Espada à Cinta,57,14,43,101,101,0,49,49,0,69,69,0
