,"Gross reported income per taxable person, €","Median value of gross reported income per taxable person, €","Personal income paid tax per taxable person, €","Gross reported income less personal income paid tax per taxable person, €","Personal income paid tax in the overall gross reported income, %"
Portugal,13591,9880,1692,11899,12.5
Continente,13620,9893,1714,11906,12.6
Norte,12147,9000,1348,10799,11.1
Alto Minho,10988,8728,1026,9962,9.3
Arcos de Valdevez,9393,7710,746,8646,7.9
Caminha,11613,8672,1287,10326,11.1
Melgaço,9680,8112,811,8869,8.4
Monção,10014,8360,848,9165,8.5
Paredes de Coura,9567,8131,673,8894,7
Ponte da Barca,9313,7743,680,8633,7.3
Ponte de Lima,9931,8388,748,9183,7.5
Valença,10304,8778,785,9519,7.6
Viana do Castelo,12488,9601,1344,11144,10.8
Vila Nova de Cerveira,11231,9169,1026,10205,9.1
Cávado,12066,9100,1264,10802,10.5
Amares,10251,8434,828,9423,8.1
Barcelos,10429,8628,842,9587,8.1
Braga,13957,10180,1712,12245,12.3
Esposende,11905,8849,1305,10601,11
Terras de Bouro,9228,7818,656,8571,7.1
Vila Verde,9562,8176,690,8872,7.2
Ave,10986,8765,964,10021,8.8
Cabeceiras de Basto,9179,7683,657,8522,7.2
Fafe,9981,8281,775,9206,7.8
Guimarães,11441,8903,1075,10366,9.4
Mondim de Basto,8771,7473,590,8181,6.7
Póvoa de Lanhoso,9429,8213,667,8763,7.1
Vieira do Minho,9201,7636,678,8522,7.4
Vila Nova de Famalicão,11571,9236,1054,10517,9.1
Vizela,10330,8702,741,9590,7.2
A. M. Porto,13548,9772,1723,11825,12.7
Arouca,9770,8209,739,9031,7.6
Espinho,13306,9485,1665,11641,12.5
Gondomar,11963,9423,1188,10775,9.9
Maia,15033,11220,1991,13042,13.2
Matosinhos,15223,10848,2145,13078,14.1
Oliveira de Azeméis,11845,9450,1159,10685,9.8
Paredes,9451,8040,707,8744,7.5
Porto,19047,11864,3620,15427,19
Póvoa de Varzim,11933,8734,1304,10629,10.9
Santa Maria da Feira,11392,9007,1073,10319,9.4
Santo Tirso,11156,8800,998,10158,8.9
São João da Madeira,12721,9662,1388,11333,10.9
Trofa,11495,9320,1070,10425,9.3
Vale de Cambra,11733,9344,1102,10631,9.4
Valongo,12137,9713,1192,10944,9.8
Vila do Conde,12430,9213,1362,11068,11
Vila Nova de Gaia,13551,9977,1684,11866,12.4
Alto Tâmega,9878,7652,895,8984,9.1
Boticas,8695,7107,588,8107,6.8
Chaves,11193,8429,1166,10027,10.4
Montalegre,9046,7030,767,8279,8.5
Ribeira de Pena,8876,7204,669,8207,7.5
Valpaços,8254,6367,590,7664,7.2
Vila Pouca de Aguiar,9301,7383,741,8560,8
Tâmega e Sousa,9277,7915,667,8610,7.2
Amarante,9624,7674,808,8817,8.4
Baião,8706,7308,580,8126,6.7
Castelo de Paiva,8981,7970,549,8432,6.1
Celorico de Basto,8662,7360,564,8097,6.5
Cinfães,8079,6548,519,7560,6.4
Felgueiras,9611,8380,682,8929,7.1
Lousada,9176,8140,580,8596,6.3
Marco de Canaveses,8907,7387,624,8283,7
Paços de Ferreira,9229,8106,608,8620,6.6
Penafiel,9854,8188,799,9055,8.1
Resende,8327,6312,630,7697,7.6
Douro,10784,8309,1046,9738,9.7
Alijó,8947,7200,653,8294,7.3
Armamar,9180,7295,677,8504,7.4
Carrazeda de Ansiães,9215,7184,695,8520,7.5
Freixo de Espada à Cinta,9448,7959,688,8760,7.3
Lamego,11213,8408,1167,10046,10.4
Mesão Frio,8695,6993,608,8087,7
Moimenta da Beira,9896,8060,821,9074,8.3
Murça,8892,6948,690,8202,7.8
Penedono,9165,//,741,8424,8.1
Peso da Régua,10544,8206,994,9549,9.4
Sabrosa,9393,7774,657,8736,7
Santa Marta de Penaguião,8301,6607,551,7749,6.6
São João da Pesqueira,9052,6997,750,8302,8.3
Sernancelhe,8983,7663,674,8308,7.5
Tabuaço,9039,7081,726,8313,8
Tarouca,9513,8080,695,8818,7.3
Torre de Moncorvo,9910,7973,862,9048,8.7
Vila Nova de Foz Côa,9777,7780,870,8907,8.9
Vila Real,13525,9886,1620,11905,12
Terras de Trás-os-Montes,11237,8560,1128,10109,10
Alfândega da Fé,9445,7200,778,8667,8.2
Bragança,13406,10295,1581,11825,11.8
Macedo de Cavaleiros,10044,7514,915,9129,9.1
Miranda do Douro,10734,8622,973,9761,9.1
Mirandela,11183,8548,1088,10095,9.7
Mogadouro,10196,7973,945,9252,9.3
Vila Flor,9379,7159,758,8621,8.1
Vimioso,9351,7622,750,8600,8
Vinhais,9009,7218,640,8368,7.1
Centro,12492,9620,1332,11159,10.7
Oeste,12220,9482,1256,10963,10.3
Alcobaça,11625,9416,1045,10580,9
Alenquer,12591,10255,1261,11330,10
Arruda dos Vinhos,15022,11212,1929,13093,12.8
Bombarral,11275,8813,1076,10199,9.5
Cadaval,11092,8823,1018,10073,9.2
Caldas da Rainha,12571,9442,1357,11214,10.8
Lourinhã,11555,8901,1140,10414,9.9
Nazaré,11111,9000,1018,10093,9.2
Óbidos,11802,9089,1181,10621,10
Peniche,11571,9150,1099,10472,9.5
Sobral de Monte Agraço,12912,9970,1412,11499,10.9
Torres Vedras,12637,9538,1405,11232,11.1
Região de Aveiro,12833,9926,1414,11419,11
Águeda,11980,9489,1128,10852,9.4
Albergaria-a-Velha,11681,9623,1037,10644,8.9
Anadia,11798,9080,1220,10578,10.3
Aveiro,15654,11578,2187,13467,14
Estarreja,11818,9723,1128,10690,9.5
Ílhavo,13500,10421,1580,11920,11.7
Murtosa,11136,8831,1113,10023,10
Oliveira do Bairro,11476,9470,1009,10467,8.8
Ovar,12566,9842,1308,11258,10.4
Sever do Vouga,10755,8891,885,9869,8.2
Vagos,10841,8823,997,9844,9.2
Região de Coimbra,13618,10077,1653,11965,12.1
Arganil,9900,8400,676,9224,6.8
Cantanhede,11239,8988,1058,10181,9.4
Coimbra,17456,12137,2746,14710,15.7
Condeixa-a-Nova,13588,10845,1455,12133,10.7
Figueira da Foz,13944,10635,1700,12244,12.2
Góis,10004,8540,707,9297,7.1
Lousã,11857,9773,1088,10769,9.2
Mealhada,12321,10008,1168,11153,9.5
Mira,11405,8831,1168,10238,10.2
Miranda do Corvo,10978,9155,896,10082,8.2
Montemor-o-Velho,11851,9842,1062,10788,9
Mortágua,10505,8764,854,9652,8.1
Oliveira do Hospital,10073,8556,724,9349,7.2
Pampilhosa da Serra,10024,8734,680,9344,6.8
Penacova,9784,8454,677,9107,6.9
Penela,10532,8692,897,9635,8.5
Soure,11653,9839,1023,10630,8.8
Tábua,9647,8350,678,8969,7
Vila Nova de Poiares,10321,8782,792,9530,7.7
Região de Leiria,12624,10081,1309,11315,10.4
Alvaiázere,9885,8286,746,9139,7.5
Ansião,10374,8645,798,9576,7.7
Batalha,12071,9978,1117,10954,9.3
Castanheira de Pêra,9786,//,669,9117,6.8
Figueiró dos Vinhos,10106,8303,805,9301,8
Leiria,13758,10800,1598,12161,11.6
Marinha Grande,13471,11126,1455,12016,10.8
Pedrógão Grande,9536,8073,649,8886,6.8
Pombal,11129,9293,957,10173,8.6
Porto de Mós,11548,9427,1007,10541,8.7
Viseu Dão Lafões,11785,9129,1180,10605,10
Aguiar da Beira,9260,7976,660,8600,7.1
Carregal do Sal,10536,8749,884,9652,8.4
Castro Daire,8774,7240,587,8187,6.7
Mangualde,11207,9100,1003,10204,8.9
Nelas,11215,9046,1022,10193,9.1
Oliveira de Frades,10570,8949,815,9755,7.7
Penalva do Castelo,9326,8069,626,8700,6.7
Santa Comba Dão,10862,8837,914,9948,8.4
São Pedro do Sul,10317,8400,858,9459,8.3
Sátão,9780,8143,772,9009,7.9
Tondela,11151,9179,975,10176,8.7
Vila Nova de Paiva,9829,8173,800,9029,8.1
Viseu,13823,10269,1666,12156,12.1
Vouzela,10273,8693,800,9473,7.8
Beira Baixa,12212,9510,1272,10939,10.4
Castelo Branco,13207,10281,1504,11703,11.4
Idanha-a-Nova,10209,8643,784,9425,7.7
Oleiros,9894,8158,741,9153,7.5
Penamacor,9856,8368,766,9090,7.8
Proença-a-Nova,10492,8560,902,9590,8.6
Vila Velha de Ródão,11259,9605,978,10281,8.7
Médio Tejo,11973,9481,1160,10814,9.7
Abrantes,12041,9437,1180,10861,9.8
Alcanena,10838,9100,866,9972,8
Constância,12405,10097,1181,11224,9.5
Entroncamento,14862,12128,1768,13094,11.9
Ferreira do Zêzere,9848,8517,652,9196,6.6
Mação,10744,8801,882,9862,8.2
Ourém,11214,9258,980,10233,8.7
Sardoal,11055,8871,979,10076,8.9
Sertã,9619,7961,716,8904,7.4
Tomar,12272,9392,1304,10967,10.6
Torres Novas,12859,10061,1334,11525,10.4
Vila de Rei,10360,8859,650,9711,6.3
Vila Nova da Barquinha,13213,10888,1318,11895,10
Beiras e Serra da Estrela,11280,8807,1062,10217,9.4
Almeida,10787,8895,937,9850,8.7
Belmonte,10386,8507,809,9577,7.8
Celorico da Beira,10026,8547,749,9276,7.5
Covilhã,12022,9100,1194,10828,9.9
Figueira de Castelo Rodrigo,9624,7800,750,8874,7.8
Fornos de Algodres,9614,8067,751,8863,7.8
Fundão,10757,8681,938,9819,8.7
Gouveia,10250,8290,836,9413,8.2
Guarda,13531,10397,1582,11949,11.7
Manteigas,9912,8176,739,9173,7.5
Mêda,9570,7773,802,8768,8.4
Pinhel,9469,7712,742,8727,7.8
Sabugal,10057,8401,783,9274,7.8
Seia,10510,8450,870,9640,8.3
Trancoso,9918,8156,815,9103,8.2
A. M. Lisboa,16865,11917,2633,14231,15.6
Alcochete,17868,12240,2857,15011,16
Almada,15821,11684,2259,13562,14.3
Amadora,14239,10925,1700,12540,11.9
Barreiro,14138,11301,1627,12511,11.5
Cascais,19357,12691,3637,15721,18.8
Lisboa,22176,14000,4564,17612,20.6
Loures,14830,11230,1901,12929,12.8
Mafra,15390,11232,2118,13271,13.8
Moita,12467,10478,1177,11290,9.4
Montijo,14285,10792,1741,12544,12.2
Odivelas,14533,11382,1769,12763,12.2
Oeiras,21378,15372,3999,17379,18.7
Palmela,14596,11130,1863,12733,12.8
Seixal,14652,11629,1829,12822,12.5
Sesimbra,14207,11268,1752,12455,12.3
Setúbal,15088,11534,1982,13106,13.1
Sintra,14173,11072,1708,12465,12.1
Vila Franca de Xira,14310,11733,1614,12696,11.3
Alentejo,12352,9600,1276,11076,10.3
Alentejo Litoral,12557,9431,1416,11141,11.3
Alcácer do Sal,11383,9120,1023,10360,9
Grândola,12502,9356,1460,11042,11.7
Odemira,9848,8197,817,9030,8.3
Santiago do Cacém,14798,10953,1935,12862,13.1
Sines,15109,11407,1987,13122,13.1
Baixo Alentejo,12288,9510,1285,11003,10.5
Aljustrel,13013,10240,1435,11578,11
Almodôvar,12224,8927,1338,10886,10.9
Alvito,11440,//,980,10459,8.6
Barrancos,9914,//,687,9227,6.9
Beja,14248,10980,1734,12514,12.2
Castro Verde,15266,11345,2037,13229,13.3
Cuba,11269,8909,1023,10246,9.1
Ferreira do Alentejo,10694,8741,884,9810,8.3
Mértola,10157,8476,785,9372,7.7
Moura,10547,8616,886,9661,8.4
Ourique,11385,8989,1071,10314,9.4
Serpa,10400,8549,868,9532,8.3
Vidigueira,10978,8891,940,10038,8.6
Lezíria do Tejo,12278,9593,1237,11041,10.1
Almeirim,11159,8815,967,10192,8.7
Alpiarça,10963,8764,898,10066,8.2
Azambuja,12163,10022,1139,11024,9.4
Benavente,13090,10188,1472,11618,11.2
Cartaxo,12695,10184,1287,11409,10.1
Chamusca,10221,8527,745,9476,7.3
Coruche,10950,8700,912,10038,8.3
Golegã,11959,9568,1145,10814,9.6
Rio Maior,11443,9208,1039,10404,9.1
Salvaterra de Magos,11406,9072,1032,10374,9
