,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Portugal,45.9,3.5,8.1,41.3,3.2,6.9
Continente,45.9,3.5,8.1,41.3,3.2,6.9
Norte,44.8,3.3,7.5,40.5,3.1,6.6
Alto Minho,42.7,3.3,7.3,39.2,3.1,6.6
Arcos de Valdevez,42.1,3.3,7.5,39,3.1,7
Caminha,45.6,3.6,8.6,41.5,3.3,7.6
Melgaço,40.6,3.2,6.8,37.3,3,6.3
Monção,41.9,3.2,7.5,38.7,3.1,6.8
Paredes de Coura,39,3,6.1,36.2,2.9,5.6
Ponte da Barca,41.6,3.2,7.2,38.8,3.1,6.6
Ponte de Lima,40.3,2.9,6.3,37.3,2.8,5.8
Valença,39.2,3,6.6,36.5,2.9,6
Viana do Castelo,43.5,3.4,7.8,39.7,3.2,6.8
Vila Nova de Cerveira,41.9,3.2,7.4,38.5,3.1,6.6
Cávado,43.7,3.2,7.3,39.7,3,6.4
Amares,40.4,2.9,6.4,37.1,2.8,5.9
Barcelos,39.8,2.8,5.7,36.4,2.7,5.2
Braga,45.3,3.6,8.1,40.9,3.2,6.9
Esposende,44.8,3.3,7.3,40.5,3.1,6.4
Terras de Bouro,40.4,3.1,7,37.7,3,6.5
Vila Verde,39.9,2.9,6.7,37,2.8,6.2
Ave,41,2.8,6,37.4,2.7,5.4
Cabeceiras de Basto,41,3,7.1,38,2.9,6.6
Fafe,41.3,2.9,6.5,38,2.8,6
Guimarães,41.4,2.7,5.6,37.4,2.6,5.1
Mondim de Basto,39.5,3,6.4,36.7,2.8,5.8
Póvoa de Lanhoso,39.7,2.8,6.6,36.8,2.7,6.1
Vieira do Minho,40.7,3.2,6.9,37.7,3,6.3
Vila Nova de Famalicão,40.7,2.9,6,37.1,2.7,5.3
Vizela,37.7,2.5,4.8,34.6,2.4,4.5
A. M. Porto,46.1,3.5,8.1,41.4,3.2,6.9
Arouca,39.5,2.9,6,36.4,2.7,5.4
Espinho,45.6,3.4,7.9,41,3.1,6.7
Gondomar,42.5,3.3,7.2,38.8,3,6.4
Maia,45.5,3.8,8.3,41.1,3.4,7
Matosinhos,46.7,3.7,8.5,41.8,3.3,7.1
Oliveira de Azeméis,41.2,3,5.9,37.4,2.8,5.3
Paredes,42.1,3.1,7.9,39,2.9,7.4
Porto,53.1,4.8,12.1,47.3,4,9.7
Póvoa de Varzim,45.6,3.5,8.1,41.4,3.3,7.1
Santa Maria da Feira,41.8,3.1,6.5,38.1,2.9,5.8
Santo Tirso,40.3,2.7,5.5,36.6,2.6,5
São João da Madeira,43.9,3.2,7,39.7,2.9,6.2
Trofa,40.4,2.9,5.9,36.7,2.7,5.3
Vale de Cambra,40.8,3,6,37.2,2.8,5.4
Valongo,42,3.3,7.3,38.5,3,6.4
Vila do Conde,44.3,3.4,7.3,40.1,3.1,6.4
Vila Nova de Gaia,45.4,3.5,8,40.8,3.1,6.8
Alto Tâmega,43.9,3.5,8.1,40.4,3.3,7.3
Boticas,41.5,3.1,6.6,38.8,3,6.3
Chaves,45.2,3.8,8.9,41.4,3.5,7.8
Montalegre,42.6,3.3,7.3,39.4,3.2,6.7
Ribeira de Pena,40.4,2.9,6.7,37.4,2.8,6.4
Valpaços,41.9,3.2,7.8,39,3,7.2
Vila Pouca de Aguiar,41.7,3.1,7.2,38.6,2.9,6.6
Tâmega e Sousa,40.6,2.9,6.6,37.5,2.8,6
Amarante,43.5,3.2,7.9,40,3.1,7.2
Baião,38.3,2.9,6.2,35.5,2.7,5.7
Castelo de Paiva,37.2,2.7,5.7,34.7,2.6,5.3
Celorico de Basto,39.6,2.9,6.6,36.8,2.8,6.2
Cinfães,41.5,3,7.9,38.7,2.9,7.2
Felgueiras,38.9,2.6,5.5,35.7,2.5,5
Lousada,39,2.7,6.1,36.3,2.7,5.6
Marco de Canaveses,41.8,3.1,8,38.8,3,7.5
Paços de Ferreira,39,2.6,5.8,36,2.6,5.4
Penafiel,41.7,3,6.7,38.3,2.8,6.1
Resende,44.5,3.3,8.9,41.2,3.2,8.4
Douro,44.7,3.6,8.4,41.1,3.3,7.3
Alijó,41.3,3.2,7.2,38.3,3.1,6.6
Armamar,42.2,3.1,7.5,39.2,3,6.9
Carrazeda de Ansiães,42.5,3.3,7.8,39.5,3.1,6.9
Freixo de Espada à Cinta,39.1,3.1,5.7,36.2,2.9,5.3
Lamego,45.5,3.7,8.6,41.6,3.4,7.5
Mesão Frio,40.9,3.1,6.9,37.9,3,6.4
Moimenta da Beira,42.2,3.4,8,39.1,3.2,7.3
Murça,42.5,3.5,7.8,39.4,3.3,7
Penedono,//,//,//,//,//,//
Peso da Régua,43.8,3.5,8.1,40.1,3.2,7.1
Sabrosa,40.1,3,6.3,37.3,2.9,5.8
Santa Marta de Penaguião,42.9,3.1,8.1,40.1,3,7.6
São João da Pesqueira,43.3,3.3,7.3,39.9,3.2,6.7
Sernancelhe,40.1,2.8,5.9,37,2.8,5.7
Tabuaço,42.4,3.2,6.9,39,3.1,6.2
Tarouca,40.8,3.1,7.1,38,3,6.5
Torre de Moncorvo,41.9,3.3,7.1,38.6,3,6.4
Vila Nova de Foz Côa,43.4,3.5,8.5,40.1,3.2,7.6
Vila Real,46.3,4,9.2,42.2,3.6,7.7
Terras de Trás-os-Montes,44.4,3.7,8.2,40.7,3.4,7.2
Alfândega da Fé,42.5,3.2,7.2,39.2,3.1,6.6
Bragança,45.2,3.9,9.2,41.3,3.5,7.9
Macedo de Cavaleiros,44.8,3.5,8.4,41.3,3.3,7.5
Miranda do Douro,41.7,3.5,7.2,38.5,3.2,6.4
Mirandela,43.9,3.6,8,40.3,3.3,7.1
Mogadouro,43.1,3.4,7.1,39.5,3.1,6.3
Vila Flor,42.5,3.2,7.4,39.3,3,6.6
Vimioso,42.2,3.2,7.4,39.1,3.1,6.9
Vinhais,39.7,3.1,6,36.9,2.9,5.5
Centro,43,3.3,7,39,3,6.1
Oeste,42.9,3.3,7.1,39.1,3.1,6.3
Alcobaça,39.8,2.9,5.8,36.4,2.8,5.2
Alenquer,41.3,3.2,6.6,37.8,3,5.8
Arruda dos Vinhos,45.3,3.7,8.1,41.1,3.4,7
Bombarral,42.4,3.2,6.6,38.7,3,6
Cadaval,42,3.2,6.8,38.5,3,6.1
Caldas da Rainha,44.3,3.4,7.8,40.3,3.2,6.9
Lourinhã,43.2,3.4,7.7,39.6,3.1,6.9
Nazaré,41.7,3.3,7.3,38.3,3.1,6.5
Óbidos,43.8,3.3,7.4,40.1,3.1,6.8
Peniche,41.6,3.2,6.9,38.1,3,6.1
Sobral de Monte Agraço,43.7,3.4,7.3,39.8,3.1,6.4
Torres Vedras,44.3,3.4,7.5,40.2,3.1,6.6
Região de Aveiro,43.6,3.4,7.3,39.6,3.1,6.4
Águeda,41.5,3,6.1,37.9,2.8,5.4
Albergaria-a-Velha,39.9,3,6.1,36.7,2.9,5.5
Anadia,43.5,3.2,6.7,39.4,3,6
Aveiro,46,3.8,8.7,41.5,3.4,7.2
Estarreja,41.3,3.3,6.8,37.9,3,6.1
Ílhavo,44.3,3.6,8.4,40.3,3.2,7.1
Murtosa,45.2,3.9,10.7,41.7,3.7,9.3
Oliveira do Bairro,41.1,3.2,6.6,37.9,3,5.8
Ovar,42.5,3.2,6.9,38.7,3,6.1
Sever do Vouga,39.5,3.1,6.1,36.4,2.9,5.6
Vagos,41.9,3.2,6.9,38.3,3,6.2
Região de Coimbra,44.5,3.5,7.5,40.1,3.1,6.4
Arganil,38.5,2.8,5.6,35.7,2.7,5.1
Cantanhede,42.5,3.5,7.3,39,3.2,6.5
Coimbra,47.1,4.2,9.1,42.1,3.6,7.4
Condeixa-a-Nova,41.8,3.5,7.4,38.3,3.2,6.4
Figueira da Foz,43.9,3.6,7.6,39.7,3.2,6.4
Góis,37.7,2.7,5.5,34.9,2.6,5.1
Lousã,40.4,3.2,6.7,37.2,3,5.9
Mealhada,40.7,3.2,6.6,37.3,3,5.8
Mira,43.5,3.4,7.3,39.6,3.1,6.4
Miranda do Corvo,38.9,3,5.7,35.8,2.8,5.2
Montemor-o-Velho,38.9,3.1,5.7,35.7,2.8,5.1
Mortágua,39.5,2.9,6,36.4,2.7,5.5
Oliveira do Hospital,38.3,2.8,5.4,35.4,2.7,4.9
Pampilhosa da Serra,36,2.7,5,33.3,2.6,4.6
Penacova,37.7,3,5.8,35.1,2.9,5.3
Penela,41.1,3.2,6.3,37.6,3,5.8
Soure,38.7,3.1,6,35.6,2.9,5.4
Tábua,38.9,2.8,5.7,35.9,2.7,5.3
