,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Portugal,2321620,7825,187185,278697,589526,718845,1332,40572,416511,67519,7867
Continente,2232400,7345,178142,265477,563823,692025,1142,39865,404890,66239,7767
Norte,809359,2256,74829,126099,207419,234298,400,11682,126585,21774,3150
Alto Minho,44764,72,2381,6383,13025,15598,28,596,5858,765,29
Arcos de Valdevez,4074,…,261,528,1143,1579,…,24,438,95,…
Caminha,1834,…,107,237,539,692,…,25,204,20,…
Melgaço,839,0,56,77,261,317,…,10,103,…,0
Monção,2648,6,209,375,813,896,4,28,289,27,0
Paredes de Coura,934,…,99,114,246,337,…,12,110,10,0
Ponte da Barca,1276,3,108,222,358,429,0,9,135,11,0
Ponte de Lima,7774,10,451,1362,2427,2565,…,105,740,…,11
Valença,2941,3,142,332,963,1158,4,21,282,27,3
Viana do Castelo,19041,38,787,2675,5120,6456,11,313,3209,412,7
Vila Nova de Cerveira,3403,…,161,461,1155,1169,…,49,348,52,3
Cávado,101303,191,8004,18120,26638,28625,42,847,15531,2896,332
Amares,2973,10,301,702,887,773,3,12,235,27,9
Barcelos,31052,76,2891,7525,8940,7814,14,193,3139,431,16
Braga,51439,80,3512,6573,12118,15805,21,528,10285,2184,295
Esposende,7165,11,634,1660,1893,1880,…,63,892,121,…
Terras de Bouro,976,8,81,122,327,305,0,6,97,30,0
Vila Verde,7698,6,585,1538,2473,2048,…,45,883,103,…
Ave,103641,362,11923,20391,28855,28476,44,854,10596,1781,291
Cabeceiras de Basto,2121,…,210,411,686,563,0,23,213,10,…
Fafe,9061,…,894,2092,3018,2100,…,67,742,97,23
Guimarães,44340,126,5791,8674,12019,11578,17,353,4726,823,201
Mondim de Basto,547,3,76,103,144,166,0,4,47,4,0
Póvoa de Lanhoso,3523,…,339,650,1061,1063,…,25,337,37,…
Vieira do Minho,1102,…,88,232,367,310,…,8,84,7,…
Vila Nova de Famalicão,36934,171,3446,6876,9869,11308,20,356,4067,740,54
Vizela,6013,27,1079,1353,1691,1388,…,18,380,63,…
A. M. Porto,424288,1138,34694,54885,101877,126140,220,7966,79720,14691,2362
Arouca,4126,…,377,1038,1223,975,…,38,408,57,…
Espinho,4392,10,481,554,1144,1397,…,76,637,64,…
Gondomar,17109,30,1554,2297,4807,5339,6,222,2471,358,15
Maia,47784,131,4385,5456,11596,14356,26,957,8940,1736,138
Matosinhos,44749,93,2982,4076,9394,13937,20,1185,10689,2097,175
Oliveira de Azeméis,19699,53,1921,4276,5622,5231,6,273,1939,345,13
