,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Portugal,2321620,95616,294525,262084,320225,482274,25475,324410,245877,269299
Continente,2232400,92852,285999,253827,307787,457144,24433,313362,240980,254198
Norte,809359,31948,89161,86880,103132,144337,5759,151844,112078,83741
Alto Minho,44764,1475,3580,4333,4836,8460,667,8947,7439,5019
Arcos de Valdevez,4074,145,237,478,306,650,50,776,851,579
Caminha,1834,108,156,155,185,570,35,216,85,323
Melgaço,839,30,56,60,75,322,23,87,107,79
Monção,2648,81,191,173,301,722,38,505,305,332
Paredes de Coura,934,25,60,106,69,210,19,96,191,158
Ponte da Barca,1276,38,112,76,130,404,62,235,77,141
Ponte de Lima,7774,259,383,661,740,1302,118,2089,1582,640
Valença,2941,84,148,220,330,557,49,389,507,657
Viana do Castelo,19041,599,2126,2101,2310,3397,232,3833,2441,1998
Vila Nova de Cerveira,3403,106,111,303,390,326,41,721,1293,112
Cávado,101303,4015,11437,10982,11488,15931,682,21631,15229,9866
Amares,2973,150,123,189,384,475,70,765,408,407
Barcelos,31052,1094,2028,2846,3344,3479,296,8089,7161,2707
Braga,51439,2007,8023,6712,6193,9271,155,8457,5661,4931
Esposende,7165,272,586,653,749,1075,71,2058,865,833
Terras de Bouro,976,47,85,89,69,320,23,95,55,193
Vila Verde,7698,445,592,493,749,1311,67,2167,1079,795
Ave,103641,3722,6634,9900,12551,13131,440,20972,26022,10229
Cabeceiras de Basto,2121,85,119,145,201,374,24,443,327,403
Fafe,9061,374,526,626,833,1331,39,2087,2191,1053
Guimarães,44340,1655,2971,4250,5662,5600,153,8596,11120,4312
Mondim de Basto,547,28,14,44,59,143,23,88,87,61
Póvoa de Lanhoso,3523,162,182,312,537,632,30,844,459,362
Vieira do Minho,1102,42,69,63,90,293,15,221,105,204
Vila Nova de Famalicão,36934,1226,2550,4024,4549,4058,148,7023,10039,3302
Vizela,6013,150,203,436,620,700,8,1670,1694,532
A. M. Porto,424288,17530,57874,51087,60595,82513,2294,65610,44926,41526
Arouca,4126,144,232,376,395,563,92,1145,590,588
Espinho,4392,…,402,389,682,1248,…,582,379,482
Gondomar,17109,732,1866,1625,2381,3805,45,3324,1493,1836
Maia,47784,1903,5000,7559,7818,9175,213,5961,4584,5536
Matosinhos,44749,1805,8080,6091,6172,10161,113,4556,3147,4566
Oliveira de Azeméis,19699,585,1125,2009,2035,2074,39,5392,4812,1624
Paredes,16642,691,934,1618,2199,1863,41,5525,1994,1774
Porto,97470,4498,23917,13079,15646,23407,96,4803,3208,8638
