,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Portugal,661607,183875,28621,36466,30052,24409,19664,46238,5182,26161,10646
Continente,648079,182178,28292,36224,29762,24347,19590,44613,5151,25580,10604
Norte,90253,42752,3575,2840,1516,2849,769,1865,172,4356,789
Alto Minho,6166,2327,184,162,159,71,23,285,7,208,120
Arcos de Valdevez,299,86,1,28,3,4,3,25,0,11,14
Caminha,513,110,6,29,8,9,1,34,1,24,3
Melgaço,120,56,1,3,0,0,0,1,0,6,4
Monção,733,337,47,9,11,3,2,12,1,30,7
Paredes de Coura,150,25,0,0,0,1,0,30,0,4,3
Ponte da Barca,126,35,1,9,0,1,0,16,0,19,5
Ponte de Lima,446,147,9,2,6,4,4,34,2,22,2
Valença,845,363,22,18,19,5,1,31,1,11,3
Viana do Castelo,2473,1063,80,62,105,31,8,68,2,69,79
Vila Nova de Cerveira,461,105,17,2,7,13,4,34,0,12,0
Cávado,15134,8690,624,317,277,505,127,182,22,466,76
Amares,371,197,12,2,5,7,0,9,4,7,12
Barcelos,1493,698,95,105,22,50,6,14,2,56,10
Braga,11774,7125,463,202,237,416,120,91,12,332,51
Esposende,818,353,29,4,5,12,1,33,3,42,2
Terras de Bouro,70,9,2,1,1,2,0,14,0,6,0
Vila Verde,608,308,23,3,7,18,0,21,1,23,1
Ave,5950,2750,342,103,117,163,52,63,12,320,28
Cabeceiras de Basto,144,25,3,0,3,3,0,7,1,21,0
Fafe,371,175,9,7,10,13,0,10,0,48,0
Guimarães,2481,1185,66,61,60,82,38,18,1,91,6
Mondim de Basto,66,33,1,0,0,2,0,2,0,9,2
Póvoa de Lanhoso,299,109,8,4,32,3,0,4,0,29,0
Vieira do Minho,142,42,2,0,2,2,0,6,3,15,0
Vila Nova de Famalicão,2234,1043,252,30,10,56,11,15,7,93,20
Vizela,213,138,1,1,0,2,3,1,0,14,0
A. M. Porto,52655,25631,1974,1269,523,1759,396,1166,105,2725,303
Arouca,125,72,0,0,0,2,2,5,0,9,2
Espinho,827,295,45,6,26,16,2,14,0,56,2
Gondomar,2987,1550,113,96,52,146,29,36,6,135,41
Maia,3614,2069,243,116,35,108,18,47,2,103,17
Matosinhos,5804,3110,147,114,23,108,42,184,5,242,31
Oliveira de Azeméis,991,419,119,7,33,28,15,11,4,28,0
Paredes,791,361,44,5,7,25,1,3,2,35,1
Porto,17156,7639,213,609,131,451,151,589,25,571,114
Póvoa de Varzim,2221,1207,101,12,19,25,7,21,1,228,2
Santa Maria da Feira,1820,722,159,42,47,60,2,17,11,91,5
Santo Tirso,576,239,42,3,8,17,4,4,2,65,4
São João da Madeira,865,433,93,4,13,18,2,8,3,54,3
Trofa,651,309,106,8,5,16,1,2,1,29,13
Vale de Cambra,385,224,48,2,7,8,1,5,0,17,7
Valongo,1634,913,112,20,12,57,5,20,5,53,14
Vila do Conde,2488,818,58,16,11,32,1,30,0,760,2
Vila Nova de Gaia,9720,5251,331,209,94,642,113,170,38,249,45
Alto Tâmega,1285,429,60,5,41,14,3,19,0,112,6
Boticas,50,18,0,0,0,1,0,2,0,9,6
Chaves,682,276,25,2,23,7,2,7,0,54,0
Montalegre,98,29,9,3,0,0,0,3,0,9,0
Ribeira de Pena,101,30,0,0,6,1,0,2,0,7,0
Valpaços,177,35,17,0,6,3,1,5,0,17,0
Vila Pouca de Aguiar,177,41,9,0,6,2,0,0,0,16,0
Tâmega e Sousa,2891,1218,146,32,57,131,29,99,8,175,62
Amarante,416,153,23,6,16,28,2,38,1,17,4
Baião,105,32,2,0,4,3,0,14,1,9,0
Castelo de Paiva,98,40,0,0,3,5,0,0,0,13,17
Celorico de Basto,82,22,1,2,3,2,0,0,0,6,0
