,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Portugal,111.7,0.02,-0.38,0.4,8.2,12,1.8,1.7,37.2,6.7,1.4,41.6,57.9,12.3
Continente,110,0.03,-0.39,0.42,8.2,12.1,1.8,1.7,37.5,6.5,1.41,41.3,58,12.3
Norte,167.5,-0.25,-0.37,0.12,7.5,11.2,1.8,1.7,33.4,4.3,1.25,42.4,50.7,17.8
Alto Minho,103.2,-0.59,-0.81,0.23,6.5,14.6,1.8,1.6,30.6,3.4,1.13,39.4,52.5,15.7
Arcos de Valdevez,46.4,-0.68,-1.28,0.6,5.2,18,1.5,1.3,27.5,x,x,34.3,51.9,6.5
Caminha,115.6,-0.57,-1,0.44,6.4,16.4,1.5,1.6,30.4,x,x,38.6,58.4,26.1
Melgaço,33.5,-1.27,-2.09,0.82,3.7,24.6,1.2,1.9,20.9,x,x,32,60,20
Monção,83.9,-0.8,-1.42,0.62,5,19.2,1.3,1.6,25,x,x,36.6,59.6,0
Paredes de Coura,61.3,-0.74,-1.02,0.28,6.7,16.9,0.2,1.1,33.5,x,x,38,49.1,0
Ponte da Barca,60.9,-0.74,-1.1,0.36,6,17,2.6,1.9,26.8,x,x,41.3,56.7,17.2
Ponte de Lima,128.2,-0.62,-0.52,-0.1,7.1,12.3,1.6,1.1,31.2,x,x,42.6,42.3,26.6
Valença,112.6,-0.73,-1.18,0.45,5.4,17.2,1.8,1.9,25.1,x,x,40.3,69.4,8.3
Viana do Castelo,263.5,-0.43,-0.44,0.01,7.3,11.7,2.2,2,34.2,x,x,40.1,51.9,16.1
Vila Nova de Cerveira,82.1,-0.11,-0.8,0.69,6.3,14.3,2.5,0.7,28.3,x,x,42.1,64.3,4.5
Cávado,324.2,-0.14,-0.09,-0.06,8.3,9.2,2.1,1.8,34.7,2.3,1.29,45.4,42.8,18
Amares,220.7,-0.22,-0.34,0.12,7.8,11.2,2.2,2.1,32.6,x,x,46.2,43.7,2.5
Barcelos,305.1,-0.52,-0.15,-0.37,7.4,8.9,1.6,1.7,31.2,x,x,44.8,37.5,23.5
Braga,997.4,0.13,0.08,0.06,9.3,8.5,2.5,1.8,38.2,x,x,45.7,44.9,19.7
Esposende,358.1,-0.02,-0.2,0.18,7.7,9.7,1.7,1.9,32,x,x,45.5,41.1,12.3
Terras de Bouro,22.8,-0.73,-0.74,0.02,6.3,13.7,2.4,0.9,31,x,x,38.6,42.5,6.7
Vila Verde,204.5,-0.3,-0.32,0.02,7.7,10.9,1.9,1.6,32.3,x,x,45.7,46.4,10.5
Ave,282.6,-0.4,-0.2,-0.2,7.9,9.9,1.4,1.6,34.2,3,1.28,43.9,45.2,18.2
Cabeceiras de Basto,64.2,-0.65,-0.55,-0.11,7.1,12.6,1.5,1.5,30.7,x,x,44.6,42.3,13
Fafe,217.9,-0.67,-0.4,-0.26,7.1,11.1,1.5,2,31.1,x,x,42.7,50.1,15.1
Guimarães,629.1,-0.45,-0.09,-0.36,8.4,9.3,1.1,1.5,36.9,x,x,43.4,44.8,12.8
Mondim de Basto,40,-0.95,-1.14,0.19,4.2,15.6,3.6,1,18.2,x,x,44.1,27.6,12
Póvoa de Lanhoso,159.5,-0.09,-0.45,0.36,7.3,11.8,1.7,2.2,31,x,x,44.5,35.7,0
Vieira do Minho,54.5,-0.47,-0.69,0.22,6.3,13.2,2.3,1.1,29.4,x,x,40.5,47.3,37
Vila Nova de Famalicão,651.3,-0.29,-0.13,-0.16,8.1,9.4,1.4,1.6,34.3,x,x,44.5,45.2,27.1
Vizela,967.6,0,0.12,-0.11,8.3,7.1,1.8,1.6,34,x,x,46.9,49.5,16.7
A. M. Porto,846.4,-0.03,-0.28,0.25,7.9,10.7,2,1.9,35.1,5,1.33,42,54.6,16.3
Arouca,62.6,-0.54,-0.24,-0.3,7.7,10.2,1.4,1.9,35.7,x,x,40.8,44.4,11.1
Espinho,1397.4,-0.31,-0.67,0.36,7.3,14,4.3,2.2,37.8,x,x,35.7,61.7,9.6
Gondomar,1256.1,-0.17,-0.27,0.1,7.7,10.5,1,1.7,34.4,x,x,42.3,61.7,22
Maia,1683.7,0.48,-0.1,0.58,7.6,8.6,1.5,1.8,31.4,x,x,45.3,53.4,15.5
Matosinhos,2812.5,0.11,-0.28,0.39,7.8,10.6,1.2,2,35.3,x,x,41.4,55.7,16.1
Oliveira de Azeméis,408.1,-0.39,-0.35,-0.04,7,10.5,1,1.8,32.3,x,x,41.2,50,21.7
