,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Portugal,1366508,632420,734089,77927892,33563436,44364456
Continente,1301346,599090,702256,73856344,31542429,42313915
Norte,486054,221940,264114,28348618,11945796,16402822
Alto Minho,21907,10275,11632,1284083,557061,727022
Arcos de Valdevez,1414,602,812,87469,35437,52032
Caminha,1649,760,890,96965,41062,55903
Melgaço,329,127,202,19976,7177,12799
Monção,1280,481,799,79489,27774,51715
Paredes de Coura,1103,530,573,65487,30917,34570
Ponte da Barca,711,328,383,43865,19388,24477
Ponte de Lima,3604,1674,1930,217842,94018,123824
Valença,1660,690,970,101727,41286,60441
Viana do Castelo,9148,4627,4522,511469,234301,277168
Vila Nova de Cerveira,1008,457,551,59794,25701,34093
Cávado,45896,19967,25929,2652333,1067876,1584457
Amares,1878,727,1151,111778,38750,73028
Barcelos,11418,5300,6118,667298,280608,386690
Braga,24559,10484,14075,1392374,557667,834707
Esposende,3159,1354,1805,182800,72606,110194
Terras de Bouro,825,374,451,55543,22254,33289
Vila Verde,4057,1729,2328,242540,95991,146549
Ave,67146,27629,39517,3990425,1520180,2470245
Cabeceiras de Basto,1400,700,700,85891,39737,46154
Fafe,8243,3228,5016,515310,189939,325371
Guimarães,28135,11463,16672,1674929,641783,1033146
Mondim de Basto,392,196,196,26098,13516,12582
Póvoa de Lanhoso,2702,1243,1459,157617,63719,93898
Vieira do Minho,1464,709,756,87364,36170,51194
Vila Nova de Famalicão,20066,8225,11841,1154374,429458,724916
Vizela,4743,1865,2878,288842,105858,182984
A. M. Porto,264606,125215,139391,15140954,6639137,8501817
Arouca,1746,705,1041,106333,38773,67560
Espinho,4108,2100,2008,238351,112878,125473
Gondomar,25964,12959,13005,1532543,719477,813066
Maia,20076,9442,10635,1096146,473922,622224
Matosinhos,28535,14717,13819,1552689,745155,807534
Oliveira de Azeméis,8710,3756,4955,517118,203782,313336
Paredes,11261,4697,6564,707446,267142,440304
Porto,34365,16917,17448,1895832,895575,1000257
Póvoa de Varzim,8572,4088,4484,487914,209606,278308
Santa Maria da Feira,19760,8696,11063,1154977,468954,686023
Santo Tirso,11032,4545,6486,653786,246855,406931
São João da Madeira,4066,1792,2275,244029,102469,141560
Trofa,6412,2397,4015,385515,130985,254530
Vale de Cambra,1620,609,1011,93260,30229,63031
Valongo,14455,6748,7707,835057,358965,476092
Vila do Conde,12428,5808,6620,710166,297404,412762
Vila Nova de Gaia,51497,25240,26257,2929792,1336966,1592826
Alto Tâmega,6148,2935,3213,377447,167804,209643
Boticas,332,173,159,19146,9312,9834
Chaves,3128,1370,1758,195675,80758,114917
Montalegre,516,334,182,30387,17740,12647
Ribeira de Pena,460,203,257,28166,11318,16848
Valpaços,753,321,432,48600,20089,28511
Vila Pouca de Aguiar,960,535,425,55473,28587,26886
Tâmega e Sousa,55447,23542,31905,3401031,1294335,2106696
Amarante,6581,2820,3761,396253,151565,244688
Baião,1988,1074,914,117896,56019,61877
Castelo de Paiva,1632,843,790,96800,43711,53089
Celorico de Basto,1595,758,837,96322,41388,54934
Cinfães,2385,1433,952,136979,74286,62693
Felgueiras,10334,4401,5933,644456,258384,386072
Lousada,6922,2421,4501,433877,137618,296259
Marco de Canaveses,7387,3153,4235,443344,161283,282061
Paços de Ferreira,6967,2785,4182,437606,161985,275621
Penafiel,8930,3459,5471,551651,184530,367121
Resende,725,395,330,45847,23566,22281
Douro,17422,8802,8620,1042469,493851,548618
Alijó,925,570,355,54845,30689,24156
Armamar,470,210,260,28698,12108,16590
Carrazeda de Ansiães,356,145,211,23138,8174,14964
Freixo de Espada à Cinta,182,90,93,11494,5393,6101
Lamego,3485,1919,1565,202817,105711,97106
Mesão Frio,324,146,178,18772,7944,10828
Moimenta da Beira,806,402,403,50210,23450,26760
Murça,390,185,205,23578,10178,13400
Penedono,143,49,95,9020,2846,6174
Peso da Régua,1550,757,793,95553,43849,51704
Sabrosa,413,177,236,27097,10695,16402
Santa Marta de Penaguião,683,343,339,41515,19999,21516
São João da Pesqueira,432,219,213,26202,12124,14078
Sernancelhe,302,119,183,19052,6712,12340
Tabuaço,392,183,209,25584,11243,14341
Tarouca,720,386,335,39072,19865,19207
Torre de Moncorvo,548,230,318,34520,13506,21014
Vila Nova de Foz Côa,434,228,206,26324,12538,13786
Vila Real,4867,2444,2422,284978,136827,148151
Terras de Trás-os-Montes,7482,3575,3907,459876,205552,254324
Alfândega da Fé,377,237,139,21493,12896,8597
Bragança,2357,1092,1265,146101,64756,81345
Macedo de Cavaleiros,1016,492,524,61121,27914,33207
Miranda do Douro,239,89,149,14682,4870,9812
Mirandela,1918,849,1069,117050,46604,70446
Mogadouro,503,256,247,31730,15304,16426
Vila Flor,536,296,239,32655,16564,16091
Vimioso,148,56,92,9390,3662,5728
Vinhais,388,206,183,25654,12982,12672
Centro,225405,102359,123047,12905204,5325746,7579458
Oeste,41306,17874,23432,2354532,906729,1447803
Alcobaça,4929,1943,2986,285163,101520,183643
Alenquer,6706,2973,3732,380443,154461,225982
Arruda dos Vinhos,1487,704,783,78269,33059,45210
Bombarral,1419,566,853,84356,29224,55132
Cadaval,1406,470,936,84540,24957,59583
Caldas da Rainha,6402,2662,3739,370268,137490,232778
Lourinhã,2648,1311,1337,147556,61824,85732
Nazaré,1931,746,1186,114206,40049,74157
Óbidos,1221,504,717,70448,24635,45813
Peniche,4220,2103,2117,244133,105859,138274
Sobral de Monte Agraço,841,403,438,48078,19570,28508
