,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Portugal,5241773,7323072,99530408,71928966,12393459,87136949
Continente,5011615,7000833,95349679,68930153,11997877,83351802
Norte,1782528,2550953,30986492,21607393,3439908,27546585
Alto Minho,116199,166430,1828650,1236757,170710,1657940
Arcos de Valdevez,10333,14687,137948,88273,10962,126987
Caminha,8333,11800,137034,95085,15185,121849
Melgaço,3790,5347,51759,34165,4338,47421
Monção,8585,12284,123007,81756,10422,112585
Paredes de Coura,4382,6363,60877,38500,4285,56592
Ponte da Barca,5750,8152,75920,47934,5547,70373
Ponte de Lima,19997,29115,289141,186651,21777,267364
Valença,7052,9847,101459,66343,7729,93730
Viana do Castelo,43452,62396,779190,549061,83861,695329
Vila Nova de Cerveira,4525,6439,72314,48989,6604,65710
Cávado,199488,287267,3466056,2405847,363001,3103055
Amares,8636,12715,130339,85370,10527,119812
Barcelos,56337,81820,853290,555235,68882,784408
Braga,93247,132763,1852927,1346984,227262,1625665
Esposende,17066,24555,292338,203532,32034,260304
Terras de Bouro,3051,4399,40592,25522,2888,37704
Vila Verde,21151,31015,296569,189205,21407,275162
Ave,210845,304419,3344206,2206269,293529,3050677
Cabeceiras de Basto,6939,10194,93567,59510,6698,86869
Fafe,24542,35336,352688,225244,27392,325295
Guimarães,80798,116107,1328385,882927,124862,1203522
Mondim de Basto,2946,4224,37050,22824,2493,34557
Póvoa de Lanhoso,9585,13999,132001,84184,9331,122670
Vieira do Minho,5419,7856,72281,46084,5330,66952
Vila Nova de Famalicão,68178,98845,1143754,769524,104199,1039555
Vizela,12438,17858,184480,115972,13224,171256
A. M. Porto,886569,1251922,16961288,12234799,2157295,14803992
Arouca,10137,15002,146567,93979,11081,135486
Espinho,16029,22497,299339,214875,37450,261889
Gondomar,82984,118520,1417811,979666,140743,1277068
Maia,67664,96957,1457576,1083679,193047,1264529
Matosinhos,89442,125590,1911893,1426110,269443,1642450
Oliveira de Azeméis,34799,50536,598589,407133,58596,539993
Paredes,41216,59937,566492,361189,42392,524100
Porto,125053,163917,3122097,2465442,593372,2528726
Póvoa de Varzim,31820,45495,542884,379397,59314,483570
Santa Maria da Feira,68885,99760,1136427,767290,107046,1029381
Santo Tirso,35749,51573,575365,379202,51480,523885
São João da Madeira,12073,16718,212671,147837,23201,189470
Trofa,19667,28495,327548,220695,30502,297046
Vale de Cambra,11053,16153,189516,128936,17794,171722
Valongo,47518,67941,824575,573066,81017,743559
Vila do Conde,40296,58106,722254,504639,79125,643129
Vila Nova de Gaia,152184,214725,2909682,2101665,361693,2547989
Alto Tâmega,38703,56567,558796,372166,50622,508174
Boticas,2267,3304,28729,17783,1944,26785
Chaves,17490,25418,284511,197929,29633,254879
Montalegre,4360,6273,56743,36474,4810,51934
Ribeira de Pena,2766,4013,35618,22721,2684,32934
Valpaços,6503,9665,79773,49618,5704,74069
