,"Pessoal ao serviço, Total, 2019 Po (N.º)","Pessoal ao serviço, Médicos, 2019 Po (N.º)","Pessoal ao serviço, Enfermeiros , 2019 Po (N.º)","Pessoal ao serviço, Pessoal auxiliar, 2019 Po (N.º)","Pessoal ao serviço, Técnicos de diagnóstico e terapêutica, 2019 Po (N.º)","Pessoal ao serviço, Outros, 2019 Po (N.º)","Atendimentos em serviço de urgência, Total de hospitais, 2019 Po (N.º)","Atendimentos em serviço de urgência, Hospitais públicos de acesso universal e hospitais em parceria público-privada, 2019 Po (N.º)"
Portugal,145319,28822,45444,33627,10090,27336,8155096,6724356
Continente,136879,27882,42866,31211,9562,25358,7843921,6425560
Norte,46795,10044,14572,10515,2965,8699,2835728,2196730
Alto Minho,…,…,…,…,…,…,…,167120
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,…,…,…,…,…,…,…,167120
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,5342,1128,1447,1220,303,1244,398751,287317
Amares,…,…,…,…,…,…,…,0
Barcelos,932,188,276,241,37,190,63673,63673
Braga,3846,896,1087,827,214,822,294048,223644
Esposende,…,…,…,…,…,…,…,0
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,…,…,…,…,…,…,…,0
Ave,2575,527,858,532,184,474,232383,139775
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,…,…,…,…,…,…,…,139775
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,…,…,…,…,…,…,…,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,…,…,…,…,…,…,…,0
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,29578,6397,9190,6638,1852,5501,1501776,1112434
Arouca,…,…,…,…,…,…,…,0
Espinho,…,…,…,…,…,…,…,0
Gondomar,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0
Matosinhos,…,…,…,…,…,…,…,89576
Oliveira de Azeméis,0,0,0,0,0,0,0,0
Paredes,…,…,…,…,…,…,…,0
Porto,17728,4123,5650,3898,1105,2952,507311,412709
Póvoa de Varzim,…,…,…,…,…,…,…,73626
Santa Maria da Feira,2127,387,684,672,131,253,217622,217622
Santo Tirso,1106,215,397,265,79,150,133027,133027
São João da Madeira,0,0,0,0,0,0,0,0
Trofa,…,…,…,…,…,…,…,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,…,…,…,…,…,…,…,0
Vila do Conde,0,0,0,0,0,0,0,0
Vila Nova de Gaia,4424,894,1347,1045,253,885,291760,185874
Alto Tâmega,0,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,…,…,…,…,…,…,…,194558
Amarante,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,…,…,…,…,…,…,…,0
Lousada,0,0,0,0,0,0,0,0
Marco de Canaveses,…,…,…,…,…,…,…,0
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,2070,444,684,537,118,287,194558,194558
Resende,0,0,0,0,0,0,0,0
Douro,…,…,…,…,…,…,…,183418
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,…,…,…,…,…,…,…,183418
Terras de Trás-os-Montes,…,…,…,…,…,…,…,112108
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,1340,181,497,334,105,223,112108,112108
Macedo de Cavaleiros,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,…,…,…,…,…,…,…,0
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,28739,5677,9597,6502,1972,4991,1614915,1468636
Oeste,2446,514,695,548,171,518,231791,182626
Alcobaça,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,…,…,…,…,…,…,…,182626
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,…,…,…,…,…,…,…,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,…,…,…,…,…,…,…,0
Região de Aveiro,2883,773,910,550,188,462,226281,175810
Águeda,0,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0
Anadia,…,…,…,…,…,…,…,0
Aveiro,…,…,…,…,…,…,…,175810
Estarreja,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,…,…,…,…,…,…,…,0
Ovar,207,20,62,53,22,50,0,0
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0
Região de Coimbra,11852,2466,3951,2652,776,2007,388413,372974
Arganil,0,0,0,0,0,0,0,0
Cantanhede,394,29,120,122,49,74,0,0
Coimbra,…,…,…,…,…,…,…,299039
Condeixa-a-Nova,…,…,…,…,…,…,…,0
Figueira da Foz,684,146,230,147,64,97,73935,73935
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0
Mealhada,…,…,…,…,…,…,…,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,…,…,…,…,…,…,…,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,2587,429,902,582,189,485,200913,189553
Alvaiázere,…,…,…,…,…,…,…,0
Ansião,…,…,…,…,…,…,…,0
Batalha,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,…,…,…,…,…,…,…,189553
Marinha Grande,…,…,…,…,…,…,…,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,…,…,…,…,…,…,…,160930
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,…,…,…,…,…,…,…,160930
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,945,117,376,226,66,160,65894,65894
Castelo Branco,945,117,376,226,66,160,65894,65894
Idanha-a-Nova,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,…,…,…,…,…,…,…,149311
Abrantes,0,0,0,0,0,0,0,0
Alcanena,…,…,…,…,…,…,…,0
Constância,72,8,21,0,9,34,1205,0
Entroncamento,…,…,…,…,…,…,…,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,0,0,0,0
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,0,0,0,0
Tomar,1917,230,740,517,153,277,149311,149311
Torres Novas,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,…,…,…,…,…,…,…,171538
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,1316,194,406,330,100,286,70962,70962
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,0,0,0,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,…,…,…,…,…,…,…,100576
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,0,0,0,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,48799,10111,14392,11149,3764,9383,2416636,1899855
Alcochete,0,0,0,0,0,0,0,0
Almada,2805,602,1001,637,206,359,163721,163721
Amadora,…,…,…,…,…,…,…,262226
Barreiro,1805,274,676,440,159,256,158921,158921
Cascais,2732,552,731,529,282,638,203440,161022
Lisboa,29843,6446,8616,6606,2335,5840,1085618,662282
Loures,…,…,…,…,…,…,…,200519
Mafra,0,0,0,0,0,0,0,0
Moita,0,0,0,0,0,0,0,0
Montijo,0,0,0,0,0,0,0,0
Odivelas,0,0,0,0,0,0,0,0
Oeiras,…,…,…,…,…,…,…,0
Palmela,0,0,0,0,0,0,0,0
Seixal,0,0,0,0,0,0,0,0
Sesimbra,0,0,0,0,0,0,0,0
Setúbal,…,…,…,…,…,…,…,146936
Sintra,816,38,185,395,12,186,0,0
Vila Franca de Xira,1254,263,410,292,96,193,144228,144228
Alentejo,6855,1109,2329,1736,510,1171,515577,497440
Alentejo Litoral,655,82,233,164,55,121,93233,93233
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,0,0,0,0,0,0,0,0
Odemira,0,0,0,0,0,0,0,0
Santiago do Cacém,655,82,233,164,55,121,93233,93233
Sines,0,0,0,0,0,0,0,0
Baixo Alentejo,1220,130,428,354,79,229,106156,106156
Aljustrel,0,0,0,0,0,0,0,0
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1220,130,428,354,79,229,106156,106156
Castro Verde,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,0,0,0,0
Moura,0,0,0,0,0,0,0,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,0,0,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,…,…,…,…,…,…,…,132646
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,0,0,0,0,0,0,0,0
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,0,0,0,0,0,0,0,0
Salvaterra de Magos,0,0,0,0,0,0,0,0
Santarém,…,…,…,…,…,…,…,132646
Alto Alentejo,…,…,…,…,…,…,…,90891
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,0,0,0,0,0,0,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,…,…,…,…,…,…,…,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,1126,111,421,281,86,227,90891,90891
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,…,…,…,…,…,…,…,74514
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,…,…,…,…,…,…,…,74514
Montemor-o-Novo,…,…,…,…,…,…,…,0
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,0,0,0,0
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,0,0,0,0
Algarve,5691,941,1976,1309,351,1114,461065,362899
Albufeira,…,…,…,…,…,…,…,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,…,…,…,…,…,…,…,362899
Lagoa,0,0,0,0,0,0,0,0
Lagos,…,…,…,…,…,…,…,0
Loulé,…,…,…,…,…,…,…,0
Monchique,0,0,0,0,0,0,0,0
Olhão,30,2,10,11,2,5,0,0
Portimão,…,…,…,…,…,…,…,0
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,…,…,…,…,…,…,…,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
