,"Farmácias e postos farmacêuticos móveis, Total (N.º)","Farmácias e postos farmacêuticos móveis, Farmácias (N.º)","Farmácias e postos farmacêuticos móveis, Postos farmacêuticos móveis  (N.º)","Farmacêuticos de oficina ┴, Postos farmacêuticos móveis  (N.º)","Técnicos de farmácia, Postos farmacêuticos móveis  (N.º)"
Portugal,3113,2922,191,9815,4445
Continente,2976,2804,172,9502,4334
Norte,928,908,20,3281,2096
Alto Minho,69,66,3,239,136
Arcos de Valdevez,6,6,0,21,14
Caminha,5,5,0,18,12
Melgaço,3,3,0,11,7
Monção,6,6,0,22,5
Paredes de Coura,3,3,0,7,3
Ponte da Barca,3,3,0,9,8
Ponte de Lima,10,9,1,42,12
Valença,3,3,0,12,5
Viana do Castelo,27,25,2,89,65
Vila Nova de Cerveira,3,3,0,8,5
Cávado,90,90,0,325,213
Amares,4,4,0,15,23
Barcelos,26,26,0,96,37
Braga,38,38,0,154,115
Esposende,8,8,0,28,11
Terras de Bouro,3,3,0,4,1
Vila Verde,11,11,0,28,26
Ave,92,91,1,311,161
Cabeceiras de Basto,4,4,0,12,10
Fafe,9,9,0,35,23
Guimarães,35,35,0,135,64
Mondim de Basto,2,2,0,5,3
Póvoa de Lanhoso,5,5,0,12,9
Vieira do Minho,4,4,0,8,2
Vila Nova de Famalicão,29,28,1,86,44
Vizela,4,4,0,18,6
A. M. Porto,433,432,1,1774,1011
Arouca,7,7,0,18,9
Espinho,10,10,0,38,18
Gondomar,33,33,0,139,115
Maia,26,26,0,117,86
Matosinhos,36,36,0,186,104
Oliveira de Azeméis,16,16,0,52,31
Paredes,16,16,0,55,40
Porto,109,109,0,485,189
Póvoa de Varzim,15,15,0,60,35
Santa Maria da Feira,27,27,0,109,36
Santo Tirso,18,17,1,61,31
São João da Madeira,5,5,0,25,24
Trofa,8,8,0,24,19
Vale de Cambra,6,6,0,19,14
Valongo,18,18,0,65,67
Vila do Conde,17,17,0,60,47
Vila Nova de Gaia,66,66,0,261,146
Alto Tâmega,32,31,1,77,110
Boticas,2,2,0,4,5
Chaves,12,12,0,28,67
Montalegre,5,4,1,9,0
Ribeira de Pena,2,2,0,4,3
Valpaços,7,7,0,18,17
Vila Pouca de Aguiar,4,4,0,14,18
Tâmega e Sousa,99,94,5,296,227
Amarante,14,13,1,45,40
Baião,6,6,0,14,10
Castelo de Paiva,4,4,0,11,6
Celorico de Basto,5,5,0,13,5
Cinfães,8,6,2,18,22
Felgueiras,12,12,0,37,29
Lousada,9,9,0,27,18
Marco de Canaveses,12,10,2,35,32
Paços de Ferreira,11,11,0,39,19
Penafiel,15,15,0,49,34
Resende,3,3,0,8,12
Douro,77,68,9,170,168
Alijó,8,6,2,13,12
Armamar,2,2,0,7,2
Carrazeda de Ansiães,2,2,0,4,2
Freixo de Espada à Cinta,1,1,0,2,2
Lamego,12,8,4,21,26
Mesão Frio,3,3,0,5,4
Moimenta da Beira,3,3,0,7,9
Murça,2,2,0,4,3
Penedono,1,1,0,2,0
Peso da Régua,7,7,0,18,23
Sabrosa,2,2,0,6,8
Santa Marta de Penaguião,2,2,0,4,4
São João da Pesqueira,3,2,1,5,3
Sernancelhe,2,2,0,4,3
Tabuaço,3,2,1,3,8
Tarouca,2,2,0,7,3
Torre de Moncorvo,3,3,0,3,3
Vila Nova de Foz Côa,4,3,1,5,6
Vila Real,15,15,0,50,47
Terras de Trás-os-Montes,36,36,0,89,70
Alfândega da Fé,2,2,0,9,1
Bragança,9,9,0,24,25
Macedo de Cavaleiros,4,4,0,8,14
Miranda do Douro,2,2,0,3,0
Mirandela,7,7,0,24,11
Mogadouro,3,3,0,6,12
Vila Flor,2,2,0,3,4
Vimioso,3,3,0,5,0
Vinhais,4,4,0,7,3
Centro,797,736,61,2288,1128
Oeste,107,103,4,316,112
Alcobaça,16,16,0,42,8
Alenquer,13,12,1,55,18
Arruda dos Vinhos,2,2,0,4,8
Bombarral,4,3,1,6,4
Cadaval,5,5,0,10,10
Caldas da Rainha,15,15,0,51,11
Lourinhã,6,6,0,14,7
Nazaré,6,6,0,14,6
Óbidos,5,3,2,10,0
Peniche,7,7,0,17,15
Sobral de Monte Agraço,3,3,0,8,2
Torres Vedras,25,25,0,85,23
Região de Aveiro,110,109,1,384,150
Águeda,14,13,1,48,16
Albergaria-a-Velha,9,9,0,24,9
Anadia,13,13,0,36,6
Aveiro,21,21,0,77,49
Estarreja,6,6,0,15,18
Ílhavo,8,8,0,36,13
Murtosa,4,4,0,10,6
Oliveira do Bairro,7,7,0,26,10
Ovar,16,16,0,66,12
Sever do Vouga,5,5,0,15,8
Vagos,7,7,0,31,3
Região de Coimbra,171,162,9,571,277
Arganil,4,4,0,12,7
Cantanhede,16,15,1,43,16
Coimbra,49,49,0,228,67
Condeixa-a-Nova,5,5,0,21,6
Figueira da Foz,24,23,1,81,50
Góis,3,3,0,6,4
Lousã,4,3,1,13,13
Mealhada,7,7,0,22,12
Mira,6,6,0,14,13
Miranda do Corvo,3,3,0,12,2
Montemor-o-Velho,11,10,1,32,27
Mortágua,4,3,1,10,13
Oliveira do Hospital,8,8,0,27,10
Pampilhosa da Serra,2,2,0,3,2
Penacova,7,5,2,9,3
Penela,2,2,0,4,4
Soure,9,8,1,19,15
Tábua,5,4,1,11,10
Vila Nova de Poiares,2,2,0,4,3
Região de Leiria,93,86,7,270,64
Alvaiázere,4,3,1,7,1
Ansião,5,5,0,14,4
Batalha,5,3,2,16,2
Castanheira de Pêra,1,1,0,3,1
Figueiró dos Vinhos,5,4,1,6,5
Leiria,33,32,1,117,35
Marinha Grande,9,8,1,28,6
Pedrógão Grande,1,1,0,4,0
Pombal,21,20,1,53,7
Porto de Mós,9,9,0,22,3
Viseu Dão Lafões,90,85,5,243,235
Aguiar da Beira,2,2,0,5,2
Carregal do Sal,4,4,0,11,9
Castro Daire,5,5,0,20,15
Mangualde,8,6,2,16,10
Nelas,6,6,0,14,8
Oliveira de Frades,3,3,0,9,1
Penalva do Castelo,2,2,0,6,2
Santa Comba Dão,4,4,0,13,7
São Pedro do Sul,9,8,1,16,16
Sátão,3,3,0,7,1
Tondela,13,11,2,27,41
Vila Nova de Paiva,1,1,0,3,0
Viseu,26,26,0,88,101
Vouzela,4,4,0,8,22
Beira Baixa,37,30,7,82,33
Castelo Branco,18,18,0,57,26
Idanha-a-Nova,8,4,4,6,3
Oleiros,3,3,0,6,0
Penamacor,5,2,3,4,1
Proença-a-Nova,2,2,0,5,1
Vila Velha de Ródão,1,1,0,4,2
Médio Tejo,91,78,13,219,66
Abrantes,15,13,2,43,12
Alcanena,5,5,0,10,4
Constância,3,2,1,5,2
Entroncamento,4,4,0,17,3
Ferreira do Zêzere,4,3,1,4,1
Mação,5,4,1,6,2
Ourém,20,15,5,40,15
Sardoal,2,1,1,2,3
Sertã,4,4,0,13,3
Tomar,13,12,1,34,14
Torres Novas,12,11,1,36,3
Vila de Rei,1,1,0,4,3
Vila Nova da Barquinha,3,3,0,5,1
Beiras e Serra da Estrela,98,83,15,203,191
Almeida,2,2,0,3,5
Belmonte,2,2,0,6,4
Celorico da Beira,4,3,1,5,8
Covilhã,22,19,3,59,25
Figueira de Castelo Rodrigo,3,3,0,9,4
Fornos de Algodres,2,2,0,3,1
Fundão,10,8,2,28,8
Gouveia,7,5,2,10,18
Guarda,13,12,1,32,44
Manteigas,2,2,0,3,4
Mêda,1,1,0,1,6
Pinhel,5,5,0,10,17
Sabugal,9,5,4,8,12
Seia,10,10,0,19,28
Trancoso,6,4,2,7,7
A. M. Lisboa,783,779,4,3035,696
Alcochete,5,5,0,10,2
Almada,47,47,0,193,36
Amadora,41,41,0,141,67
Barreiro,23,23,0,91,30
Cascais,42,42,0,195,44
Lisboa,256,256,0,1030,139
Loures,53,52,1,202,91
Mafra,15,14,1,48,10
Moita,16,16,0,52,9
Montijo,14,14,0,55,19
Odivelas,36,36,0,126,23
Oeiras,50,50,0,187,34
Palmela,15,15,0,57,4
Seixal,35,35,0,142,29
Sesimbra,8,8,0,38,11
Setúbal,30,30,0,115,31
Sintra,69,67,2,259,94
Vila Franca de Xira,28,28,0,94,23
Alentejo,348,267,81,562,287
Alentejo Litoral,36,33,3,66,37
Alcácer do Sal,5,4,1,7,5
Grândola,5,5,0,7,4
Odemira,12,10,2,16,13
Santiago do Cacém,11,11,0,29,7
Sines,3,3,0,7,8
Baixo Alentejo,60,46,14,88,40
Aljustrel,4,4,0,7,3
Almodôvar,3,2,1,3,0
Alvito,2,2,0,1,1
Barrancos,1,1,0,1,0
Beja,13,10,3,29,17
Castro Verde,3,2,1,4,3
Cuba,3,1,2,2,1
Ferreira do Alentejo,6,4,2,5,4
Mértola,2,2,0,2,0
Moura,11,9,2,14,3
Ourique,5,2,3,2,1
Serpa,5,5,0,12,4
Vidigueira,2,2,0,6,3
Lezíria do Tejo,88,80,8,202,85
Almeirim,6,6,0,18,5
Alpiarça,3,3,0,8,1
Azambuja,6,6,0,16,10
Benavente,7,7,0,20,8
Cartaxo,8,8,0,22,7
Chamusca,9,7,2,11,3
Coruche,6,6,0,12,11
Golegã,3,3,0,5,0
Rio Maior,5,5,0,14,5
Salvaterra de Magos,9,6,3,15,9
Santarém,26,23,3,61,26
Alto Alentejo,77,46,31,79,53
Alter do Chão,4,2,2,3,1
Arronches,3,2,1,2,2
Avis,5,1,4,1,0
Campo Maior,3,2,1,4,2
Castelo de Vide,3,2,1,6,1
Crato,5,3,2,3,5
Elvas,10,7,3,12,8
Fronteira,3,2,1,2,2
Gavião,4,3,1,4,1
Marvão,3,1,2,2,3
Monforte,4,1,3,1,0
Nisa,5,4,1,5,2
Ponte de Sor,7,5,2,11,4
Portalegre,14,9,5,19,21
Sousel,4,2,2,4,1
Alentejo Central,87,62,25,127,72
Alandroal,4,2,2,5,3
Arraiolos,6,3,3,4,5
Borba,4,3,1,3,7
Estremoz,7,5,2,11,5
Évora,22,19,3,46,22
Montemor-o-Novo,11,6,5,11,5
Mora,5,3,2,6,2
Mourão,5,1,4,1,1
Portel,2,2,0,5,2
Redondo,3,3,0,7,7
Reguengos de Monsaraz,5,4,1,8,3
Vendas Novas,4,4,0,10,4
Viana do Alentejo,4,3,1,3,3
Vila Viçosa,5,4,1,7,3
Algarve,120,114,6,336,127
Albufeira,9,9,0,28,6
Alcoutim,2,1,1,2,0
Aljezur,3,3,0,4,2
Castro Marim,2,2,0,4,0
Faro,17,17,0,58,15
Lagoa,8,7,1,21,11
Lagos,8,8,0,21,9
Loulé,15,14,1,48,25
Monchique,3,2,1,3,4
Olhão,10,9,1,27,6
Portimão,12,12,0,45,22
São Brás de Alportel,2,2,0,10,1
Silves,11,11,0,23,9
Tavira,11,10,1,26,13
Vila do Bispo,2,2,0,2,1
Vila Real de Santo António,5,5,0,14,3
R. A. Açores,71,53,18,130,70
Santa Maria,2,2,0,3,0
Vila do Porto,2,2,0,3,0
São Miguel,35,27,8,65,42
Lagoa (R.A.A.),5,3,2,8,5
Nordeste,2,1,1,1,1
Ponta Delgada,17,14,3,37,25
Povoação,2,1,1,4,3
Ribeira Grande,7,6,1,11,6
Vila Franca do Campo,2,2,0,4,2
Terceira,16,12,4,29,12
Angra do Heroísmo,10,8,2,20,5
Vila da Praia da Vitória,6,4,2,9,7
Graciosa,1,1,0,1,3
Santa Cruz da Graciosa,1,1,0,1,3
São Jorge,4,2,2,6,3
Calheta (R.A.A.),2,1,1,3,1
Velas,2,1,1,3,2
Pico,5,5,0,15,3
Lajes do Pico,2,2,0,6,1
Madalena,2,2,0,6,1
São Roque do Pico,1,1,0,3,1
Faial,5,3,2,7,3
Horta,5,3,2,7,3
Flores,2,1,1,4,4
Lajes das Flores,0,0,0,3,1
Santa Cruz das Flores,2,1,1,1,3
Corvo,1,0,1,0,0
Corvo,1,0,1,0,0
R. A. Madeira,66,65,1,178,41
Calheta (R.A.M.),4,4,0,5,1
Câmara de Lobos,8,8,0,20,2
Funchal,28,28,0,87,14
Machico,5,5,0,17,8
Ponta do Sol,2,2,0,3,0
Porto Moniz,1,1,0,2,0
Ribeira Brava,4,3,1,11,8
Santa Cruz,7,7,0,22,1
Santana,3,3,0,5,1
São Vicente,3,3,0,4,4
Porto Santo,1,1,0,2,2
