,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Portugal,57198,34836,22362,1813,575,1823,7736,1131,1280,2203,1240
Continente,55094,33657,21437,1743,561,1756,7439,1104,1241,2136,1206
Norte,19873,11484,8389,570,158,571,2781,328,441,756,408
Alto Minho,939,466,473,18,5,20,176,13,13,32,11
Arcos de Valdevez,45,25,20,1,0,1,15,0,0,1,0
Caminha,84,43,41,1,0,1,15,0,2,5,2
Melgaço,21,11,10,0,0,1,7,0,0,0,0
Monção,64,28,36,0,0,2,16,0,2,0,0
Paredes de Coura,12,5,7,0,0,0,4,0,0,0,0
Ponte da Barca,30,15,15,0,0,0,9,1,0,1,2
Ponte de Lima,120,43,77,1,1,1,25,0,2,5,0
Valença,25,6,19,0,0,0,5,0,0,0,0
Viana do Castelo,512,273,239,15,4,14,73,12,7,20,7
Vila Nova de Cerveira,26,17,9,0,0,0,7,0,0,0,0
Cávado,2241,1077,1164,47,12,53,300,26,54,60,43
Amares,53,23,30,1,1,0,6,1,2,1,2
Barcelos,359,130,229,2,2,5,48,3,3,9,5
Braga,1568,815,753,39,9,42,215,21,43,46,31
Esposende,158,71,87,4,0,5,19,1,4,4,2
Terras de Bouro,10,2,8,0,0,0,1,0,0,0,0
Vila Verde,93,36,57,1,0,1,11,0,2,0,3
Ave,1496,669,827,37,1,35,241,15,21,40,11
Cabeceiras de Basto,40,16,24,0,0,0,11,0,0,0,1
Fafe,172,61,111,2,0,1,30,2,3,2,1
Guimarães,658,335,323,16,1,22,110,7,6,25,7
Mondim de Basto,11,4,7,0,0,0,3,0,0,0,0
Póvoa de Lanhoso,42,17,25,0,0,0,7,0,1,1,1
Vieira do Minho,17,7,10,0,0,0,5,0,0,0,0
Vila Nova de Famalicão,482,200,282,17,0,12,61,2,10,11,1
Vizela,74,29,45,2,0,0,14,4,1,1,0
A. M. Porto,12964,8286,4678,409,134,435,1672,255,318,563,322
Arouca,31,16,15,0,2,1,9,0,0,1,0
Espinho,225,135,90,4,1,8,39,1,8,16,4
Gondomar,724,381,343,18,4,16,113,10,11,25,10
Maia,956,592,364,23,8,24,140,12,20,47,14
Matosinhos,1662,1119,543,52,12,57,222,28,55,79,44
Oliveira de Azeméis,170,77,93,5,0,2,31,1,3,7,1
Paredes,182,79,103,6,2,5,19,0,2,3,2
Porto,5066,3689,1377,179,63,206,521,143,141,219,175
Póvoa de Varzim,358,195,163,13,1,15,51,3,7,19,5
Santa Maria da Feira,436,202,234,9,5,12,58,7,5,18,5
Santo Tirso,271,129,142,4,0,3,33,2,6,13,4
São João da Madeira,91,50,41,3,2,3,18,3,2,1,1
Trofa,142,53,89,3,0,1,25,0,2,2,1
Vale de Cambra,85,32,53,1,2,1,13,1,1,4,1
Valongo,349,177,172,12,4,8,51,2,6,11,3
Vila do Conde,377,223,154,17,3,9,62,11,6,24,6
Vila Nova de Gaia,1839,1137,702,60,25,64,267,31,43,74,46
Alto Tâmega,312,146,166,7,0,5,60,2,9,10,0
Boticas,8,3,5,0,0,0,1,0,0,0,0
Chaves,223,107,116,6,0,4,37,1,8,10,0
Montalegre,15,5,10,1,0,0,3,0,1,0,0
Ribeira de Pena,6,3,3,0,0,0,3,0,0,0,0
Valpaços,33,15,18,0,0,0,8,1,0,0,0
Vila Pouca de Aguiar,27,13,14,0,0,1,8,0,0,0,0
Tâmega e Sousa,858,328,530,18,2,7,150,3,6,23,10
Amarante,147,54,93,5,0,0,23,0,3,5,1
Baião,22,8,14,1,0,0,5,0,0,1,0
Castelo de Paiva,21,9,12,0,0,0,6,0,0,0,0
Celorico de Basto,29,11,18,2,0,0,6,0,0,0,0
Cinfães,23,10,13,2,0,0,5,0,0,1,0
Felgueiras,131,38,93,1,1,0,19,0,0,2,2
Lousada,65,27,38,2,0,0,11,0,0,1,0
Marco de Canaveses,87,35,52,1,0,1,18,2,0,3,1
Paços de Ferreira,131,54,77,1,1,2,19,1,1,6,2
Penafiel,182,80,102,3,0,4,38,0,2,4,4
Resende,20,2,18,0,0,0,0,0,0,0,0
Douro,668,319,349,22,2,13,107,9,10,19,6
Alijó,11,4,7,0,0,0,3,0,0,0,0
Armamar,5,1,4,0,0,0,1,0,0,0,0
Carrazeda de Ansiães,6,0,6,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,4,1,3,0,0,0,1,0,0,0,0
Lamego,111,39,72,3,0,0,19,1,1,2,0
Mesão Frio,11,1,10,0,0,0,1,0,0,0,0
Moimenta da Beira,24,8,16,0,0,0,6,0,0,0,0
Murça,8,2,6,1,0,0,1,0,0,0,0
Penedono,3,2,1,0,0,0,2,0,0,0,0
Peso da Régua,41,20,21,0,0,1,10,0,0,0,1
