,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Portugal,821050,1209893,789091,12831,13150,16886,7905,1764
Continente,771114,1134922,741361,11894,12189,15657,7245,1616
Norte,291361,423093,260589,5025,5140,6628,2722,603
Alto Minho,17162,25389,14577,200,206,266,295,66
Arcos de Valdevez,1400,2086,1162,12,12,15,44,10
Caminha,1190,1723,1027,5,5,7,17,4
Melgaço,403,591,351,5,5,7,33,7
Monção,1158,1651,943,19,21,27,41,9
Paredes de Coura,685,1003,574,7,9,12,13,3
Ponte da Barca,901,1325,754,13,14,16,23,5
Ponte de Lima,3532,5344,2931,36,36,48,34,8
Valença,1104,1574,927,5,5,7,5,1
Viana do Castelo,6118,9139,5356,90,91,117,78,17
Vila Nova de Cerveira,671,953,552,8,8,11,7,2
Cávado,32833,50010,29044,541,554,717,144,32
Amares,1628,2470,1410,18,18,24,5,1
Barcelos,9826,14914,8410,129,129,167,31,7
Braga,13814,21044,12525,256,263,340,66,15
Esposende,2847,4371,2482,37,37,46,20,4
Terras de Bouro,490,727,463,12,12,16,6,1
Vila Verde,4228,6484,3753,89,95,124,16,4
Ave,34178,50527,29642,573,585,754,139,31
Cabeceiras de Basto,1520,2327,1384,20,20,25,5,1
Fafe,4184,6050,3616,58,60,78,25,5
Guimarães,12620,18634,10944,214,221,290,42,9
Mondim de Basto,534,817,523,7,7,9,...,...
Póvoa de Lanhoso,1777,2732,1606,30,31,38,18,4
Vieira do Minho,860,1285,789,20,20,25,9,2
Vila Nova de Famalicão,10469,15506,8866,191,193,245,35,8
Vizela,2214,3176,1913,33,33,44,...,...
A. M. Porto,136664,195814,124916,2680,2743,3533,1227,271
Arouca,1838,2831,1629,33,34,42,26,6
Espinho,2253,3214,2145,27,27,36,28,6
Gondomar,14456,20421,13296,290,296,391,117,26
Maia,10071,14445,8949,227,232,298,90,20
Matosinhos,12305,17610,11502,260,266,345,114,25
Oliveira de Azeméis,4718,6804,4069,57,57,70,49,11
Paredes,9248,13129,8208,197,205,263,77,17
Porto,13934,20407,14727,344,346,446,184,42
Póvoa de Varzim,5544,8252,4929,96,100,129,62,14
Santa Maria da Feira,11022,15720,9551,157,161,200,60,13
Santo Tirso,5014,7036,4204,113,114,149,26,6
São João da Madeira,1649,2409,1485,13,13,16,14,3
Trofa,3151,4548,2766,56,57,76,22,5
Vale de Cambra,1321,1904,1114,16,16,20,41,9
Valongo,8543,12044,7841,160,165,208,52,11
Vila do Conde,6789,9850,5990,131,143,184,58,13
Vila Nova de Gaia,24808,35190,22512,503,511,660,207,46
Alto Tâmega,5937,8771,5411,82,84,106,134,30
Boticas,310,452,255,5,5,7,4,1
Chaves,2762,4029,2534,36,36,45,59,13
Montalegre,534,791,486,6,6,8,18,4
Ribeira de Pena,449,705,409,6,6,8,8,2
Valpaços,1069,1632,1037,14,15,18,28,6
Vila Pouca de Aguiar,813,1162,690,15,16,20,17,4
Tâmega e Sousa,42223,60447,37026,648,659,855,378,84
Amarante,4907,7058,4351,66,66,84,68,15
Baião,1796,2504,1544,25,27,35,18,4
Castelo de Paiva,1527,2211,1318,26,26,35,24,5
Celorico de Basto,1594,2442,1501,15,15,20,8,2
Cinfães,1786,2504,1666,17,17,21,10,2
Felgueiras,5525,7958,4737,76,77,99,40,9
Lousada,5288,7533,4576,92,93,121,39,9
Marco de Canaveses,5250,7407,4521,102,104,137,51,11
Paços de Ferreira,6240,8930,5406,76,78,100,51,11
Penafiel,7298,10474,6487,141,144,185,62,14
Resende,1012,1426,920,12,12,16,7,2
Douro,14068,20357,12500,194,199,256,177,39
Alijó,775,1152,706,10,10,12,10,2
Armamar,450,629,377,10,10,12,...,...
Carrazeda de Ansiães,408,600,374,...,...,...,15,3
Freixo de Espada à Cinta,261,362,243,...,...,...,8,2
Lamego,2072,2886,1776,41,42,55,28,6
Mesão Frio,316,435,269,...,...,...,...,...
Moimenta da Beira,791,1196,740,10,10,12,7,2
Murça,411,576,352,5,5,7,4,1
Penedono,184,281,178,...,...,...,...,...
Peso da Régua,1246,1808,1139,19,19,25,8,2
Sabrosa,414,625,377,3,3,4,3,1
Santa Marta de Penaguião,477,690,402,6,7,9,6,1
São João da Pesqueira,597,862,526,8,9,12,7,2
Sernancelhe,343,547,334,...,...,...,3,1
Tabuaço,381,544,354,8,8,10,6,1
Tarouca,645,938,556,12,13,17,5,1
Torre de Moncorvo,436,646,430,4,4,5,22,5
Vila Nova de Foz Côa,386,562,329,3,3,4,5,1
Vila Real,3475,5018,3040,49,49,63,34,7
Terras de Trás-os-Montes,8296,11778,7472,107,110,141,228,50
Alfândega da Fé,326,483,321,4,4,5,5,1
Bragança,3033,4130,2556,36,39,51,47,10
Macedo de Cavaleiros,1044,1588,1013,15,15,19,31,7
Miranda do Douro,393,577,351,9,9,12,18,4
Mirandela,1738,2482,1604,26,26,30,58,13
Mogadouro,563,813,493,7,7,10,12,3
Vila Flor,502,710,497,...,...,...,9,2
Vimioso,268,382,236,5,5,7,13,3
Vinhais,429,613,402,...,...,...,35,8
Centro,161514,238941,146450,2187,2233,2853,1898,420
Oeste,29844,44388,28523,480,490,640,288,64
Alcobaça,4233,6270,3815,51,52,67,23,5
