,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Portugal,10352042,4923101,5428941,1324883,679492,645391,1084057,553950,530107
Continente,9864372,4690277,5174095,1259129,645836,613293,1027566,525222,502344
Norte,3587882,1709627,1878255,436031,223905,212126,382374,195412,186962
Alto Minho,230942,108475,122467,25559,13089,12470,22171,11306,10865
Arcos de Valdevez,20710,9529,11181,1905,948,957,1818,904,914
Caminha,15794,7364,8430,1711,894,817,1392,710,682
Melgaço,7770,3473,4297,587,297,290,533,265,268
Monção,17800,8192,9608,1712,887,825,1393,685,708
Paredes de Coura,8618,4141,4477,925,465,460,754,389,365
Ponte da Barca,11023,5138,5885,1138,556,582,1047,559,488
Ponte de Lima,41034,19383,21651,4762,2421,2341,4515,2298,2217
Valença,13639,6427,7212,1633,848,785,1304,663,641
Viana do Castelo,85615,40492,45123,10148,5229,4919,8554,4357,4197
Vila Nova de Cerveira,8939,4336,4603,1038,544,494,861,476,385
Cávado,416600,199754,216846,54686,28286,26400,47555,24405,23150
Amares,18594,9084,9510,2372,1267,1105,2175,1153,1022
Barcelos,116344,56115,60229,14407,7391,7016,13673,7099,6574
Braga,193671,92356,101315,26504,13681,12823,21833,11147,10686
Esposende,35231,16870,18361,4746,2476,2270,3868,1949,1919
Terras de Bouro,6328,3065,3263,626,327,299,656,344,312
Vila Verde,46432,22264,24168,6031,3144,2887,5350,2713,2637
Ave,417756,201690,216066,51128,26482,24646,45925,23617,22308
Cabeceiras de Basto,15506,7539,7967,1852,956,896,1820,938,882
Fafe,48345,23046,25299,5598,2963,2635,5193,2652,2541
Guimarães,156348,75698,80650,19301,10024,9277,17074,8802,8272
Mondim de Basto,6406,3102,3304,637,352,285,682,354,328
Póvoa de Lanhoso,21805,10487,11318,2633,1390,1243,2448,1256,1192
Vieira do Minho,11924,5696,6228,1139,586,553,1162,603,559
Vila Nova de Famalicão,133510,64468,69042,16930,8667,8263,14787,7585,7202
Vizela,23912,11654,12258,3038,1544,1494,2759,1427,1332
A. M. Porto,1740117,824250,915867,216965,111032,105933,183528,93551,89977
Arouca,21043,10123,10920,2616,1316,1300,2249,1100,1149
Espinho,31059,14479,16580,3322,1643,1679,3031,1568,1463
Gondomar,164371,77990,86381,20373,10335,10038,17595,9031,8564
Maia,135940,64556,71384,18409,9378,9031,14951,7631,7320
Matosinhos,173184,81535,91649,21531,11024,10507,17045,8660,8385
Oliveira de Azeméis,66111,31983,34128,7590,3931,3659,6782,3386,3396
Paredes,84439,40888,43551,11518,5874,5644,10596,5421,5175
Porto,232753,106639,126114,26799,13657,13142,23028,11704,11324
Póvoa de Varzim,64418,30360,34058,8439,4261,4178,7389,3811,3578
Santa Maria da Feira,136756,65961,70795,17012,8752,8260,14615,7497,7118
