,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Portugal,350010,265314,84696,4888,4855,33
Continente,332189,251039,81150,4888,4855,33
Norte,120457,86440,34017,1064,1064,0
Alto Minho,7668,6160,1508,79,79,0
Arcos de Valdevez,569,484,85,0,0,0
Caminha,395,279,116,0,0,0
Melgaço,193,193,0,0,0,0
Monção,527,346,181,0,0,0
Paredes de Coura,246,107,139,0,0,0
Ponte da Barca,354,249,105,0,0,0
Ponte de Lima,1460,1352,108,0,0,0
Valença,257,200,57,0,0,0
Viana do Castelo,3468,2790,678,79,79,0
Vila Nova de Cerveira,199,160,39,0,0,0
Cávado,15082,10396,4686,0,0,0
Amares,494,419,75,0,0,0
Barcelos,3785,2789,996,0,0,0
Braga,8368,5432,2936,0,0,0
Esposende,949,745,204,0,0,0
Terras de Bouro,93,93,0,0,0,0
Vila Verde,1393,918,475,0,0,0
Ave,12989,10674,2315,0,0,0
Cabeceiras de Basto,534,323,211,0,0,0
Fafe,1481,1204,277,0,0,0
Guimarães,4782,4236,546,0,0,0
Mondim de Basto,193,193,0,0,0,0
Póvoa de Lanhoso,686,537,149,0,0,0
Vieira do Minho,235,235,0,0,0,0
Vila Nova de Famalicão,4326,3264,1062,0,0,0
Vizela,752,682,70,0,0,0
A. M. Porto,59629,38788,20841,874,874,0
Arouca,543,543,0,0,0,0
Espinho,1901,1407,494,0,0,0
Gondomar,4004,3001,1003,0,0,0
Maia,3551,2997,554,97,97,0
Matosinhos,4767,3539,1228,0,0,0
Oliveira de Azeméis,1774,1774,0,0,0,0
Paredes,2174,1844,330,0,0,0
Porto,15067,6322,8745,452,452,0
Póvoa de Varzim,2667,2225,442,0,0,0
Santa Maria da Feira,2647,1905,742,26,26,0
Santo Tirso,2742,1917,825,0,0,0
São João da Madeira,1627,1364,263,299,299,0
Trofa,1108,671,437,0,0,0
Vale de Cambra,627,590,37,0,0,0
Valongo,2424,1972,452,0,0,0
Vila do Conde,1984,1712,272,0,0,0
Vila Nova de Gaia,10022,5005,5017,0,0,0
Alto Tâmega,2168,1954,214,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1369,1155,214,0,0,0
Montalegre,171,171,0,0,0,0
Ribeira de Pena,142,142,0,0,0,0
Valpaços,227,227,0,0,0,0
Vila Pouca de Aguiar,259,259,0,0,0,0
Tâmega e Sousa,14277,11072,3205,0,0,0
Amarante,2206,852,1354,0,0,0
Baião,462,462,0,0,0,0
Castelo de Paiva,612,467,145,0,0,0
Celorico de Basto,481,481,0,0,0,0
Cinfães,551,505,46,0,0,0
Felgueiras,1942,1620,322,0,0,0
Lousada,1412,1204,208,0,0,0
Marco de Canaveses,1717,1653,64,0,0,0
Paços de Ferreira,1913,1508,405,0,0,0
Penafiel,2677,2016,661,0,0,0
Resende,304,304,0,0,0,0
Douro,5749,5033,716,96,96,0
Alijó,215,215,0,0,0,0
Armamar,113,113,0,0,0,0
Carrazeda de Ansiães,114,114,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,927,843,84,80,80,0
Mesão Frio,172,172,0,0,0,0
Moimenta da Beira,397,311,86,0,0,0
Murça,220,123,97,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,626,626,0,0,0,0
Sabrosa,150,150,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,196,114,82,0,0,0
Sernancelhe,120,0,120,0,0,0
Tabuaço,95,95,0,0,0,0
Tarouca,171,171,0,0,0,0
Torre de Moncorvo,131,131,0,0,0,0
Vila Nova de Foz Côa,80,80,0,0,0,0
Vila Real,2022,1775,247,16,16,0
Terras de Trás-os-Montes,2895,2363,532,15,15,0
Alfândega da Fé,65,65,0,0,0,0
Bragança,1146,935,211,15,15,0
Macedo de Cavaleiros,397,319,78,0,0,0
Miranda do Douro,113,113,0,0,0,0
Mirandela,836,593,243,0,0,0
Mogadouro,150,150,0,0,0,0
Vila Flor,96,96,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,92,92,0,0,0,0
Centro,71315,55176,16139,577,544,33
Oeste,11851,8340,3511,53,53,0
Alcobaça,1651,1140,511,0,0,0
Alenquer,1251,1063,188,0,0,0
Arruda dos Vinhos,667,0,667,0,0,0
Bombarral,336,336,0,0,0,0
Cadaval,160,160,0,0,0,0
Caldas da Rainha,2312,1767,545,34,34,0
Lourinhã,562,562,0,0,0,0
Nazaré,381,126,255,0,0,0
Óbidos,175,175,0,19,19,0
Peniche,657,568,89,0,0,0
Sobral de Monte Agraço,241,241,0,0,0,0
Torres Vedras,3458,2202,1256,0,0,0
Região de Aveiro,11703,9407,2296,87,54,33
Águeda,1333,1333,0,37,37,0
Albergaria-a-Velha,852,466,386,0,0,0
Anadia,1061,631,430,0,0,0
Aveiro,3555,2940,615,50,17,33
Estarreja,718,718,0,0,0,0
Ílhavo,766,766,0,0,0,0
Murtosa,118,118,0,0,0,0
Oliveira do Bairro,559,437,122,0,0,0
Ovar,1412,1206,206,0,0,0
Sever do Vouga,548,294,254,0,0,0
Vagos,781,498,283,0,0,0
Região de Coimbra,13632,10643,2989,256,256,0
Arganil,445,445,0,65,65,0
Cantanhede,875,562,313,0,0,0
Coimbra,6094,4806,1288,191,191,0
Condeixa-a-Nova,360,360,0,0,0,0
Figueira da Foz,1885,1641,244,0,0,0
Góis,0,0,0,0,0,0
Lousã,498,337,161,0,0,0
Mealhada,542,238,304,0,0,0
Mira,257,257,0,0,0,0
Miranda do Corvo,244,244,0,0,0,0
Montemor-o-Velho,374,277,97,0,0,0
Mortágua,190,190,0,0,0,0
Oliveira do Hospital,608,392,216,0,0,0
Pampilhosa da Serra,35,35,0,0,0,0
Penacova,433,206,227,0,0,0
Penela,30,0,30,0,0,0
Soure,347,285,62,0,0,0
Tábua,268,221,47,0,0,0
Vila Nova de Poiares,147,147,0,0,0,0
Região de Leiria,9509,6993,2516,40,40,0
Alvaiázere,136,82,54,0,0,0
Ansião,511,280,231,0,0,0
Batalha,338,338,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,104,104,0,0,0,0
Leiria,4115,3418,697,40,40,0
Marinha Grande,1539,1273,266,0,0,0
Pedrógão Grande,192,0,192,0,0,0
Pombal,1795,1074,721,0,0,0
Porto de Mós,779,424,355,0,0,0
Viseu Dão Lafões,8450,7247,1203,25,25,0
Aguiar da Beira,134,134,0,0,0,0
Carregal do Sal,194,194,0,0,0,0
Castro Daire,405,338,67,0,0,0
Mangualde,536,536,0,0,0,0
Nelas,341,341,0,0,0,0
Oliveira de Frades,208,208,0,0,0,0
Penalva do Castelo,200,200,0,0,0,0
Santa Comba Dão,260,260,0,0,0,0
São Pedro do Sul,535,393,142,0,0,0
Sátão,265,265,0,0,0,0
Tondela,892,562,330,0,0,0
Vila Nova de Paiva,109,109,0,0,0,0
Viseu,4003,3512,491,25,25,0
Vouzela,368,195,173,0,0,0
Beira Baixa,2219,1904,315,76,76,0
Castelo Branco,1770,1539,231,76,76,0
Idanha-a-Nova,178,94,84,0,0,0
Oleiros,71,71,0,0,0,0
Penamacor,68,68,0,0,0,0
Proença-a-Nova,132,132,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,7807,5841,1966,25,25,0
Abrantes,1092,1092,0,0,0,0
Alcanena,331,331,0,0,0,0
Constância,123,123,0,0,0,0
Entroncamento,796,647,149,0,0,0
Ferreira do Zêzere,109,109,0,0,0,0
Mação,158,158,0,0,0,0
Ourém,1895,620,1275,0,0,0
Sardoal,66,66,0,0,0,0
Sertã,495,314,181,0,0,0
Tomar,1376,1260,116,25,25,0
Torres Novas,1169,924,245,0,0,0
Vila de Rei,62,62,0,0,0,0
Vila Nova da Barquinha,135,135,0,0,0,0
Beiras e Serra da Estrela,6144,4801,1343,15,15,0
Almeida,95,95,0,0,0,0
Belmonte,61,61,0,0,0,0
Celorico da Beira,140,140,0,0,0,0
Covilhã,1442,1344,98,0,0,0
Figueira de Castelo Rodrigo,96,96,0,0,0,0
Fornos de Algodres,92,92,0,0,0,0
Fundão,770,588,182,0,0,0
Gouveia,331,222,109,0,0,0
Guarda,1559,1111,448,15,15,0
Manteigas,74,44,30,0,0,0
Mêda,55,55,0,0,0,0
Pinhel,178,178,0,0,0,0
Sabugal,168,168,0,0,0,0
Seia,671,463,208,0,0,0
Trancoso,412,144,268,0,0,0
A. M. Lisboa,103659,76947,26712,2645,2645,0
Alcochete,716,716,0,0,0,0
Almada,6220,5079,1141,0,0,0
Amadora,5249,4044,1205,24,24,0
Barreiro,3334,3003,331,0,0,0
Cascais,8247,5649,2598,160,160,0
Lisboa,30754,16968,13786,2238,2238,0
Loures,4275,3804,471,31,31,0
Mafra,2924,1994,930,0,0,0
Moita,1559,1000,559,0,0,0
Montijo,1582,1240,342,0,0,0
Odivelas,3895,3690,205,0,0,0
Oeiras,5633,4743,890,0,0,0
Palmela,2558,1624,934,0,0,0
Seixal,4815,4198,617,43,43,0
Sesimbra,1460,1350,110,0,0,0
Setúbal,4625,3848,777,77,77,0
Sintra,10986,9516,1470,32,32,0
Vila Franca de Xira,4827,4481,346,40,40,0
Alentejo,21481,17878,3603,254,254,0
Alentejo Litoral,2603,1898,705,12,12,0
Alcácer do Sal,235,235,0,0,0,0
