,"Média de alunas/os matriculadas/os por computador, Total (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino secundário, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Total, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino secundário, 3º Ciclo (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Continente,1.9,1.9,1.7,1.9,2.2,2,1.9,1.8,1.9,2.3
Norte,1.8,1.8,1.6,1.8,2,1.9,1.8,1.7,1.9,2.1
Alto Minho,1.7,1.9,1.5,1.5,1.8,1.8,2,1.6,1.6,2.1
Arcos de Valdevez,1.5,1.9,1.5,1.5,1.3,1.6,1.9,1.5,1.7,1.4
Caminha,1.6,1.9,1.6,1.6,1.5,1.6,1.9,1.6,1.6,1.5
Melgaço,2.4,2.2,2.4,2.3,2.9,2.5,2.2,2.4,2.3,2.9
Monção,1.5,1.4,1.6,1.6,1.5,1.5,1.4,1.6,1.6,1.6
Paredes de Coura,1.3,2.5,0.9,1,1.5,1.4,2.5,1,1.1,1.6
Ponte da Barca,1.6,1.7,1.5,1.4,2,1.6,1.7,1.5,1.4,2
Ponte de Lima,1.6,1.9,1.3,1.3,2.3,1.9,2.1,1.4,1.4,3
Valença,2,2.3,1.6,2.2,1.9,2.5,2.4,2.1,3.2,2.5
Viana do Castelo,1.8,2,1.5,1.6,1.8,2,2.2,1.6,1.7,2.3
Vila Nova de Cerveira,1.5,1.4,1.6,1.6,1.5,1.5,1.4,1.6,1.6,1.5
Cávado,1.8,1.8,1.7,1.8,2,1.9,1.9,1.7,1.8,2.1
Amares,1.5,1.6,1.6,1.6,1.4,1.5,1.6,1.6,1.6,1.4
Barcelos,1.7,1.5,1.6,1.7,2.2,1.8,1.5,1.7,1.9,2.5
Braga,2.2,2.2,1.9,2,2.7,2.2,2.3,1.9,2.1,2.7
Esposende,1.5,1.3,1.5,1.5,1.7,1.5,1.4,1.5,1.6,1.7
Terras de Bouro,0.8,0.9,0.7,0.7,0.8,0.8,0.9,0.7,0.7,0.8
Vila Verde,1.3,1.7,1.3,1.3,0.9,1.3,1.9,1.3,1.4,0.9
Ave,1.7,1.7,1.6,1.7,1.8,1.8,1.8,1.6,1.8,1.8
Cabeceiras de Basto,1.4,1.3,1.3,1.3,2.1,1.4,1.3,1.3,1.3,2.1
Fafe,1.7,1.6,1.6,1.7,1.9,1.8,1.7,1.6,1.8,1.9
Guimarães,1.8,2,1.5,1.6,1.9,1.8,2,1.6,1.7,1.9
Mondim de Basto,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1
Póvoa de Lanhoso,1.3,1.2,1.4,1.4,1.5,1.4,1.2,1.4,1.5,1.6
Vieira do Minho,1.6,1.4,1.4,2.3,1.5,1.6,1.4,1.4,2.3,1.5
Vila Nova de Famalicão,1.9,2,1.9,2,1.9,2,2.1,1.9,2.1,1.9
Vizela,1.7,1.3,1.7,2,1.9,1.7,1.3,1.8,2,1.9
A. M. Porto,2,1.9,1.8,2,2.3,2.1,1.9,1.9,2.1,2.4
Arouca,1.9,2,1.6,1.8,2.1,1.9,2.1,1.6,1.8,2.1
Espinho,2.7,2.4,2.1,3.2,3,2.7,2.4,2.2,3.3,3
Gondomar,1.9,1.5,2,2.1,2.3,2,1.6,2,2.2,2.4
Maia,2.6,2.5,2.2,2.7,2.9,2.7,2.7,2.4,3,2.9
Matosinhos,1.9,1.8,1.8,1.9,2.1,2,1.9,1.8,1.9,2.2
Oliveira de Azeméis,1.6,1.9,1.3,1.4,1.7,1.6,1.9,1.3,1.4,1.7
Paredes,1.6,1.6,1.4,1.8,1.7,1.6,1.6,1.4,1.9,1.7
Porto,2.4,2.3,2.2,2.3,2.6,2.5,2.4,2.3,2.4,2.8
Póvoa de Varzim,1.9,1.9,2,1.8,2.2,2,2,2,1.8,2.2
Santa Maria da Feira,1.6,1.5,1.5,1.6,1.9,1.6,1.6,1.5,1.6,2
Santo Tirso,1.8,1.9,1.6,2,1.7,1.8,1.9,1.7,2.1,1.8
São João da Madeira,1.9,2,1.7,1.9,2.1,2,2,1.8,1.9,2.1
Trofa,2.1,1.5,1.8,2.5,4.1,2.2,1.6,1.8,2.6,4.1
Vale de Cambra,2.4,2.4,2.1,2.2,2.7,2.5,2.4,2.4,2.6,2.8
Valongo,1.8,1.6,1.6,1.9,2.2,1.8,1.6,1.6,1.9,2.2
Vila do Conde,2.1,2,1.9,2.1,2.4,2.1,2,1.9,2.1,2.4
Vila Nova de Gaia,2.1,1.9,2,2.1,2.6,2.2,2,2,2.1,2.6
Alto Tâmega,1.3,1.4,1.1,1.2,1.6,1.4,1.5,1.3,1.3,1.6
Boticas,0.9,0.9,1,0.9,//,0.9,0.9,1,0.9,//
Chaves,1.8,2.1,1.4,1.6,1.9,1.9,2.1,1.5,1.8,2.1
Montalegre,1,1.3,0.9,0.9,0.9,1,1.3,0.9,0.9,0.9
Ribeira de Pena,0.8,0.7,0.9,0.9,1,0.8,0.7,0.9,0.9,1
Valpaços,1.1,1.3,0.8,1,1.4,1.2,1.5,1.2,1,1.4
Vila Pouca de Aguiar,1.3,1.3,1.2,1.3,1.4,1.4,1.3,1.3,1.4,1.5
Tâmega e Sousa,1.6,1.5,1.5,1.6,1.8,1.6,1.6,1.5,1.6,1.9
Amarante,2.1,2,1.6,2.3,2.6,2.2,2.1,1.6,2.3,2.9
Baião,1.4,1.5,1.2,1.2,1.6,1.4,1.6,1.2,1.2,1.6
Castelo de Paiva,1.5,1.4,1.2,1.6,1.7,1.5,1.4,1.2,1.6,1.7
Celorico de Basto,1.8,2.3,1.7,1.9,1.4,2.2,2.4,1.8,2.1,2.2
Cinfães,0.9,1.1,0.8,0.9,0.9,0.9,1.1,0.8,0.9,1
Felgueiras,1.7,1.6,1.4,1.8,1.9,1.7,1.7,1.4,1.8,1.9
Lousada,1.5,1.5,1.4,1.6,1.6,1.5,1.5,1.4,1.6,1.6
Marco de Canaveses,1.8,1.6,2.2,1.9,1.6,1.8,1.6,2.3,2,1.6
Paços de Ferreira,1.8,1.7,1.6,1.7,2.4,1.9,1.8,1.6,1.7,2.4
Penafiel,1.5,1.4,1.3,1.4,1.9,1.5,1.4,1.3,1.4,1.9
Resende,1.4,0.9,2.4,2.6,1.2,1.4,0.9,2.4,2.6,1.2
Douro,1.5,1.5,1.4,1.5,1.5,1.6,1.6,1.5,1.6,1.5
Alijó,1,1.5,0.8,0.8,1.2,1,1.5,0.8,0.8,1.2
Armamar,1.3,1.6,1.1,1.3,1.3,1.3,1.6,1.1,1.3,1.3
