,"Ensino secundário, Total (N.º)","Ensino secundário, das quais, Ensino regular, Total (N.º)","Ensino secundário, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,350010,213085,209684,3401,2662,115135,18688,440
Continente,332189,202411,199010,3401,2662,109585,17510,21
Norte,120457,73038,69978,3060,1114,39000,7305,0
Alto Minho,7668,4381,4381,0,0,2850,437,0
Arcos de Valdevez,569,318,318,0,0,251,0,0
Caminha,395,279,279,0,0,116,0,0
Melgaço,193,120,120,0,0,73,0,0
Monção,527,289,289,0,0,238,0,0
Paredes de Coura,246,107,107,0,0,139,0,0
Ponte da Barca,354,200,200,0,0,154,0,0
Ponte de Lima,1460,768,768,0,0,692,0,0
Valença,257,147,147,0,0,110,0,0
Viana do Castelo,3468,1993,1993,0,0,1038,437,0
Vila Nova de Cerveira,199,160,160,0,0,39,0,0
Cávado,15082,9385,9385,0,84,4794,819,0
Amares,494,316,316,0,0,103,75,0
Barcelos,3785,2111,2111,0,21,1352,301,0
Braga,8368,5594,5594,0,63,2268,443,0
Esposende,949,611,611,0,0,338,0,0
Terras de Bouro,93,93,93,0,0,0,0,0
Vila Verde,1393,660,660,0,0,733,0,0
Ave,12989,7946,7928,18,0,4887,156,0
Cabeceiras de Basto,534,292,292,0,0,195,47,0
Fafe,1481,1060,1060,0,0,421,0,0
Guimarães,4782,3149,3149,0,0,1594,39,0
Mondim de Basto,193,108,108,0,0,85,0,0
Póvoa de Lanhoso,686,356,356,0,0,330,0,0
Vieira do Minho,235,188,188,0,0,47,0,0
Vila Nova de Famalicão,4326,2288,2270,18,0,2038,0,0
Vizela,752,505,505,0,0,177,70,0
A. M. Porto,59629,36298,34028,2270,1030,17998,4303,0
Arouca,543,369,369,0,0,174,0,0
Espinho,1901,1062,1062,0,0,762,77,0
Gondomar,4004,2906,2906,0,0,830,268,0
Maia,3551,2654,2654,0,0,720,177,0
Matosinhos,4767,2797,2797,0,0,1654,316,0
Oliveira de Azeméis,1774,952,952,0,0,822,0,0
Paredes,2174,1574,1574,0,0,382,218,0
Porto,15067,8013,7950,63,960,4807,1287,0
Póvoa de Varzim,2667,1863,1863,0,0,526,278,0
Santa Maria da Feira,2647,1607,1607,0,0,839,201,0
Santo Tirso,2742,1306,1306,0,0,1436,0,0
São João da Madeira,1627,1014,1014,0,0,552,61,0
Trofa,1108,831,831,0,0,172,105,0
Vale de Cambra,627,398,398,0,0,192,37,0
Valongo,2424,1471,1471,0,0,765,188,0
Vila do Conde,1984,1101,1101,0,0,883,0,0
Vila Nova de Gaia,10022,6380,4173,2207,70,2482,1090,0
Alto Tâmega,2168,1390,1390,0,0,748,30,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1369,844,844,0,0,495,30,0
Montalegre,171,122,122,0,0,49,0,0
Ribeira de Pena,142,98,98,0,0,44,0,0
Valpaços,227,150,150,0,0,77,0,0
Vila Pouca de Aguiar,259,176,176,0,0,83,0,0
Tâmega e Sousa,14277,8297,7549,748,0,4953,1027,0
Amarante,2206,1560,812,748,0,646,0,0
Baião,462,224,224,0,0,238,0,0
Castelo de Paiva,612,333,333,0,0,134,145,0
Celorico de Basto,481,251,251,0,0,230,0,0
Cinfães,551,229,229,0,0,322,0,0
Felgueiras,1942,995,995,0,0,876,71,0
Lousada,1412,896,896,0,0,493,23,0
Marco de Canaveses,1717,1008,1008,0,0,645,64,0
