,"Ensino secundário público, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Total (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos gerais/
científico-humanísticos (N.º)","Ensino secundário público, das quais, Ensino regular, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Ensino artístico, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos profissionais, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de aprendizagem, Cursos tecnológicos (N.º)","Ensino secundário público, das quais, Cursos de educação e formação, Cursos tecnológicos (N.º)"
Portugal,265314,186629,186623,6,2583,68035,7736,331
Continente,251039,176374,176368,6,2583,65524,6558,0
Norte,86440,60894,60894,0,1044,23453,1049,0
Alto Minho,6160,4238,4238,0,0,1803,119,0
Arcos de Valdevez,484,318,318,0,0,166,0,0
Caminha,279,279,279,0,0,0,0,0
Melgaço,193,120,120,0,0,73,0,0
Monção,346,289,289,0,0,57,0,0
Paredes de Coura,107,107,107,0,0,0,0,0
Ponte da Barca,249,200,200,0,0,49,0,0
Ponte de Lima,1352,768,768,0,0,584,0,0
Valença,200,147,147,0,0,53,0,0
Viana do Castelo,2790,1850,1850,0,0,821,119,0
Vila Nova de Cerveira,160,160,160,0,0,0,0,0
Cávado,10396,7903,7903,0,84,2398,11,0
Amares,419,316,316,0,0,103,0,0
Barcelos,2789,1918,1918,0,21,850,0,0
Braga,5432,4305,4305,0,63,1053,11,0
Esposende,745,611,611,0,0,134,0,0
Terras de Bouro,93,93,93,0,0,0,0,0
Vila Verde,918,660,660,0,0,258,0,0
Ave,10674,7708,7708,0,0,2966,0,0
Cabeceiras de Basto,323,259,259,0,0,64,0,0
Fafe,1204,996,996,0,0,208,0,0
Guimarães,4236,3080,3080,0,0,1156,0,0
Mondim de Basto,193,108,108,0,0,85,0,0
Póvoa de Lanhoso,537,356,356,0,0,181,0,0
Vieira do Minho,235,188,188,0,0,47,0,0
Vila Nova de Famalicão,3264,2216,2216,0,0,1048,0,0
Vizela,682,505,505,0,0,177,0,0
A. M. Porto,38788,27355,27355,0,960,9861,612,0
Arouca,543,369,369,0,0,174,0,0
Espinho,1407,1062,1062,0,0,345,0,0
Gondomar,3001,2226,2226,0,0,732,43,0
Maia,2997,2349,2349,0,0,648,0,0
Matosinhos,3539,2662,2662,0,0,877,0,0
Oliveira de Azeméis,1774,952,952,0,0,822,0,0
Paredes,1844,1462,1462,0,0,382,0,0
Porto,6322,3917,3917,0,960,1118,327,0
Póvoa de Varzim,2225,1699,1699,0,0,526,0,0
Santa Maria da Feira,1905,1310,1310,0,0,582,13,0
Santo Tirso,1917,1169,1169,0,0,748,0,0
São João da Madeira,1364,967,967,0,0,397,0,0
Trofa,671,499,499,0,0,172,0,0
Vale de Cambra,590,398,398,0,0,192,0,0
Valongo,1972,1386,1386,0,0,586,0,0
Vila do Conde,1712,1101,1101,0,0,611,0,0
Vila Nova de Gaia,5005,3827,3827,0,0,949,229,0
Alto Tâmega,1954,1390,1390,0,0,534,30,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1155,844,844,0,0,281,30,0
Montalegre,171,122,122,0,0,49,0,0
Ribeira de Pena,142,98,98,0,0,44,0,0
Valpaços,227,150,150,0,0,77,0,0
Vila Pouca de Aguiar,259,176,176,0,0,83,0,0
Tâmega e Sousa,11072,7023,7023,0,0,4049,0,0
Amarante,852,513,513,0,0,339,0,0
Baião,462,224,224,0,0,238,0,0
Castelo de Paiva,467,333,333,0,0,134,0,0
Celorico de Basto,481,251,251,0,0,230,0,0
Cinfães,505,229,229,0,0,276,0,0
Felgueiras,1620,995,995,0,0,625,0,0
Lousada,1204,790,790,0,0,414,0,0
Marco de Canaveses,1653,1008,1008,0,0,645,0,0
