,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Portugal,78523,71892,6631,8555,1535,7020,83387,58552,24835
Continente,73549,67080,6469,7779,1286,6493,75443,52481,22962
Norte,26795,24439,2356,2956,499,2457,26793,19765,7028
Alto Minho,1759,1716,43,334,69,265,1870,1548,322
Arcos de Valdevez,134,134,0,14,0,14,142,95,47
Caminha,101,101,0,32,0,32,86,59,27
Melgaço,58,58,0,0,0,0,66,58,8
Monção,110,110,0,30,0,30,115,101,14
Paredes de Coura,51,51,0,27,0,27,69,39,30
Ponte da Barca,78,78,0,27,0,27,103,85,18
Ponte de Lima,311,311,0,60,40,20,369,356,13
Valença,102,102,0,9,0,9,91,88,3
Viana do Castelo,764,721,43,116,29,87,744,586,158
Vila Nova de Cerveira,50,50,0,19,0,19,85,81,4
Cávado,3231,2915,316,306,0,306,3091,2229,862
Amares,121,121,0,0,0,0,120,118,2
Barcelos,771,715,56,92,0,92,714,563,151
Braga,1763,1503,260,150,0,150,1559,959,600
Esposende,231,231,0,32,0,32,252,203,49
Terras de Bouro,44,44,0,0,0,0,70,64,6
Vila Verde,301,301,0,32,0,32,376,322,54
Ave,2864,2721,143,292,0,292,3324,2502,822
Cabeceiras de Basto,110,89,21,0,0,0,114,96,18
Fafe,307,289,18,27,0,27,436,343,93
Guimarães,1109,1059,50,116,0,116,1302,970,332
Mondim de Basto,58,58,0,0,0,0,43,40,3
Póvoa de Lanhoso,160,160,0,37,0,37,155,129,26
Vieira do Minho,68,68,0,0,0,0,65,64,1
Vila Nova de Famalicão,869,815,54,112,0,112,1035,698,337
Vizela,183,183,0,0,0,0,174,162,12
A. M. Porto,12879,11269,1610,1275,178,1097,12442,8282,4160
Arouca,160,160,0,0,0,0,159,151,8
Espinho,340,322,18,105,0,105,272,184,88
Gondomar,952,870,82,24,0,24,983,780,203
Maia,904,853,51,15,0,15,819,576,243
Matosinhos,1208,1163,45,134,0,134,1374,987,387
Oliveira de Azeméis,463,463,0,0,0,0,396,312,84
Paredes,571,543,28,0,0,0,513,447,66
Porto,2633,1856,777,635,116,519,2635,1086,1549
Póvoa de Varzim,569,531,38,0,0,0,560,381,179
Santa Maria da Feira,704,648,56,13,0,13,775,554,221
Santo Tirso,533,465,68,149,62,87,555,409,146
São João da Madeira,355,310,45,0,0,0,219,176,43
Trofa,252,217,35,0,0,0,216,177,39
Vale de Cambra,144,144,0,0,0,0,116,114,2
Valongo,658,616,42,36,0,36,550,417,133
Vila do Conde,527,525,2,25,0,25,603,462,141
Vila Nova de Gaia,1906,1583,323,139,0,139,1697,1069,628
Alto Tâmega,645,645,0,34,0,34,625,563,62
Boticas,23,23,0,0,0,0,32,30,2
Chaves,343,343,0,34,0,34,280,235,45
Montalegre,72,72,0,0,0,0,69,69,0
Ribeira de Pena,48,48,0,0,0,0,63,57,6
Valpaços,83,83,0,0,0,0,91,84,7
Vila Pouca de Aguiar,76,76,0,0,0,0,90,88,2
Tâmega e Sousa,3083,2869,214,279,102,177,3095,2696,399
Amarante,378,242,136,59,0,59,527,400,127
Baião,126,126,0,0,0,0,128,118,10
Castelo de Paiva,123,123,0,0,0,0,142,133,9
Celorico de Basto,102,102,0,41,41,0,133,131,2
Cinfães,156,156,0,22,0,22,173,166,7
Felgueiras,483,483,0,36,0,36,416,342,74
Lousada,381,334,47,0,0,0,346,296,50
Marco de Canaveses,355,355,0,61,61,0,320,312,8
Paços de Ferreira,443,412,31,27,0,27,377,306,71
Penafiel,449,449,0,33,0,33,420,385,35
Resende,87,87,0,0,0,0,113,107,6
Douro,1537,1507,30,256,104,152,1516,1250,266
Alijó,86,86,0,0,0,0,85,79,6
Armamar,35,35,0,0,0,0,65,61,4
Carrazeda de Ansiães,39,39,0,0,0,0,42,36,6
Freixo de Espada à Cinta,16,16,0,0,0,0,42,39,3
Lamego,215,185,30,49,40,9,203,165,38
Mesão Frio,43,43,0,0,0,0,30,30,0
Moimenta da Beira,107,107,0,29,0,29,118,91,27
Murça,56,56,0,26,0,26,39,22,17
Penedono,21,21,0,0,0,0,28,26,2
Peso da Régua,152,152,0,64,64,0,114,91,23
Sabrosa,44,44,0,0,0,0,35,30,5
Santa Marta de Penaguião,25,25,0,0,0,0,46,36,10
São João da Pesqueira,43,43,0,30,0,30,58,42,16
Sernancelhe,20,20,0,30,0,30,47,34,13
Tabuaço,39,39,0,0,0,0,31,31,0
Tarouca,47,47,0,0,0,0,47,43,4
Torre de Moncorvo,54,54,0,0,0,0,41,40,1
Vila Nova de Foz Côa,46,46,0,0,0,0,61,56,5
Vila Real,449,449,0,28,0,28,384,298,86
Terras de Trás-os-Montes,797,797,0,180,46,134,830,695,135
Alfândega da Fé,29,29,0,0,0,0,31,30,1
Bragança,319,319,0,65,0,65,344,279,65
Macedo de Cavaleiros,113,113,0,27,0,27,84,62,22
Miranda do Douro,43,43,0,0,0,0,59,57,2
Mirandela,135,135,0,88,46,42,154,119,35
Mogadouro,59,59,0,0,0,0,48,42,6
Vila Flor,46,46,0,0,0,0,36,34,2
Vimioso,19,19,0,0,0,0,24,24,0
Vinhais,34,34,0,0,0,0,50,48,2
Centro,16001,14946,1055,1973,258,1715,16217,11946,4271
Oeste,2475,2156,319,345,97,248,2507,1705,802
Alcobaça,355,277,78,37,37,0,488,332,156
Alenquer,295,295,0,7,0,7,291,272,19
