,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Portugal,17892,5.4,47.4,31.2,8.2
Continente,18521,5.3,47.9,31.6,8.3
Norte,23171,3.9,39.7,31,8.4
Alto Minho,12440,4.6,57.6,37.3,8.6
Arcos de Valdevez,13562,1,83.7,70.2,12.5
Caminha,6651,52.6,55.1,19.9,5.3
Melgaço,3578,...,201.6,21.9,11
Monção,...,...,102.3,40.1,11.3
Paredes de Coura,//,//,67,61.6,8.4
Ponte da Barca,//,//,31.6,10.2,3.2
Ponte de Lima,3421,6.3,38.4,64.5,11.6
Valença,7546,0,62.5,47.3,10.4
Viana do Castelo,28337,2.5,30.9,19.7,5.7
Vila Nova de Cerveira,...,...,146.4,37.8,12.2
Cávado,16431,5.3,27.5,20.1,7.1
Amares,//,//,14.8,8.8,2.7
Barcelos,10928,3.7,32.4,24,9.4
Braga,27721,6,18.3,20.6,6.4
Esposende,...,...,79.4,28.2,14.2
Terras de Bouro,...,...,37.8,6,2.2
Vila Verde,//,//,18.2,8.4,3.4
Ave,19695,7.5,41.2,32.4,9.1
Cabeceiras de Basto,//,//,13,6.6,1.8
Fafe,//,//,25,32.5,7.9
Guimarães,43846,5.6,50.6,27.1,11
Mondim de Basto,//,//,61.1,12.1,4.2
Póvoa de Lanhoso,6122,1.2,55.6,46.1,11
Vieira do Minho,//,//,36.2,10.7,3.7
Vila Nova de Famalicão,1832,47.2,42,42.2,10.2
Vizela,//,//,10.2,31.8,6.1
A. M. Porto,47077,2.8,33.6,30.5,8.7
Arouca,22451,3.3,38.8,82.7,15.2
Espinho,3733,13.7,23.1,41,5
Gondomar,...,...,9.3,22,5.2
Maia,8770,43.3,20.7,40.5,11
Matosinhos,...,...,27.7,80.9,12.7
Oliveira de Azeméis,...,...,59.2,11.5,12.6
Paredes,//,//,10.8,47.4,9.5
Porto,98844,1.8,96.7,36.9,11.4
Póvoa de Varzim,11449,13.1,38.7,39.2,8.5
Santa Maria da Feira,6566,39.5,28.1,3.7,5.9
Santo Tirso,//,//,15.9,6.2,3.6
São João da Madeira,4943,16.7,55,62.5,12.1
Trofa,//,//,4.6,4,0.8
Vale de Cambra,356,0,94.3,32.1,16.8
Valongo,1089,36.9,23.1,28.5,8.4
Vila do Conde,//,//,30.4,14.5,6.4
Vila Nova de Gaia,3497,7.2,16.4,13.1,5.3
Alto Tâmega,7322,1.3,90.2,73.5,10.6
Boticas,...,...,81.6,43.9,6
Chaves,9735,...,110.7,35,13.2
Montalegre,...,...,91.4,106.9,8.6
Ribeira de Pena,//,//,84.8,273.7,11.7
Valpaços,//,//,55,47.5,7.9
Vila Pouca de Aguiar,1513,0,74.2,114.7,11.3
Tâmega e Sousa,5624,9.3,39.7,28.2,8.5
Amarante,11141,...,105.5,35,15.5
Baião,...,...,146.1,21.5,15.6
Castelo de Paiva,//,//,14.8,17.7,3.7
Celorico de Basto,//,//,82,62.9,13.2
Cinfães,//,//,17,16.5,3.7
Felgueiras,//,//,10,1.2,1.5
Lousada,3567,19.6,28.4,22.9,7.1
Marco de Canaveses,//,//,22.9,19.8,5.5
Paços de Ferreira,...,...,5.3,46,9.2
Penafiel,14367,8.4,29.6,33.7,8.7
Resende,//,//,80.8,61.6,11
Douro,10239,4.1,46.8,33.8,5.5
Alijó,8359,2,48.4,24.5,5.4
Armamar,//,//,30.2,28.4,3.5
Carrazeda de Ansiães,//,//,114.9,38.4,8.8
Freixo de Espada à Cinta,800,...,185.5,58.4,6.5
Lamego,//,//,21.9,9,2.4
Mesão Frio,//,//,35.8,4.7,1.9
Moimenta da Beira,//,//,34.4,53.1,7.6
Murça,//,//,15.2,12.4,1.7
Penedono,//,//,114.1,54.1,6.4
Peso da Régua,21239,3.4,8.3,16,2
Sabrosa,3493,40.1,47.3,22.3,4
Santa Marta de Penaguião,//,//,22,76.7,7.3
São João da Pesqueira,1556,18,64.7,21.1,4.7
Sernancelhe,//,//,120.8,150.4,13.9
Tabuaço,//,//,36.7,6.5,2.4
Tarouca,//,//,48.2,45.5,5.6
Torre de Moncorvo,...,...,46,21.4,2.9
Vila Nova de Foz Côa,...,...,59.9,25.9,3.7
Vila Real,12729,3.6,49.4,39.2,9.4
Terras de Trás-os-Montes,5513,13,90.3,35.6,8.1
Alfândega da Fé,//,//,259.5,111.2,15.9
Bragança,9474,15.3,88,25.7,11.1
Macedo de Cavaleiros,...,...,36.5,28.7,3.5
Miranda do Douro,7225,1.4,40.3,7.8,2.4
Mirandela,2709,9.5,65.8,26.4,6.4
Mogadouro,1150,0,198.4,86.1,14.3
Vila Flor,...,...,148.3,68.5,12.9
Vimioso,//,//,85.2,19.6,4.2
Vinhais,//,//,57,28.4,4.4
Centro,9390,7.6,54.2,39.3,9.8
Oeste,14128,7.7,36.1,26.1,7.3
Alcobaça,2397,3.7,34.5,32.3,8.8
Alenquer,910,7.3,24.1,15.2,6.3
Arruda dos Vinhos,//,//,35.3,17.3,5.3
Bombarral,//,//,12.1,25.7,4.4
Cadaval,1326,24.3,38.1,3.6,3.9
Caldas da Rainha,5883,8.7,45.2,32.5,11.8
Lourinhã,...,...,38.9,12.8,4.8
Nazaré,...,...,60.5,122.4,15.1
Óbidos,5691,...,11.9,32.2,2.8
Peniche,4603,2.8,27.8,33.2,6
Sobral de Monte Agraço,//,//,92.3,33.5,14.7
Torres Vedras,11933,19.9,35.1,12.2,6
Região de Aveiro,8692,4.6,51.6,38.1,11.3
Águeda,...,...,45.1,23.6,10.1
Albergaria-a-Velha,//,//,50,92.6,19.8
Anadia,6033,3.9,23.7,4.9,3.4
Aveiro,27100,5.1,81.7,51.6,12.9
Estarreja,...,...,38.1,42.2,12.6
Ílhavo,...,...,76.1,32.1,14.8
Murtosa,//,//,73.6,35.4,12.7
Oliveira do Bairro,211,24.9,28.7,40.7,7.7
Ovar,1626,5.6,41.2,24.1,11.8
Sever do Vouga,856,0,35.1,65.2,10.4
Vagos,//,//,12.6,24.5,4.7
Região de Coimbra,10339,9.5,51,41.2,9.4
Arganil,...,...,65.7,34.2,5.7
Cantanhede,3468,29.8,26,30.2,6.6
Coimbra,11360,8,51.7,35.6,9.8
