,"Cinema, Spectators per inhabitant, No.","Cinema, Occupancy rate, %","Art facilities, Rooms average capacity  , No.","Live shows, Spectators per inhabitant, No.","Live shows, Mean value of tickets sold, €","Periodical publications , Ratio of copies offered, %"
Portugal,0.5,8.6,464.6,0.3,14.2,23.9
Continente,0.5,8.7,466.6,0.3,14.3,24.9
Norte,0.5,8.7,521.9,0.3,11.4,26.7
Alto Minho,0.2,9.6,505.8,0.3,6.2,5.4
Arcos de Valdevez,x,x,234,0.2,6.5,//
Caminha,x,x,132,0.4,3,//
Melgaço,x,x,107.5,…,...,//
Monção,x,x,300,…,...,...
Paredes de Coura,x,x,324.5,0.1,18.9,...
Ponte da Barca,x,x,//,…,...,...
Ponte de Lima,x,x,305,0.3,6.5,...
Valença,x,x,//,0.2,//,//
Viana do Castelo,x,x,1058.8,0.3,5.5,8.1
Vila Nova de Cerveira,x,x,//,0.7,//,...
Cávado,0.6,8.5,1075.2,0.2,10.6,22.7
Amares,x,x,//,…,...,...
Barcelos,x,x,115.3,…,...,...
Braga,x,x,2010.8,0.4,12.3,23.4
Esposende,x,x,226,…,...,...
Terras de Bouro,x,x,150,0,//,...
Vila Verde,x,x,//,…,...,...
Ave,0.3,5.8,1075.9,0.2,7.1,38.1
Cabeceiras de Basto,x,x,//,…,...,...
Fafe,x,x,1312.7,0.1,4.9,...
Guimarães,x,x,2633.7,0.2,8,40.2
Mondim de Basto,x,x,100,0.3,//,//
Póvoa de Lanhoso,x,x,50,0,//,...
Vieira do Minho,x,x,254,0,//,...
Vila Nova de Famalicão,x,x,222.7,0.2,3,...
Vizela,x,x,//,…,...,...
A. M. Porto,0.7,9,468,0.4,11.9,26.9
Arouca,x,x,204,…,...,11.4
Espinho,x,x,136,0.3,8.3,64.9
Gondomar,x,x,3381.7,0.1,19.6,74.5
Maia,x,x,//,0.1,6.7,...
Matosinhos,x,x,155.7,0.3,12.4,2.4
Oliveira de Azeméis,x,x,300,ә,3.1,1.6
Paredes,x,x,213.5,0.1,//,40.1
Porto,x,x,410.4,1.7,15.7,26.8
Póvoa de Varzim,x,x,206.4,0.1,9.8,6.3
Santa Maria da Feira,x,x,513.5,0.7,7.1,28.6
Santo Tirso,x,x,174,1.2,1.2,3.9
