,"Place of parturition, Total (N.º)","Place of parturition, Domicile (N.º)","Place of parturition, Hospital establishment (N.º)","Place of parturition, Another place (N.º)"
Portugal,78679,1002,76804,873
Continente,74935,967,73141,827
Norte,24541,322,23992,227
Alto Minho,1384,19,1350,15
Arcos de Valdevez,110,1,109,0
Caminha,85,0,84,1
Melgaço,28,0,28,0
Monção,80,1,79,0
Paredes de Coura,42,0,42,0
Ponte da Barca,56,2,53,1
Ponte de Lima,268,4,260,4
Valença,101,2,98,1
Viana do Castelo,562,7,547,8
Vila Nova de Cerveira,52,2,50,0
Cávado,3007,21,2934,52
Amares,130,2,127,1
Barcelos,744,4,725,15
Braga,1488,8,1452,28
Esposende,277,6,267,4
Terras de Bouro,33,1,32,0
Vila Verde,335,0,331,4
Ave,2911,46,2826,39
Cabeceiras de Basto,94,1,93,0
Fafe,304,6,297,1
Guimarães,1129,20,1093,16
Mondim de Basto,25,1,24,0
Póvoa de Lanhoso,132,4,123,5
Vieira do Minho,62,0,62,0
Vila Nova de Famalicão,982,12,953,17
Vizela,183,2,181,0
A. M. Porto,12567,140,12339,88
Arouca,125,2,123,0
Espinho,199,1,197,1
Gondomar,1208,18,1184,6
Maia,961,11,944,6
Matosinhos,1172,12,1147,13
Oliveira de Azeméis,425,7,414,4
Paredes,666,8,654,4
Porto,1815,26,1777,12
Póvoa de Varzim,461,4,457,0
Santa Maria da Feira,931,7,920,4
Santo Tirso,421,4,412,5
São João da Madeira,152,2,147,3
Trofa,311,4,304,3
Vale de Cambra,119,1,117,1
Valongo,746,11,730,5
Vila do Conde,585,9,571,5
Vila Nova de Gaia,2270,13,2241,16
Alto Tâmega,382,8,374,0
Boticas,24,0,24,0
Chaves,173,2,171,0
Montalegre,41,3,38,0
Ribeira de Pena,29,1,28,0
Valpaços,58,1,57,0
Vila Pouca de Aguiar,57,1,56,0
Tâmega e Sousa,2734,62,2654,18
Amarante,298,1,295,2
Baião,78,12,66,0
Castelo de Paiva,83,13,69,1
Celorico de Basto,94,0,92,2
Cinfães,108,5,103,0
Felgueiras,372,5,367,0
Lousada,353,3,348,2
Marco de Canaveses,337,7,326,4
Paços de Ferreira,419,5,411,3
Penafiel,542,5,533,4
Resende,50,6,44,0
Douro,1010,16,985,9
Alijó,45,2,43,0
Armamar,28,1,27,0
Carrazeda de Ansiães,20,0,20,0
Freixo de Espada à Cinta,18,0,17,1
Lamego,125,1,123,1
Mesão Frio,13,0,13,0
Moimenta da Beira,62,0,62,0
Murça,21,0,21,0
Penedono,10,0,10,0
Peso da Régua,80,1,79,0
Sabrosa,19,0,19,0
Santa Marta de Penaguião,28,0,28,0
São João da Pesqueira,41,1,40,0
Sernancelhe,33,2,31,0
Tabuaço,32,0,32,0
Tarouca,47,2,45,0
Torre de Moncorvo,36,0,36,0
Vila Nova de Foz Côa,31,0,30,1
Vila Real,321,6,309,6
Terras de Trás-os-Montes,546,10,530,6
Alfândega da Fé,21,1,20,0
Bragança,207,5,199,3
Macedo de Cavaleiros,83,0,83,0
Miranda do Douro,26,0,26,0
Mirandela,98,1,95,2
Mogadouro,33,0,32,1
Vila Flor,28,1,27,0
Vimioso,16,0,16,0
Vinhais,34,2,32,0
Centro,14717,239,14398,80
Oeste,2737,34,2688,15
Alcobaça,357,6,349,2
Alenquer,397,6,390,1
Arruda dos Vinhos,105,2,103,0
Bombarral,102,0,102,0
Cadaval,75,3,71,1
Caldas da Rainha,323,6,317,0
Lourinhã,202,1,200,1
Nazaré,121,1,120,0
Óbidos,89,2,85,2
Peniche,210,5,203,2
Sobral de Monte Agraço,75,0,75,0
Torres Vedras,681,2,673,6
Região de Aveiro,2705,23,2668,14
Águeda,306,7,299,0
Albergaria-a-Velha,154,0,154,0
Anadia,154,1,151,2
Aveiro,631,2,626,3
Estarreja,185,3,180,2
Ílhavo,319,0,319,0
Murtosa,95,3,92,0
Oliveira do Bairro,168,1,165,2
Ovar,447,3,440,4
Sever do Vouga,70,0,70,0
Vagos,176,3,172,1
Região de Coimbra,2734,67,2654,13
Arganil,64,4,60,0
Cantanhede,219,1,216,2
Coimbra,1010,10,995,5
Condeixa-a-Nova,106,2,103,1
Figueira da Foz,347,14,332,1
Góis,10,0,10,0
Lousã,105,1,104,0
Mealhada,119,4,115,0
Mira,75,1,74,0
Miranda do Corvo,65,1,64,0
Montemor-o-Velho,169,2,166,1
Mortágua,52,1,50,1
Oliveira do Hospital,120,22,97,1
Pampilhosa da Serra,13,0,13,0
Penacova,61,0,61,0
Penela,25,1,24,0
Soure,80,2,78,0
Tábua,60,0,60,0
Vila Nova de Poiares,34,1,32,1
Região de Leiria,2036,42,1987,7
Alvaiázere,41,4,36,1
Ansião,68,10,57,1
Batalha,104,7,95,2
Castanheira de Pêra,10,0,10,0
Figueiró dos Vinhos,23,0,23,0
Leiria,979,7,969,3
Marinha Grande,263,3,260,0
Pedrógão Grande,18,1,17,0
Pombal,356,3,353,0
Porto de Mós,174,7,167,0
Viseu Dão Lafões,1553,26,1521,6
Aguiar da Beira,28,0,28,0
Carregal do Sal,53,3,50,0
Castro Daire,65,2,63,0
Mangualde,99,2,97,0
Nelas,64,0,64,0
Oliveira de Frades,60,2,58,0
Penalva do Castelo,24,0,24,0
Santa Comba Dão,73,1,71,1
São Pedro do Sul,65,2,63,0
Sátão,65,1,63,1
Tondela,153,4,147,2
Vila Nova de Paiva,24,0,24,0
Viseu,718,8,708,2
Vouzela,62,1,61,0
Beira Baixa,476,7,466,3
Castelo Branco,354,5,349,0
Idanha-a-Nova,42,0,41,1
Oleiros,19,0,19,0
Penamacor,10,1,9,0
Proença-a-Nova,34,0,33,1
Vila Velha de Ródão,17,1,15,1
Médio Tejo,1349,11,1321,17
Abrantes,161,1,155,5
Alcanena,68,0,67,1
Constância,22,0,22,0
Entroncamento,149,0,145,4
Ferreira do Zêzere,47,0,47,0
Mação,28,0,27,1
Ourém,324,5,318,1
Sardoal,19,0,19,0
Sertã,78,1,77,0
Tomar,207,3,202,2
Torres Novas,174,0,171,3
Vila de Rei,25,0,25,0
Vila Nova da Barquinha,47,1,46,0
Beiras e Serra da Estrela,1127,29,1093,5
Almeida,12,1,11,0
Belmonte,31,0,31,0
Celorico da Beira,29,4,25,0
Covilhã,256,5,250,1
Figueira de Castelo Rodrigo,33,1,32,0
Fornos de Algodres,18,0,16,2
Fundão,163,5,158,0
Gouveia,48,2,46,0
Guarda,261,4,255,2
Manteigas,19,0,19,0
Mêda,14,0,14,0
Pinhel,25,0,25,0
Sabugal,48,5,43,0
Seia,124,2,122,0
Trancoso,46,0,46,0
A. M. Lisboa,26409,222,25735,452
Alcochete,148,3,144,1
Almada,1533,12,1505,16
Amadora,1703,8,1677,18
Barreiro,641,7,630,4
Cascais,1703,17,1579,107
Lisboa,5339,36,5238,65
Loures,2031,9,1999,23
Mafra,732,8,714,10
Moita,663,8,651,4
Montijo,554,7,538,9
Odivelas,1624,12,1604,8
Oeiras,1419,19,1377,23
Palmela,571,9,558,4
Seixal,1447,15,1417,15
Sesimbra,426,6,417,3
Setúbal,985,11,960,14
Sintra,3676,31,3528,117
Vila Franca de Xira,1214,4,1199,11
Alentejo,5189,98,5041,50
Alentejo Litoral,750,18,723,9
Alcácer do Sal,64,2,62,0
Grândola,107,1,104,2
Odemira,269,12,255,2
Santiago do Cacém,182,2,178,2
Sines,128,1,124,3
Baixo Alentejo,959,21,934,4
Aljustrel,72,8,64,0
Almodôvar,56,0,56,0
Alvito,19,0,19,0
Barrancos,12,0,11,1
Beja,306,1,304,1
Castro Verde,46,3,43,0
Cuba,36,0,35,1
Ferreira do Alentejo,70,1,69,0
Mértola,40,1,39,0
Moura,131,2,128,1
Ourique,28,2,26,0
Serpa,101,2,99,0
Vidigueira,42,1,41,0
Lezíria do Tejo,1677,25,1641,11
Almeirim,153,2,149,2
Alpiarça,42,0,42,0
Azambuja,148,0,148,0
Benavente,220,2,216,2
Cartaxo,142,1,141,0
Chamusca,39,0,38,1
Coruche,124,2,120,2
Golegã,43,0,43,0
Rio Maior,185,5,178,2
Salvaterra de Magos,165,3,162,0
Santarém,416,10,404,2
Alto Alentejo,681,14,659,8
