,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Portugal,2244715,451370,250669,338692,238659,280907,161813,522605
Continente,2164118,434153,240565,324263,230516,270341,158175,506105
Norte,780252,163542,95163,128082,90988,104110,48556,149811
Alto Minho,45607,10885,5659,7011,3763,4990,4030,9269
Arcos de Valdevez,3850,893,457,373,411,408,637,671
Caminha,1743,691,344,328,158,34,38,150
Melgaço,763,270,156,98,66,92,39,42
Monção,2576,948,442,569,220,157,25,215
Paredes de Coura,974,275,139,137,169,158,83,13
Ponte da Barca,1247,519,216,244,53,133,7,75
Ponte de Lima,7769,2255,1177,1497,321,566,118,1835
Valença,3561,906,320,343,142,138,454,1258
Viana do Castelo,19722,3729,2271,3075,2027,2641,1773,4206
Vila Nova de Cerveira,3402,399,137,347,196,663,856,804
Cávado,98626,21400,13375,17530,13102,13214,5995,14010
Amares,2916,910,638,465,494,226,151,32
Barcelos,29409,6789,4094,5516,5408,4787,1440,1375
Braga,50771,9093,6055,8326,5357,6925,3502,11513
Esposende,6840,1778,1020,1262,820,836,860,264
Terras de Bouro,931,286,172,200,105,90,8,70
Vila Verde,7759,2544,1396,1761,918,350,34,756
Ave,100802,20610,12516,17508,13697,15688,6109,14674
Cabeceiras de Basto,2163,720,346,565,403,32,12,85
Fafe,8634,2459,1445,2086,1538,470,329,307
Guimarães,42856,8161,5057,7768,5766,7755,2420,5929
Mondim de Basto,582,259,161,72,68,8,3,11
Póvoa de Lanhoso,3552,1022,667,618,240,447,433,125
Vieira do Minho,1198,475,244,178,50,112,14,125
Vila Nova de Famalicão,36685,6430,3895,5397,4866,5693,2880,7524
Vizela,5132,1084,701,824,766,1171,18,568
A. M. Porto,406168,75760,45510,60850,42527,54149,28678,98694
Arouca,3927,1119,768,783,686,497,0,74
Espinho,3903,1252,691,464,309,802,24,361
Gondomar,16269,4650,2553,3284,1518,1765,360,2139
Maia,44310,5759,4243,6538,4059,5307,5067,13337
Matosinhos,44735,6719,4549,5300,4843,6650,2996,13678
Oliveira de Azeméis,18154,2658,2058,3371,1955,3294,1301,3517
Paredes,16193,3953,2386,3426,2676,2744,548,460
Porto,94078,15243,8474,10190,7680,10702,7544,34245
Póvoa de Varzim,12094,3376,1674,2221,1568,1494,597,1164
Santa Maria da Feira,27879,6576,3846,5181,3795,2963,1439,4079
Santo Tirso,14073,2888,1806,2709,1657,2870,1270,873
São João da Madeira,8742,1253,837,1108,1289,1440,276,2539
Trofa,11995,2206,1097,1854,1411,1144,1739,2544
Vale de Cambra,5994,927,541,1160,627,709,250,1780
Valongo,13080,3069,1879,2361,1633,1346,172,2620
Vila do Conde,19299,4178,2212,3173,1695,3586,1935,2520
Vila Nova de Gaia,51443,9934,5896,7727,5126,6836,3160,12764
Alto Tâmega,10749,3648,1687,1837,930,1346,348,953
Boticas,760,205,80,56,74,159,31,155
Chaves,5341,1790,931,877,394,689,28,632
Montalegre,882,392,187,152,5,87,12,47
Ribeira de Pena,1021,146,89,266,109,378,0,33
Valpaços,1432,575,207,174,180,13,242,41
Vila Pouca de Aguiar,1313,540,193,312,168,20,35,45
Tâmega e Sousa,77891,18121,10959,16333,12755,11409,2295,6019
Amarante,8014,2366,1295,1903,1017,943,75,415
Baião,2047,624,278,482,316,304,0,43
Castelo de Paiva,2646,656,265,405,357,598,267,98
Celorico de Basto,2066,706,253,760,241,21,…,…
Cinfães,2791,527,419,703,679,435,…,…
Felgueiras,15874,3037,1927,3201,3809,2896,761,243
Lousada,8959,1980,1126,2188,1454,1464,359,388
Marco de Canaveses,8236,2028,1501,1868,1295,1261,18,265
Paços de Ferreira,12602,2986,2031,2446,1704,1204,78,2153
Penafiel,13712,2875,1770,2142,1751,2154,684,2336
Resende,944,336,94,235,132,129,0,18
Douro,25964,8336,3517,4512,3091,2414,413,3681
Alijó,1325,518,206,118,260,119,27,77
Armamar,810,340,107,137,212,7,…,…
Carrazeda de Ansiães,531,260,105,67,61,0,0,38
Freixo de Espada à Cinta,433,113,41,65,72,122,0,20
Lamego,3334,1034,475,504,293,582,66,380
Mesão Frio,361,127,60,77,3,83,…,…
Moimenta da Beira,1344,508,165,452,189,…,…,21
Murça,509,180,77,75,9,125,0,43
Penedono,316,147,42,120,3,0,0,4
Peso da Régua,1976,702,325,340,170,135,26,278
Sabrosa,828,284,135,148,215,4,0,42
Santa Marta de Penaguião,463,140,93,218,5,…,0,…
São João da Pesqueira,923,384,140,181,154,11,37,16
Sernancelhe,782,303,108,184,140,17,11,19
Tabuaço,455,148,100,85,72,16,0,34
Tarouca,1079,282,173,205,175,236,0,8
Torre de Moncorvo,783,342,141,114,79,51,0,56
Vila Nova de Foz Côa,805,300,121,142,113,…,…,78
Vila Real,8907,2224,903,1280,866,851,236,2547
Terras de Trás-os-Montes,14445,4782,1940,2501,1123,900,688,2511
Alfândega da Fé,373,121,64,164,4,0,0,20
Bragança,5800,1578,713,1045,539,135,294,1496
Macedo de Cavaleiros,1705,674,237,233,102,125,18,316
Miranda do Douro,862,349,142,180,0,131,0,60
Mirandela,3159,1054,382,521,298,129,288,487
Mogadouro,907,389,148,136,13,177,0,44
Vila Flor,698,203,48,58,79,180,88,42
Vimioso,407,132,92,65,80,14,0,24
Vinhais,534,282,114,99,8,9,0,22
Centro,456336,100536,53751,79785,53190,60732,33994,74348
Oeste,70504,17853,9888,12812,9263,8295,5000,7393
Alcobaça,12422,3102,1845,2627,2482,1668,20,678
Alenquer,8852,1527,987,1295,996,1361,1537,1149
Arruda dos Vinhos,2803,630,459,431,393,177,615,98
Bombarral,1808,565,254,422,268,152,0,147
Cadaval,1918,543,248,427,308,276,93,23
Caldas da Rainha,11230,2757,1275,1606,763,1400,1346,2083
Lourinhã,3877,1456,698,745,502,…,…,133
Nazaré,2456,770,340,327,319,391,145,164
Óbidos,2549,642,382,569,453,294,75,134
Peniche,4253,1335,667,771,425,382,15,658
Sobral de Monte Agraço,1369,384,262,385,248,…,…,62
Torres Vedras,16967,4142,2471,3207,2106,1831,1146,2064
Região de Aveiro,91882,15057,9241,14883,10812,14197,8087,19605
Águeda,12701,2270,1454,3096,1620,2854,828,579
Albergaria-a-Velha,6468,1075,682,1506,728,1029,612,836
Anadia,5729,1219,613,1377,497,704,0,1319
Aveiro,25396,3492,2296,2863,3411,2149,2961,8224
Estarreja,6449,784,587,846,603,1335,549,1745
Ílhavo,7028,1224,761,1136,827,1146,1040,894
Murtosa,1392,337,173,200,133,271,257,21
Oliveira do Bairro,5731,1071,778,1046,1044,1367,317,108
Ovar,14188,2041,1242,1775,1119,2289,1100,4622
Sever do Vouga,2075,618,266,438,199,345,156,53
Vagos,4725,926,389,600,631,708,267,1204
Região de Coimbra,82157,17682,8962,13229,8463,12390,8715,12716
Arganil,1738,492,196,384,211,325,14,116
Cantanhede,7374,1402,774,1060,1230,1110,671,1127
Coimbra,29131,6050,2912,4272,2149,3449,3235,7064
Condeixa-a-Nova,2172,456,201,379,365,464,0,307
Figueira da Foz,13017,2347,1473,1754,1266,1989,2127,2061
Góis,466,194,72,109,52,…,0,…
Lousã,2497,636,357,456,202,414,302,130
Mealhada,4224,765,422,596,490,761,822,368
Mira,1801,562,188,294,352,382,0,23
Miranda do Corvo,1095,399,147,230,51,…,223,…
Montemor-o-Velho,2830,725,403,769,256,555,10,112
Mortágua,2406,437,191,398,243,592,498,47
Oliveira do Hospital,3832,934,505,1171,342,338,176,366
Pampilhosa da Serra,530,152,54,37,78,166,0,43
Penacova,1690,561,282,249,271,281,0,46
Penela,1459,254,183,175,182,554,98,13
