,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Portugal,2244715,6814,167622,258651,559748,703045,1635,38856,420764,73386,8570
Continente,2164118,6405,159660,246836,536710,678980,1448,38247,409711,72073,8463
Norte,780252,2028,67021,116686,196212,229628,514,11155,128789,23924,3424
Alto Minho,45607,73,2214,6253,13226,16161,37,613,6100,870,31
Arcos de Valdevez,3850,…,227,498,1071,1490,…,24,439,94,0
Caminha,1743,…,98,233,508,649,…,20,197,30,…
Melgaço,763,0,36,73,247,289,…,…,95,14,0
Monção,2576,6,183,344,779,872,7,25,331,28,0
Paredes de Coura,974,…,115,146,251,328,…,…,107,12,0
Ponte da Barca,1247,…,98,190,330,469,…,…,135,10,0
Ponte de Lima,7769,…,418,1346,2430,2583,…,100,744,115,9
Valença,3561,…,130,342,1141,1537,0,36,325,34,…
Viana do Castelo,19722,38,767,2628,5289,6776,17,331,3369,483,13
Vila Nova de Cerveira,3402,…,142,453,1180,1168,…,45,358,50,…
Cávado,98626,166,7087,17106,25485,28380,74,913,15753,3247,339
Amares,2916,…,274,663,906,770,…,13,234,26,8
Barcelos,29409,66,2462,6900,8400,7731,17,183,3201,426,16
Braga,50771,70,3178,6323,11585,15663,49,601,10452,2508,299
Esposende,6840,…,537,1543,1869,1794,…,66,874,137,9
Terras de Bouro,931,7,73,121,297,284,0,8,99,39,0
Vila Verde,7759,…,563,1556,2428,2138,…,42,893,111,7
Ave,100802,331,10873,19103,27862,28296,51,797,11041,1950,326
Cabeceiras de Basto,2163,…,221,379,669,625,…,26,226,…,…
Fafe,8634,25,796,1908,2944,2027,…,53,758,95,…
Guimarães,42856,109,5280,7987,11432,11300,20,310,5109,929,232
Mondim de Basto,582,…,73,106,176,169,0,8,43,…,0
Póvoa de Lanhoso,3552,…,324,679,998,1119,…,36,346,35,…
Vieira do Minho,1198,…,76,256,381,351,…,10,110,8,…
Vila Nova de Famalicão,36685,160,3267,6616,9861,11427,22,330,4116,808,59
Vizela,5132,24,836,1172,1401,1278,…,24,333,56,…
A. M. Porto,406168,1000,30739,50427,95052,120994,277,7502,80983,16074,2615
