,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Portugal,2244715,93480,300943,260823,313113,440821,24938,318843,237048,252835
Continente,2164118,90879,292664,252963,302359,419638,23946,307687,232524,239606
Norte,780252,31003,92738,85691,98887,132846,5518,147014,105221,80863
Alto Minho,45607,1412,3766,4356,5266,8156,631,9313,7364,5333
Arcos de Valdevez,3850,125,236,459,317,622,54,757,715,564
Caminha,1743,80,139,144,179,523,31,257,84,306
Melgaço,763,31,50,53,80,261,18,77,90,103
Monção,2576,77,229,185,302,665,33,500,246,338
Paredes de Coura,974,24,61,96,58,200,20,127,242,146
Ponte da Barca,1247,35,109,78,137,382,25,245,87,148
Ponte de Lima,7769,248,392,661,802,1279,120,2095,1527,644
Valença,3561,84,137,241,683,578,48,432,613,745
Viana do Castelo,19722,607,2291,2144,2328,3273,237,4124,2497,2215
Vila Nova de Cerveira,3402,101,122,295,380,373,45,699,1263,124
Cávado,98626,3916,11757,11001,11152,15092,673,20935,14679,9340
Amares,2916,142,128,180,370,443,68,751,438,395
Barcelos,29409,998,2062,2770,3198,3442,277,7445,6698,2515
Braga,50771,1993,8301,6790,6026,8652,155,8413,5662,4707
Esposende,6840,269,593,643,717,938,79,1971,844,784
Terras de Bouro,931,53,80,101,72,290,20,78,59,177
Vila Verde,7759,461,593,517,769,1327,74,2277,978,762
Ave,100802,3597,7231,9468,12018,12556,459,21301,23905,10210
Cabeceiras de Basto,2163,84,124,154,211,407,32,438,345,368
Fafe,8634,296,518,579,781,1313,34,2092,1989,1031
Guimarães,42856,1600,3481,3972,5215,5250,163,8674,10182,4272
Mondim de Basto,582,29,18,48,62,129,32,106,98,60
Póvoa de Lanhoso,3552,172,167,304,545,637,30,812,522,360
Vieira do Minho,1198,48,86,74,130,306,12,238,105,199
Vila Nova de Famalicão,36685,1223,2655,3947,4497,3886,149,7700,9184,3438
Vizela,5132,145,182,390,577,628,7,1241,1480,482
A. M. Porto,406168,17135,60167,50817,57218,74213,2275,62257,42282,39533
Arouca,3927,129,229,378,392,554,112,1070,555,507
Espinho,3903,189,409,363,503,1132,10,527,333,437
Gondomar,16269,682,1744,1603,2289,3650,49,3187,1326,1734
Maia,44310,1779,4977,7672,7086,8140,198,5411,3932,5088
Matosinhos,44735,1804,8654,5967,6351,9327,86,4631,3323,4553
Oliveira de Azeméis,18154,555,1082,1862,1937,1912,35,4570,4545,1653
Paredes,16193,646,953,1540,2102,1753,47,5582,1868,1700
Porto,94078,4579,25505,13628,14542,19994,95,4512,2867,8213
Póvoa de Varzim,12094,463,1185,1051,1721,2271,542,2265,1203,1390
Santa Maria da Feira,27879,1252,1993,2361,3470,4742,74,8163,3509,2311
Santo Tirso,14073,581,943,1311,1660,1832,50,3039,3327,1329
São João da Madeira,8742,…,700,955,919,1229,…,1455,2341,809
Trofa,11995,449,1071,1397,1644,1099,107,2306,2634,1288
Vale de Cambra,5994,…,483,700,591,622,…,1702,761,853
Valongo,13080,509,1121,1599,2097,2312,56,2544,1462,1378
Vila do Conde,19299,741,1654,2262,2550,3111,685,3708,2724,1857
Vila Nova de Gaia,51443,2200,7464,6168,7364,10533,98,7585,5572,4433
Alto Tâmega,10749,435,967,938,1125,2644,152,1486,1078,1923
Boticas,760,27,42,51,76,192,28,75,210,59
Chaves,5341,206,490,463,609,1482,34,753,405,899
Montalegre,882,62,77,83,77,224,37,93,66,163
Ribeira de Pena,1021,24,141,142,64,157,7,144,162,180
Valpaços,1432,58,120,85,143,348,15,231,79,353
Vila Pouca de Aguiar,1313,58,97,114,156,241,31,190,156,269
Tâmega e Sousa,77891,2886,4392,5648,7631,9455,482,26626,12639,8124
Amarante,8014,326,701,671,833,1218,74,2677,630,881
Baião,2047,135,131,226,171,242,22,731,111,278
Castelo de Paiva,2646,114,132,139,213,355,40,941,247,465
Celorico de Basto,2066,66,95,132,142,329,57,523,353,369
Cinfães,2791,83,88,183,176,317,17,1461,167,299
Felgueiras,15874,388,502,976,1645,1327,55,5914,4058,1009
Lousada,8959,282,343,609,871,829,32,3051,1944,997
Marco de Canaveses,8236,274,387,638,868,952,64,2986,1222,844
Paços de Ferreira,12602,713,473,895,1272,1344,22,4687,1833,1361
Penafiel,13712,455,1466,1116,1361,2311,78,3410,2011,1503
Resende,944,50,74,63,79,231,21,245,63,118
Douro,25964,1084,2761,2126,3054,6683,646,3254,2232,4106
Alijó,1325,52,90,113,191,349,48,121,140,220
Armamar,810,52,60,51,59,200,37,119,73,158
Carrazeda de Ansiães,531,16,38,22,68,162,16,60,42,106
Freixo de Espada à Cinta,433,11,60,24,35,99,15,45,40,104
Lamego,3334,147,256,266,417,756,58,482,279,672
Mesão Frio,361,26,21,16,31,114,23,62,18,50
Moimenta da Beira,1344,66,124,81,133,335,41,188,109,267
Murça,509,17,55,28,43,131,29,48,76,82
Penedono,316,20,24,17,27,83,12,50,7,75
Peso da Régua,1976,79,212,203,249,627,32,186,120,268
Sabrosa,828,37,82,65,109,216,38,63,59,159
Santa Marta de Penaguião,463,20,25,31,53,116,30,53,20,115
São João da Pesqueira,923,52,78,39,89,184,57,68,139,217
