,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proportion of employees in establishments of enterprises with 250 or more workers, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Portugal,20.1,30.5,1247.2,24.2,9.7,x,8.6,17.3,5.4,31.7,38
Continente,20.1,30.7,1250.8,24.5,9.8,0,8.7,17.2,5.5,31.7,38.1
Norte,21,25.4,1145.2,21.5,8.9,0.1,8.4,17.1,5.2,29.4,34.7
Alto Minho,23.9,29.2,1057.2,16.8,10,0.9,7,16.1,3.2,23.6,28.8
Arcos de Valdevez,23.2,34,985.2,14.5,6.3,-0.4,6,14.5,3.8,23.8,30.3
Caminha,39.6,10.8,918.1,14.3,7.7,-0.6,3.2,20.9,1.7,18.1,20.6
Melgaço,35.4,10.6,913.6,15.5,5.3,-2.7,4.7,21.3,3.9,22.2,25.8
Monção,36.8,9.3,946.5,15.2,7.1,1.1,7.5,14.2,2.8,14.1,19.5
Paredes de Coura,28.2,9.9,964.2,13.6,6.1,-1.5,5.7,23.8,5,22.6,30.5
Ponte da Barca,41.6,6.6,902.8,12.7,7.3,0.6,4.7,19.8,2.5,13.2,19.6
Ponte de Lima,29,25.1,960.3,12.5,7.3,-0.4,4.7,16.7,2.4,17.4,20.4
Valença,25.4,48.1,1004.9,11.2,26.4,7.9,8.9,9,11.4,16.2,25.3
Viana do Castelo,18.9,30.3,1153,21.4,10.6,0.7,7.1,19.2,1.7,26.7,33
Vila Nova de Cerveira,11.7,48.8,1130,13.5,8.6,1.6,8.9,11.4,7,24.8,32.8
Cávado,21.7,20.3,1088.5,20.6,8.3,0.3,8,17.8,4.1,24.7,30.4
Amares,31.2,6.3,984.2,9.7,8.7,1,8.4,25.5,4.1,14.7,22.1
Barcelos,23.1,9.6,999.2,13.1,7.7,0.4,7.3,15.3,4.3,19.3,27
Braga,17.9,29.6,1186.4,27.4,8.6,-0.1,8.2,17.4,1.6,25.8,32.2
Esposende,26,16.4,1002.5,15.9,8.8,0.2,7,11.7,2.9,24.2,29.3
Terras de Bouro,30.7,8.4,949.4,15.7,8.5,1.8,16.6,48.1,24.2,25.5,29.4
Vila Verde,32.8,10.2,918,13.6,8.4,1.3,3.9,9.2,6,16.6,19.8
Ave,20.4,20.6,1030.3,14.1,7,0.3,8.7,17.5,2.1,23.4,27.8
Cabeceiras de Basto,33.3,4.5,847.3,12.3,6.8,-1.6,3.7,12.3,7.4,11.8,15.5
Fafe,28.5,7.4,883.5,10.8,6.7,-0.2,3.9,13.3,5.6,16.8,20.6
Guimarães,19,19.5,1013.7,15.4,6.6,0,5.1,14,5,24.7,30.4
Mondim de Basto,44.5,2.4,834.8,9.8,5.8,-1.2,0.4,22.6,7.1,13.4,15.2
Póvoa de Lanhoso,28.8,15.7,882.7,11.9,5.8,0.6,1.7,14.9,3.5,15.3,18.8
Vieira do Minho,39.6,11.6,855.3,11.1,4.7,8.5,2.1,13,5.6,13.1,16.3
Vila Nova de Famalicão,17.5,28.4,1135.8,14.5,7.9,1.1,13.4,19.7,4,24.4,28.9
Vizela,21.1,11.4,904.9,8.2,5.7,-3.6,7.5,10.1,3.5,17,23.8
A. M. Porto,18.7,31.4,1257.1,26.5,9.4,-0.1,9.1,15.9,4.1,31,37.9
Arouca,28.5,1.9,975.6,13.2,6,-0.4,7.7,15.4,3.8,16.4,21.4
Espinho,32.1,9.9,1002.3,19.3,6.7,-0.2,6.7,13.7,3.4,23.9,32.1
Gondomar,28.6,15.4,1046.4,18.1,7.5,-0.3,5,14.6,3.4,21.2,27.7
Maia,13,41.5,1297.5,26.4,10.6,-3.3,11.4,13.1,1.5,32.1,42.6
Matosinhos,15,37.3,1387.5,32.8,11.4,1.1,11.7,16.5,4.4,31.7,38.5
Oliveira de Azeméis,14.6,26.5,1172.2,13.5,6.6,0.5,13.5,14.3,6.1,24.3,33.1
Paredes,24.4,6.2,960.9,12.9,7.9,1,4.5,15.6,5.7,22.8,25
Porto,16.2,44.4,1498.3,43.6,10.9,0.2,12,16.5,1.6,29.4,38.9
Póvoa de Varzim,27.9,14.6,1029.7,16.3,7.5,0.6,6.5,15.6,5.2,21.5,25.9
Santa Maria da Feira,23.6,19.8,1126.4,15.6,7.7,0.8,9.2,13.1,2.4,25.3,35.2
Santo Tirso,20.5,15.2,1040.9,13.1,6.5,0.8,8.6,12.2,1.4,24.7,28.3
São João da Madeira,14.3,32.2,1146.2,18.1,10.3,-4.5,11.6,8.6,2.3,26.6,35.9
Trofa,18.4,35.7,1145.1,16,11.2,3.5,6.6,22.6,6.7,38.2,40.3
Vale de Cambra,15.5,33.9,1183.2,17.8,6,-0.6,13.1,10.9,5.9,28.8,36.9
Valongo,23.5,21.3,1117,15.6,10.3,1.7,7.1,16.5,2,22.3,29
Vila do Conde,21.6,23.1,1172.3,18.5,8.9,1.6,8.4,14.9,3.5,28.1,32.8
Vila Nova de Gaia,19.3,31,1203.1,25.3,8.2,-1.3,6.7,14.8,2.1,27.5,35.3
Alto Tâmega,33.9,12.1,975.6,15.6,7.8,0.7,7.9,18.1,5,20,25
Boticas,27,24.5,854.9,9.9,5,-0.5,3.5,6,3.9,19.7,23.3
Chaves,33.5,12.4,1002,16.7,9.2,1.6,8.8,20.1,4.3,20.9,26
Montalegre,44.4,6.7,920.6,15.3,7.4,1.1,5.2,33.2,2.5,13.3,18.5
Ribeira de Pena,14.3,3.2,1169.5,17.3,8.4,-0.1,15.1,17.7,17.8,28.4,31.2
Valpaços,40.2,19.8,863.6,14.9,5.7,0.8,2.1,18.1,2.5,18,20.4
Vila Pouca de Aguiar,41.1,6.1,946.5,13.5,5.6,-1.8,6.3,21.7,3.8,22.1,27.5
Tâmega e Sousa,23.3,10.7,937,10.2,10.4,0.1,5.5,14.3,5.2,19.9,23.3
Amarante,29.5,6.1,950.6,13.8,9.3,0.8,4.1,13.7,3.8,19.2,21.5
Baião,30.5,2.1,942.1,13.1,11.6,-2.6,8.6,18.6,2.7,14,13.3
Castelo de Paiva,24.8,13.8,886.6,8.2,7,0.1,4.8,8.1,3.6,18.4,21.4
