,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Portugal,1315485,603306,712179,73265637,31135651,42129986
Continente,1257776,574226,683550,69766540,29421183,40345357
Norte,450100,201639,248462,25713752,10550431,15163321
Alto Minho,20065,9064,11001,1157166,480576,676590
Arcos de Valdevez,1320,545,775,80517,31788,48729
Caminha,1480,654,827,86138,35472,50666
Melgaço,222,92,130,12602,4878,7724
Monção,1128,417,711,68424,23663,44761
Paredes de Coura,926,415,512,54867,23199,31668
Ponte da Barca,700,319,381,42838,18149,24689
Ponte de Lima,3254,1317,1937,197277,74642,122635
Valença,1559,656,903,94785,38783,56002
Viana do Castelo,8511,4239,4272,462886,207000,255886
Vila Nova de Cerveira,963,410,553,56832,23002,33830
Cávado,43172,18111,25061,2443499,940338,1503161
Amares,1702,712,990,98066,36795,61271
Barcelos,10912,4722,6191,624159,244587,379572
Braga,23156,9584,13572,1287686,492877,794809
Esposende,3012,1277,1735,169163,66339,102824
Terras de Bouro,660,320,340,44220,19614,24606
Vila Verde,3730,1495,2234,220205,80126,140079
Ave,58862,24299,34563,3436332,1299918,2136414
Cabeceiras de Basto,1356,603,754,81398,33400,47998
Fafe,7245,2771,4474,442250,158193,284057
Guimarães,24614,10084,14529,1445686,554543,891143
Mondim de Basto,369,197,173,23250,12183,11067
Póvoa de Lanhoso,2392,1141,1251,137079,57433,79646
Vieira do Minho,1281,655,625,76278,33826,42452
Vila Nova de Famalicão,17694,7324,10371,995857,366004,629853
Vizela,3911,1525,2386,234534,84336,150198
A. M. Porto,251070,117320,133750,14048946,6038544,8010402
Arouca,1578,692,887,94043,36285,57758
Espinho,3824,1921,1903,208829,95149,113680
Gondomar,23429,11222,12207,1350850,599759,751091
Maia,19938,9208,10730,1058311,446594,611717
Matosinhos,27682,13959,13723,1481720,690118,791602
Oliveira de Azeméis,8580,3585,4995,501314,189614,311700
Paredes,10214,4168,6046,629527,231723,397804
Porto,34770,17433,17337,1881233,899566,981667
Póvoa de Varzim,8232,3862,4370,470249,199413,270836
Santa Maria da Feira,18242,8111,10130,1043329,424940,618389
Santo Tirso,9548,3840,5708,559256,204725,354531
São João da Madeira,4000,1792,2208,234720,99125,135595
Trofa,5950,2199,3751,347941,112854,235087
Vale de Cambra,1572,594,978,90349,29276,61073
Valongo,13396,6098,7297,754294,311718,442576
Vila do Conde,11576,5245,6331,652615,261940,390675
Vila Nova de Gaia,48540,23390,25149,2690366,1205745,1484621
Alto Tâmega,5699,2785,2914,333760,149384,184376
Boticas,297,133,164,17634,7416,10218
Chaves,2772,1235,1537,167349,69207,98142
Montalegre,420,255,164,22086,12713,9373
Ribeira de Pena,569,325,244,31893,16393,15500
Valpaços,702,312,390,43471,18689,24782
Vila Pouca de Aguiar,939,525,414,51327,24966,26361
Tâmega e Sousa,49278,19258,30020,2996372,1047369,1949003
Amarante,6348,2188,4161,379895,117022,262873
Baião,1778,828,950,104729,42988,61741
Castelo de Paiva,1551,717,834,91784,36761,55023
Celorico de Basto,1582,700,881,95644,37655,57989
Cinfães,1917,1006,911,111611,53281,58330
