,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Portugal,799535,1186590,744533,12817,13137,16939,7864,1758
Continente,757248,1122137,704379,11942,12240,15785,7257,1623
Norte,280339,409423,242114,5084,5198,6725,2448,542
Alto Minho,16604,24660,13566,212,218,278,274,61
Arcos de Valdevez,1363,2027,1128,13,13,15,60,14
Caminha,1152,1689,946,7,7,10,19,4
Melgaço,375,551,318,6,6,8,30,7
Monção,1149,1645,893,20,22,27,20,4
Paredes de Coura,662,986,532,7,9,12,4,1
Ponte da Barca,836,1244,686,12,13,16,15,3
Ponte de Lima,3394,5138,2696,39,39,49,31,7
Valença,1077,1542,881,7,7,8,9,2
Viana do Castelo,5909,8855,4945,93,94,121,81,18
Vila Nova de Cerveira,687,983,541,8,8,10,5,1
Cávado,31531,48272,26681,552,565,728,133,29
Amares,1552,2389,1312,19,19,24,...,...
Barcelos,9297,14187,7579,129,130,169,25,5
Braga,13386,20523,11589,264,271,350,62,14
Esposende,2771,4251,2329,40,40,50,19,4
Terras de Bouro,479,706,419,13,13,15,...,...
Vila Verde,4046,6216,3453,87,92,120,19,4
Ave,32584,48369,27139,576,588,767,133,29
Cabeceiras de Basto,1458,2219,1240,21,21,27,4,1
Fafe,3990,5777,3337,61,63,81,19,4
Guimarães,12007,17865,10049,217,224,292,39,9
Mondim de Basto,501,767,459,8,8,11,3,1
Póvoa de Lanhoso,1694,2594,1456,27,28,37,14,3
Vieira do Minho,815,1225,716,19,19,25,6,1
Vila Nova de Famalicão,9978,14831,8137,188,190,247,43,9
Vizela,2141,3091,1744,35,35,47,5,1
A. M. Porto,131854,190340,117123,2709,2772,3592,1103,244
Arouca,1754,2719,1496,30,31,40,8,2
Espinho,2165,3113,1965,27,27,36,21,5
Gondomar,13885,19819,12416,287,293,383,98,22
Maia,9667,13917,8275,221,225,296,89,20
Matosinhos,11789,16989,10705,272,277,362,102,22
Oliveira de Azeméis,4606,6678,3781,57,56,73,40,9
Paredes,8826,12597,7605,200,206,265,69,15
Porto,13645,20135,14108,343,346,448,185,41
Póvoa de Varzim,5405,8098,4690,94,99,127,52,12
Santa Maria da Feira,10712,15379,9024,159,162,202,45,10
Santo Tirso,4787,6759,3839,116,117,152,21,5
São João da Madeira,1650,2413,1433,13,13,17,12,3
Trofa,3064,4433,2609,56,57,75,20,4
Vale de Cambra,1302,1871,1062,18,18,23,18,4
Valongo,8275,11794,7353,163,170,221,72,16
Vila do Conde,6495,9494,5542,137,149,194,51,11
