,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,162119,75594,86525,12036982,2553370,9483612,364527,100795,263732
Continente,154004,71797,82207,11442680,2427219,9015461,347254,96218,251036
Norte,53650,25408,28242,3925786,866738,3059048,114629,31874,82756
Alto Minho,3087,1453,1634,224951,47321,177630,6160,1546,4614
Arcos de Valdevez,240,115,125,17656,3934,13722,422,111,311
Caminha,190,85,105,13656,2640,11016,383,89,295
Melgaço,52,20,32,3771,653,3118,90,16,74
Monção,169,72,97,11915,2257,9658,268,62,206
Paredes de Coura,108,51,57,7938,1983,5955,196,59,137
Ponte da Barca,146,68,78,10805,2159,8646,238,62,176
Ponte de Lima,619,287,332,47291,9781,37510,1299,336,963
Valença,178,87,91,12941,2395,10546,304,76,228
Viana do Castelo,1254,605,649,89122,19610,69512,2704,678,2026
Vila Nova de Cerveira,131,63,68,9856,1909,7947,254,56,198
Cávado,6618,3160,3458,486013,110886,375127,14520,4057,10463
Amares,265,125,140,19435,4549,14886,515,157,359
Barcelos,1722,834,888,125721,30479,95242,3318,960,2358
Braga,3233,1542,1691,235773,53046,182727,7894,2193,5701
Esposende,587,280,307,44437,9405,35032,1309,342,967
Terras de Bouro,71,35,36,5403,1229,4174,126,26,99
Vila Verde,740,344,396,55244,12178,43066,1358,379,979
Ave,6798,3314,3484,492416,117698,374718,13849,3980,9869
Cabeceiras de Basto,200,90,110,14245,2792,11453,319,77,242
Fafe,692,329,363,49804,11159,38645,1319,327,992
Guimarães,2700,1337,1363,197087,48215,148872,5600,1563,4037
Mondim de Basto,40,16,24,2583,514,2069,65,16,49
Póvoa de Lanhoso,294,143,151,21731,4864,16867,518,139,379
Vieira do Minho,136,64,72,10408,2137,8271,236,58,177
Vila Nova de Famalicão,2304,1122,1182,165362,40563,124799,5017,1591,3427
Vizela,432,213,219,31196,7454,23742,776,209,566
A. M. Porto,27138,12782,14356,1990830,434473,1556357,62273,17547,44726
Arouca,302,156,146,21726,5459,16267,584,178,406
Espinho,404,181,223,29776,5991,23785,896,219,677
Gondomar,2627,1207,1420,191958,40300,151658,5422,1474,3948
Maia,2113,1029,1084,151892,35894,115998,5041,1559,3482
Matosinhos,2571,1197,1374,190656,40412,150244,6927,1931,4997
Oliveira de Azeméis,1000,488,512,71304,17336,53968,2000,611,1389
Paredes,1471,679,792,109511,22456,87055,2656,727,1928
Porto,3339,1529,1810,251123,52886,198237,9940,2774,7166
Póvoa de Varzim,1014,470,544,74864,16037,58827,2146,572,1574
Santa Maria da Feira,2127,1032,1095,155972,35498,120474,4453,1238,3215
