,"Publicações, Total (N.º)","Publicações, das quais, Jornais (N.º)","Publicações, das quais, Revistas (N.º)","Publicações, das quais, Em suporte papel e eletrónico simultaneamente (N.º)","Edições, das quais, Em suporte papel e eletrónico simultaneamente (N.º)","Circulação total, Total, Em suporte papel e eletrónico simultaneamente (N.º)","Circulação total, da qual, Jornais (N.º)","Circulação total, da qual, Revistas (N.º)","Exemplares vendidos, Total, Revistas (N.º)","Exemplares vendidos, dos quais, Jornais (N.º)","Exemplares vendidos, dos quais, Revistas (N.º)"
Portugal,888,349,413,491,18264,142600711,86469716,51361266,108499801,75271812,30921767
Continente,835,328,399,455,15352,134908942,79119113,51052044,101281010,68180765,30801723
Norte,226,112,88,114,4932,30192760,19700473,8530913,22118872,16999429,3253817
Alto Minho,14,13,0,3,304,416672,411172,0,394212,394212,0
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0
Monção,1,1,0,0,…,…,…,0,…,…,0
Paredes de Coura,2,2,0,0,…,…,…,0,…,…,0
Ponte da Barca,1,1,0,0,…,…,…,0,…,…,0
Ponte de Lima,1,1,0,0,…,…,…,0,…,…,0
Valença,0,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,7,6,0,2,143,190160,184660,0,174766,174766,0
Vila Nova de Cerveira,2,2,0,1,…,…,…,0,…,…,0
Cávado,34,11,15,10,997,5057288,2524659,717380,3908188,1523105,592476
Amares,2,1,1,2,…,…,…,…,…,…,…
Barcelos,2,2,0,1,…,…,…,0,…,…,0
Braga,26,5,14,4,877,4780753,2278924,…,3660212,1290513,…
Esposende,2,2,0,2,…,…,…,0,…,…,0
Terras de Bouro,1,0,0,0,…,…,0,0,…,0,0
Vila Verde,1,1,0,1,…,…,…,0,…,…,0
Ave,20,13,4,11,408,480396,414904,…,297164,288482,…
Cabeceiras de Basto,2,2,0,0,…,…,…,0,…,…,0
Fafe,2,2,0,1,…,…,…,0,…,…,0
Guimarães,11,6,3,7,183,198744,140954,39540,118766,110086,8680
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,0,…,…,0,0,…,0,0
Vieira do Minho,1,1,0,0,…,…,…,0,…,…,0
Vila Nova de Famalicão,2,1,1,2,…,…,…,…,…,…,…
Vizela,1,1,0,1,…,…,…,0,…,…,0
A. M. Porto,124,46,67,76,2588,22823019,15003449,7763975,16680542,13990506,2651859
Arouca,3,3,0,3,48,40620,40620,0,35996,35996,0
Espinho,3,3,0,2,143,293346,293346,0,102956,102956,0
Gondomar,4,2,0,2,26,142075,…,0,36277,…,0
Maia,2,1,1,2,…,…,…,…,…,…,…
Matosinhos,7,2,5,4,40,797190,…,…,777705,…,…
Oliveira de Azeméis,4,2,2,0,35,158200,…,…,155700,…,…
Paredes,3,2,1,0,31,97000,…,…,58100,…,…
Porto,59,12,42,44,1690,20149094,13515509,6624185,14743460,13000551,1742909
Póvoa de Varzim,5,3,1,2,89,78660,…,…,73672,…,…
Santa Maria da Feira,3,2,1,1,39,27880,…,…,19900,…,…
Santo Tirso,5,4,1,1,53,60170,…,…,57805,…,…
São João da Madeira,4,2,0,2,107,219320,…,0,179500,…,0
Trofa,1,1,0,1,…,…,…,0,…,…,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0
Valongo,2,2,0,1,…,…,…,0,…,…,0
Vila do Conde,8,4,3,4,113,296750,209300,86850,178500,178500,0
Vila Nova de Gaia,11,1,10,7,97,260050,…,…,144405,…,…
Alto Tâmega,4,3,0,1,49,37300,34500,0,32338,32338,0
Boticas,1,1,0,0,…,…,…,0,…,…,0
Chaves,1,0,0,1,…,…,0,0,…,0,0
Montalegre,2,2,0,0,…,…,…,0,…,…,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,13,9,2,8,202,680727,614431,…,219940,184298,…
Amarante,0,0,0,0,0,0,0,0,0,0,0
Baião,1,1,0,1,…,…,…,0,…,…,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0
Cinfães,1,1,0,0,…,…,…,0,…,…,0
Felgueiras,2,1,0,2,…,…,…,0,…,…,0
Lousada,1,1,0,1,…,…,…,0,…,…,0
Marco de Canaveses,3,1,1,1,…,…,…,…,…,…,…
Paços de Ferreira,2,2,0,1,…,…,…,0,…,…,0
Penafiel,2,1,1,2,…,…,…,…,…,…,…
Resende,1,1,0,0,…,…,…,0,…,…,0
Douro,12,12,0,3,247,357500,357500,0,340080,340080,0
Alijó,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,1,0,1,…,…,…,0,…,…,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0
Lamego,3,3,0,0,65,57829,57829,0,55408,55408,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,1,1,0,0,…,…,…,0,…,…,0
Murça,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,2,2,0,1,…,…,…,0,…,…,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0
Tarouca,1,1,0,0,…,…,…,0,…,…,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,2,2,0,0,…,…,…,0,…,…,0
Vila Real,2,2,0,1,…,…,…,0,…,…,0
Terras de Trás-os-Montes,5,5,0,2,137,339858,339858,0,246408,246408,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0
Bragança,2,2,0,1,…,…,…,0,…,…,0
Macedo de Cavaleiros,2,2,0,0,…,…,…,0,…,…,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0
Mirandela,1,1,0,1,…,…,…,0,…,…,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0
