,"Despesas de capital, Total (Euros)","Despesas de capital, das quais , Património, Total (Euros)","Despesas de capital, das quais , Património, Museus (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Total (Euros)","Despesas de capital, das quais , Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas de capital, das quais , Artes do espetáculo, Total (Euros)","Despesas de capital, das quais , Artes do espetáculo, Música (Euros)","Despesas de capital, das quais , Artes do espetáculo, Multidisciplinares (Euros)","Despesas de capital, das quais , Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Total (Euros)","Despesas de capital, das quais , Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,94901232,43221905,14881188,7737127,3642699,27065934,435345,144358,24808710,11262246,7499157
Continente,91323707,42322400,14821466,7716514,3630045,26536713,331096,144358,24536319,9438953,5787680
Norte,35222292,14904963,5983775,4442265,1290225,12637142,159088,7479,12377447,1157242,1017278
Alto Minho,2501820,1059830,863106,156669,8994,141617,0,0,141617,356257,338044
Arcos de Valdevez,478585,225152,214616,135283,0,0,0,0,0,118150,118150
Caminha,0,0,0,0,0,0,0,0,0,0,0
Melgaço,728798,0,0,0,0,0,0,0,0,0,0
Monção,483459,445951,259763,1506,1506,0,0,0,0,0,0
Paredes de Coura,22021,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,268437,120344,120344,19880,7488,127587,0,0,127587,0,0
Valença,69671,51458,51458,0,0,0,0,0,0,18213,0
Viana do Castelo,424212,216925,216925,0,0,14030,0,0,14030,193257,193257
Vila Nova de Cerveira,26637,0,0,0,0,0,0,0,0,26637,26637
Cávado,1201309,462380,312380,715799,158272,22500,0,0,0,0,0
Amares,23000,23000,23000,0,0,0,0,0,0,0,0
Barcelos,22500,0,0,0,0,22500,0,0,0,0,0
Braga,0,0,0,0,0,0,0,0,0,0,0
Esposende,1155179,439380,289380,715799,158272,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,630,0,0,0,0,0,0,0,0,0,0
Ave,570185,124075,66466,150066,123362,59625,0,5577,54048,58764,47300
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0
Fafe,181505,0,0,0,0,5577,0,5577,0,0,0
Guimarães,87222,10000,10000,28195,17282,0,0,0,0,47300,47300
Mondim de Basto,301,301,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,126419,0,0,102227,102227,12728,0,0,12728,11464,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,174738,113774,56466,19644,3853,41320,0,0,41320,0,0
