,"Art facilities, Total, No.","Art facilities, Rooms, No.","Art facilities, Capacity, No.","Art facilities, Seats, No.","Live shows, Performances, No.","Live shows, Spectators, No.","Live shows, Tickets sold, No.","Live shows, Revenues, Euros"
Portugal,404,600,278782,208491,24469,3568229,1972465,27994277
Continente,378,558,260350,196331,23458,3452649,1922838,27561797
Norte,96,161,84033,55523,5701,1045447,578243,6589382
Alto Minho,9,12,6070,4537,557,63652,18657,115875
Arcos de Valdevez,1,1,234,232,29,3174,1374,8912
Caminha,1,1,132,132,37,7031,120,360
Melgaço,1,2,215,215,1,…,…,…
Monção,1,1,300,300,48,…,…,…
Paredes de Coura,1,2,649,504,5,1087,724,13660
Ponte da Barca,0,0,0,0,5,…,…,…
Ponte de Lima,1,1,305,305,162,11828,3770,24566
Valença,0,0,0,0,15,3282,0,0
Viana do Castelo,3,4,4235,2849,229,25044,11594,63692
Vila Nova de Cerveira,0,0,0,0,26,6313,0,0
Cávado,6,12,12902,5370,750,84130,27780,295377
Amares,0,0,0,0,1,…,…,…
Barcelos,2,4,461,461,84,…,…,…
Braga,2,6,12065,4533,647,75164,22274,274813
Esposende,1,1,226,226,16,…,…,…
Terras de Bouro,1,1,150,150,0,0,0,0
Vila Verde,0,0,0,0,2,…,…,…
Ave,8,12,12911,5927,628,64968,11535,82419
Cabeceiras de Basto,0,0,0,0,3,…,…,…
Fafe,2,3,3938,1674,42,5533,2133,10459
Guimarães,2,3,7901,3181,397,31564,8706,69880
Mondim de Basto,1,1,100,100,30,2040,0,0
Póvoa de Lanhoso,1,1,50,50,0,0,0,0
Vieira do Minho,1,1,254,254,0,0,0,0
Vila Nova de Famalicão,1,3,668,668,140,23444,696,2080
Vizela,0,0,0,0,16,…,…,…
A. M. Porto,40,74,34632,26407,3281,762827,503829,5986916
Arouca,1,1,204,204,43,…,…,…
Espinho,2,2,272,272,54,8930,4409,36546
Gondomar,2,3,10145,5725,62,13671,3900,76400
Maia,0,0,0,0,147,15039,2236,15032
Matosinhos,2,3,467,454,243,58522,40615,504158
Oliveira de Azeméis,1,1,300,280,20,1978,533,1676
Paredes,2,2,427,423,62,9328,0,0
Porto,16,37,15184,12049,1745,390363,278517,4374788
Póvoa de Varzim,2,5,1032,1032,58,9584,6049,58998
Santa Maria da Feira,2,4,2054,2054,98,97992,77882,552178
Santo Tirso,1,1,174,130,97,81419,56692,69869
São João da Madeira,1,2,1142,655,113,13844,4946,36113
Trofa,0,0,0,0,6,…,…,…
Vale de Cambra,1,2,302,302,2,…,…,…
Valongo,1,1,302,302,98,9138,1058,9155
Vila do Conde,2,6,1305,1203,49,4664,2864,23812
Vila Nova de Gaia,4,4,1322,1322,384,41147,23943,227701
Alto Tâmega,4,9,5208,3204,83,11992,0,0
Boticas,1,1,130,130,0,0,0,0
Chaves,1,6,4633,2631,72,10511,0,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,1,1,195,193,0,0,0,0
Valpaços,1,1,250,250,5,431,0,0
Vila Pouca de Aguiar,0,0,0,0,6,1050,0,0
Tâmega e Sousa,3,5,943,651,137,18584,257,1261
