,Total expenditures on sports activities and equipments (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Sports activities (Euros)","Current expenditures, of which, Sports associations (Euros)","Current expenditures, of which, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, Total, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, of which, Sports activities (Euros)","Capital expenditures, of which, Sports associations (Euros)","Capital expenditures, of which, Construction and maintenance of sports infrastructures (Euros)"
Portugal,323347186,233104825,86725711,65929750,40511880,90242361,3197377,11840714,35855066
Continente,312433969,225869035,84631136,62875284,40021548,86564934,3192739,11322475,34290028
Norte,111329610,81838709,33966667,25046260,7516002,29490901,1863638,4044131,11567568
Alto Minho,8634654,5188851,1683445,2132590,981057,3445803,17448,927223,237628
Arcos de Valdevez,1458344,1039119,183139,231287,479239,419225,0,90704,118330
Caminha,314800,314800,234800,80000,0,0,0,0,0
Melgaço,170815,170815,28000,142815,0,0,0,0,0
Monção,715293,496338,318893,103877,28891,218955,0,35812,0
Paredes de Coura,532950,240826,34828,81836,124162,292124,0,278611,13513
Ponte da Barca,113210,43650,43650,0,0,69560,0,0,69560
Ponte de Lima,2652619,746224,0,195831,348765,1906395,0,0,36225
Valença,646308,628860,223459,405401,0,17448,17448,0,0
Viana do Castelo,1692432,1171836,425251,746585,0,520596,0,520596,0
Vila Nova de Cerveira,337883,336383,191425,144958,0,1500,0,1500,0
Cávado,8369820,7214126,5561799,1340667,3295,1155694,14491,477935,147015
Amares,162892,162892,162892,0,0,0,0,0,0
Barcelos,2794768,1862001,1061676,614598,3295,932767,10446,406458,147015
Braga,3994282,3990237,3990237,0,0,4045,4045,0,0
Esposende,991387,843982,346994,496988,0,147405,0,0,0
Terras de Bouro,37875,37875,0,37875,0,0,0,0,0
Vila Verde,388616,317139,0,191206,0,71477,0,71477,0
Ave,13536899,10964110,5568362,3452758,1639591,2572789,1311824,932265,143136
Cabeceiras de Basto,103100,103100,24600,78500,0,0,0,0,0
Fafe,1577210,1411372,330288,640940,378890,165838,0,165838,0
Guimarães,4241216,2664597,1999654,654728,10215,1576619,1309919,0,92056
Mondim de Basto,77490,77490,33000,44490,0,0,0,0,0
Póvoa de Lanhoso,1004542,983421,42885,342670,552806,21121,0,4680,10792
Vieira do Minho,128150,128150,52150,76000,0,0,0,0,0
Vila Nova de Famalicão,5644076,4834865,3078428,870458,697680,809211,1905,761747,40288
Vizela,761115,761115,7357,744972,0,0,0,0,0
A. M. Porto,53018391,38335320,14410516,9688246,2527107,14683071,86315,893764,8145750
Arouca,1745692,1140728,104442,116296,667225,604964,0,0,7600
Espinho,1273756,74400,6150,68250,0,1199356,0,0,1199356
Gondomar,3616787,2801317,1180472,713875,75665,815470,0,0,435560
Maia,5490700,5490700,1743028,1566237,622294,0,0,0,0
Matosinhos,13998327,11303200,5708797,3293269,0,2695127,0,178371,500326
Oliveira de Azeméis,759804,562161,8995,533029,5380,197643,475,0,53316
Paredes,3998784,766465,300094,350470,82737,3232319,0,408345,2449434
Porto,8579474,7451558,1216269,0,0,1127916,0,0,1127916
Póvoa de Varzim,2521864,1846134,894231,712775,0,675730,0,0,0
Santa Maria da Feira,503090,417250,417250,0,0,85840,85840,0,0
Santo Tirso,421413,421413,264563,125600,15000,0,0,0,0
São João da Madeira,1390885,1221669,878976,342693,0,169216,0,0,0
Trofa,152969,119624,20750,62924,2005,33345,0,33345,0
Vale de Cambra,681695,671531,183234,73955,397563,10164,0,0,8575
Valongo,2712103,1042183,974148,0,68030,1669920,0,0,1644115
Vila do Conde,1173801,1173801,30000,930915,173393,0,0,0,0
Vila Nova de Gaia,3997247,1831186,479117,797958,417815,2166061,0,273703,719552
Alto Tâmega,6198131,4294721,1589828,1327478,486085,1903410,26184,210000,436474
Boticas,219500,219500,128000,23500,37000,0,0,0,0
Chaves,1319577,906332,256360,438597,210402,413245,26184,165000,10493
Montalegre,989061,752348,452348,300000,0,236713,0,45000,0
Ribeira de Pena,1613993,387775,10513,117330,230610,1226218,0,0,425981
