,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Portugal,321067,320833,0,182240,180636,724,0,290622,282707,861,0,4724
Continente,305533,305509,0,172747,171391,724,0,274701,267869,861,0,4129
Norte,104859,104851,0,60755,60459,211,0,98110,96885,300,0,572
Alto Minho,6684,6684,0,3859,3859,0,0,6155,6104,0,0,28
Arcos de Valdevez,529,529,0,270,270,0,0,492,492,0,0,0
Caminha,461,461,0,251,251,0,0,376,376,0,0,0
Melgaço,167,167,0,120,120,0,0,136,136,0,0,0
Monção,388,388,0,257,257,0,0,424,424,0,0,0
Paredes de Coura,234,234,0,144,144,0,0,230,230,0,0,0
Ponte da Barca,325,325,0,163,163,0,0,292,292,0,0,0
Ponte de Lima,1266,1266,0,736,736,0,0,1210,1186,0,0,16
Valença,432,432,0,231,231,0,0,354,342,0,0,12
Viana do Castelo,2596,2596,0,1526,1526,0,0,2351,2336,0,0,0
Vila Nova de Cerveira,286,286,0,161,161,0,0,290,290,0,0,0
Cávado,12622,12622,0,7118,7014,98,0,11653,11476,146,0,0
Amares,529,529,0,336,336,0,0,506,506,0,0,0
Barcelos,3625,3625,0,1935,1935,0,0,3112,3112,0,0,0
Braga,5575,5575,0,3256,3158,98,0,5473,5300,146,0,0
Esposende,1300,1300,0,670,670,0,0,1060,1060,0,0,0
Terras de Bouro,166,166,0,89,89,0,0,191,191,0,0,0
Vila Verde,1427,1427,0,832,826,0,0,1311,1307,0,0,0
Ave,12616,12616,0,7019,7015,0,0,11427,11404,0,0,12
Cabeceiras de Basto,512,512,0,282,282,0,0,520,520,0,0,0
Fafe,1389,1389,0,838,838,0,0,1296,1296,0,0,0
Guimarães,4614,4614,0,2491,2491,0,0,4187,4175,0,0,12
Mondim de Basto,170,170,0,108,108,0,0,170,170,0,0,0
Póvoa de Lanhoso,724,724,0,453,453,0,0,642,642,0,0,0
Vieira do Minho,311,311,0,179,179,0,0,294,294,0,0,0
Vila Nova de Famalicão,4100,4100,0,2205,2201,0,0,3582,3571,0,0,0
Vizela,796,796,0,463,463,0,0,736,736,0,0,0
A. M. Porto,50384,50376,0,29486,29310,113,0,47153,46405,154,0,385
Arouca,737,737,0,434,434,0,0,689,689,0,0,0
Espinho,1055,1055,0,747,747,0,0,1368,1341,0,0,16
Gondomar,4249,4249,0,2431,2431,0,0,3829,3817,0,0,0
Maia,4279,4279,0,2565,2565,0,0,3957,3939,0,0,18
Matosinhos,4898,4898,0,2836,2823,0,0,4643,4578,0,0,36
Oliveira de Azeméis,1872,1872,0,1057,1057,0,0,1637,1637,0,0,0
Paredes,2631,2631,0,1657,1657,0,0,2605,2589,0,0,16
Porto,5969,5961,0,3455,3314,113,0,5757,5368,154,0,128
Póvoa de Varzim,2122,2122,0,1395,1395,0,0,2211,2211,0,0,0
Santa Maria da Feira,3946,3946,0,2052,2052,0,0,3277,3213,0,0,64
Santo Tirso,1752,1752,0,1185,1185,0,0,1843,1829,0,0,14
São João da Madeira,1123,1123,0,669,669,0,0,1062,1062,0,0,0
Trofa,1077,1077,0,618,618,0,0,992,979,0,0,13
Vale de Cambra,657,657,0,354,354,0,0,546,546,0,0,0
Valongo,2716,2716,0,1640,1640,0,0,2795,2762,0,0,17
Vila do Conde,2592,2592,0,1441,1441,0,0,2249,2233,0,0,16
Vila Nova de Gaia,8709,8709,0,4950,4928,0,0,7693,7612,0,0,47
Alto Tâmega,1977,1977,0,1200,1200,0,0,1979,1956,0,0,11
Boticas,110,110,0,76,76,0,0,101,101,0,0,0
Chaves,918,918,0,602,602,0,0,961,949,0,0,0
Montalegre,195,195,0,93,93,0,0,192,192,0,0,0
Ribeira de Pena,174,174,0,77,77,0,0,172,172,0,0,0
Valpaços,318,318,0,177,177,0,0,327,327,0,0,0
Vila Pouca de Aguiar,262,262,0,175,175,0,0,226,215,0,0,11
Tâmega e Sousa,13011,13011,0,7531,7521,0,0,12487,12377,0,0,75
Amarante,1510,1510,0,654,654,0,0,1037,1037,0,0,0
Baião,500,500,0,272,272,0,0,483,483,0,0,0
Castelo de Paiva,528,528,0,312,312,0,0,537,537,0,0,0
Celorico de Basto,495,495,0,261,261,0,0,478,470,0,0,8
Cinfães,547,547,0,298,298,0,0,484,484,0,0,0
Felgueiras,1723,1723,0,1077,1077,0,0,1893,1893,0,0,0
Lousada,1563,1563,0,913,913,0,0,1481,1449,0,0,32
Marco de Canaveses,1668,1668,0,1054,1044,0,0,1667,1615,0,0,26
Paços de Ferreira,1841,1841,0,1159,1159,0,0,1859,1859,0,0,0
Penafiel,2345,2345,0,1352,1352,0,0,2264,2255,0,0,9
Resende,291,291,0,179,179,0,0,304,295,0,0,0
Douro,5038,5038,0,2980,2980,0,0,4806,4779,0,0,18
Alijó,238,238,0,143,143,0,0,248,248,0,0,0
Armamar,141,141,0,83,83,0,0,131,131,0,0,0
Carrazeda de Ansiães,143,143,0,73,73,0,0,135,135,0,0,0
Freixo de Espada à Cinta,94,94,0,49,49,0,0,77,68,0,0,0
Lamego,656,656,0,377,377,0,0,662,662,0,0,0
Mesão Frio,106,106,0,80,80,0,0,119,119,0,0,0
Moimenta da Beira,269,269,0,169,169,0,0,253,244,0,0,9
Murça,147,147,0,70,70,0,0,121,121,0,0,0
Penedono,61,61,0,38,38,0,0,86,86,0,0,0
Peso da Régua,482,482,0,281,281,0,0,425,425,0,0,0
Sabrosa,131,131,0,77,77,0,0,146,146,0,0,0
Santa Marta de Penaguião,148,148,0,73,73,0,0,90,90,0,0,0
São João da Pesqueira,192,192,0,127,127,0,0,187,187,0,0,0
Sernancelhe,126,126,0,63,63,0,0,107,107,0,0,0
Tabuaço,111,111,0,53,53,0,0,125,116,0,0,9
Tarouca,233,233,0,143,143,0,0,215,215,0,0,0
Torre de Moncorvo,143,143,0,88,88,0,0,114,114,0,0,0
Vila Nova de Foz Côa,139,139,0,78,78,0,0,135,135,0,0,0
Vila Real,1478,1478,0,915,915,0,0,1430,1430,0,0,0
Terras de Trás-os-Montes,2527,2527,0,1562,1560,0,0,2450,2384,0,0,43
Alfândega da Fé,109,109,0,48,48,0,0,86,86,0,0,0
Bragança,820,820,0,579,579,0,0,878,878,0,0,0
Macedo de Cavaleiros,331,331,0,183,182,0,0,330,316,0,0,0
Miranda do Douro,151,151,0,83,83,0,0,144,144,0,0,0
Mirandela,583,583,0,364,364,0,0,542,499,0,0,43
Mogadouro,175,175,0,105,105,0,0,149,149,0,0,0
Vila Flor,148,148,0,80,80,0,0,138,138,0,0,0
Vimioso,66,66,0,45,45,0,0,58,58,0,0,0
Vinhais,144,144,0,75,74,0,0,125,116,0,0,0
Centro,67512,67511,0,36140,36045,61,0,57666,56783,91,0,603
Oeste,12229,12229,0,6333,6328,0,0,9411,9285,0,0,112
Alcobaça,1662,1662,0,1020,1020,0,0,1156,1127,0,0,29
Alenquer,1545,1545,0,901,896,0,0,1320,1287,0,0,19
Arruda dos Vinhos,646,646,0,70,70,0,0,0,0,0,0,0
Bombarral,383,383,0,228,228,0,0,376,376,0,0,0
Cadaval,385,385,0,206,206,0,0,338,326,0,0,12
Caldas da Rainha,1626,1626,0,911,911,0,0,1586,1572,0,0,14
Lourinhã,975,975,0,490,490,0,0,776,761,0,0,15
Nazaré,478,478,0,249,249,0,0,333,333,0,0,0
Óbidos,422,422,0,216,216,0,0,300,277,0,0,23
Peniche,963,963,0,575,575,0,0,843,843,0,0,0
Sobral de Monte Agraço,387,387,0,257,257,0,0,360,360,0,0,0
Torres Vedras,2757,2757,0,1210,1210,0,0,2023,2023,0,0,0
Região de Aveiro,12126,12126,0,6470,6464,0,0,10132,9972,0,0,126
Águeda,1533,1533,0,752,752,0,0,1290,1258,0,0,32
Albergaria-a-Velha,783,783,0,402,402,0,0,677,677,0,0,0
Anadia,778,778,0,391,391,0,0,604,589,0,0,15
Aveiro,2913,2913,0,1730,1730,0,0,2519,2505,0,0,14
Estarreja,875,875,0,494,488,0,0,847,798,0,0,15
Ílhavo,1318,1318,0,674,674,0,0,999,986,0,0,13
Murtosa,344,344,0,211,211,0,0,336,336,0,0,0
Oliveira do Bairro,857,857,0,451,451,0,0,693,693,0,0,0
Ovar,1663,1663,0,970,970,0,0,1434,1425,0,0,9
Sever do Vouga,323,323,0,153,153,0,0,272,272,0,0,0
Vagos,739,739,0,242,242,0,0,461,433,0,0,28
Região de Coimbra,12082,12082,0,6849,6840,0,0,11072,10957,0,0,82
Arganil,315,315,0,180,180,0,0,243,243,0,0,0
Cantanhede,1058,1058,0,496,496,0,0,869,845,0,0,10
Coimbra,3766,3766,0,2183,2176,0,0,3642,3607,0,0,16
Condeixa-a-Nova,458,458,0,326,326,0,0,505,505,0,0,0
Figueira da Foz,1625,1625,0,1021,1019,0,0,1583,1583,0,0,0
Góis,85,85,0,38,38,0,0,72,72,0,0,0
Lousã,519,519,0,334,334,0,0,522,522,0,0,0
Mealhada,520,520,0,336,336,0,0,553,553,0,0,0
Mira,368,368,0,209,209,0,0,287,287,0,0,0
Miranda do Corvo,331,331,0,176,176,0,0,347,326,0,0,21
Montemor-o-Velho,648,648,0,344,344,0,0,508,508,0,0,0
Mortágua,232,232,0,128,128,0,0,202,202,0,0,0
Oliveira do Hospital,618,618,0,304,304,0,0,519,497,0,0,22
Pampilhosa da Serra,97,97,0,41,41,0,0,63,63,0,0,0
Penacova,304,304,0,166,166,0,0,278,278,0,0,0
Penela,131,131,0,81,81,0,0,100,100,0,0,0
Soure,480,480,0,168,168,0,0,297,297,0,0,0
Tábua,311,311,0,172,172,0,0,297,284,0,0,13
Vila Nova de Poiares,216,216,0,146,146,0,0,185,185,0,0,0
