,"Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário, 3º Ciclo, das quais, Ensino recorrente (N.º)","Ensino secundário, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,14956,102,7741,6727,43679,3887,19964,18858
Continente,13978,95,7513,6214,41670,3789,18998,18383
Norte,5490,0,2531,2922,13948,1007,5432,7411
Alto Minho,240,0,86,153,660,0,224,434
Arcos de Valdevez,19,0,0,19,111,0,67,44
Caminha,13,0,0,13,26,0,0,26
Melgaço,0,0,0,0,0,0,0,0
Monção,14,0,0,14,51,0,13,38
Paredes de Coura,14,0,14,0,3,0,3,0
Ponte da Barca,28,0,0,28,30,0,0,30
Ponte de Lima,29,0,0,28,117,0,21,96
Valença,4,0,0,4,24,0,0,24
Viana do Castelo,119,0,72,47,298,0,120,176
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,447,0,160,285,1425,154,543,725
Amares,0,0,0,0,6,0,0,5
Barcelos,109,0,52,57,370,0,151,218
Braga,223,0,108,113,802,154,301,346
Esposende,17,0,0,17,88,0,46,42
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,98,0,0,98,159,0,45,114
Ave,392,0,151,239,1155,0,588,561
Cabeceiras de Basto,29,0,0,29,58,0,0,58
Fafe,59,0,20,39,125,0,24,101
Guimarães,121,0,71,48,315,0,188,121
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,33,0,18,15,47,0,15,32
Vieira do Minho,0,0,0,0,12,0,12,0
Vila Nova de Famalicão,108,0,42,66,399,0,263,136
