,"Ensino básico público, 3º Ciclo, Total (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino secundário público, 3º Ciclo, das quais, Ensino recorrente  (N.º)","Ensino secundário público, 3º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino secundário público, 3º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,11244,7,6665,4196,32619,2216,18049,11401
Continente,10276,0,6437,3693,30618,2118,17083,10934
Norte,3047,0,1740,1274,7685,536,4128,2932
Alto Minho,72,0,52,20,289,0,151,136
Arcos de Valdevez,0,0,0,0,10,0,10,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,13,0,13,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,8,0,8,0
Valença,4,0,0,4,24,0,0,24
Viana do Castelo,68,0,52,16,234,0,120,112
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,234,0,117,115,668,90,332,244
Amares,0,0,0,0,6,0,0,5
Barcelos,52,0,52,0,59,0,59,0
Braga,165,0,65,98,497,90,209,197
Esposende,17,0,0,17,73,0,31,42
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,33,0,33,0
Ave,207,0,78,127,815,0,527,282
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,8,0,8,0
Guimarães,67,0,36,29,254,0,177,71
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,15,0,0,15,32,0,0,32
Vieira do Minho,0,0,0,0,12,0,12,0
Vila Nova de Famalicão,108,0,42,66,399,0,263,136
Vizela,17,0,0,17,110,0,67,43
A. M. Porto,1786,0,1099,662,4032,279,2318,1379
Arouca,11,0,11,0,0,0,0,0
Espinho,0,0,0,0,10,0,10,0
Gondomar,111,0,22,89,288,104,48,135
Maia,87,0,46,40,144,0,82,61
Matosinhos,289,0,251,28,417,6,305,92
Oliveira de Azeméis,55,0,40,15,125,0,77,48
Paredes,63,0,35,28,75,0,13,62
Porto,278,0,215,63,903,0,600,273
Póvoa de Varzim,106,0,0,106,261,31,45,183
Santa Maria da Feira,210,0,117,92,596,36,461,98
Santo Tirso,60,0,11,39,111,0,57,54
São João da Madeira,69,0,35,34,230,4,88,135
Trofa,32,0,8,24,73,0,43,28
Vale de Cambra,10,0,10,0,19,0,19,0
Valongo,55,0,55,0,61,0,61,0
Vila do Conde,18,0,7,11,63,0,38,25
Vila Nova de Gaia,332,0,236,93,656,98,371,185
Alto Tâmega,115,0,68,47,337,14,179,143
Boticas,0,0,0,0,0,0,0,0
Chaves,53,0,27,26,179,14,120,44
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,38,0,28,10,77,0,32,45
Vila Pouca de Aguiar,24,0,13,11,81,0,27,54
Tâmega e Sousa,434,0,247,186,910,70,375,447
Amarante,46,0,35,11,87,0,34,41
Baião,0,0,0,0,15,0,15,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,20,0,0,20,38,0,0,38
Cinfães,14,0,0,14,45,0,15,30
Felgueiras,38,0,4,34,224,70,38,115
Lousada,49,0,15,34,166,0,79,87
Marco de Canaveses,30,0,6,24,97,0,57,39
Paços de Ferreira,111,0,111,0,81,0,81,0
Penafiel,126,0,76,49,148,0,47,97
Resende,0,0,0,0,9,0,9,0
Douro,143,0,41,100,357,83,28,244
Alijó,19,0,0,19,28,0,0,28
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,49,0,25,24,103,0,28,74
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,20,0,0,20,40,0,0,40
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,19,0,0,19,59,0,0,59
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,8,0,8,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,28,0,8,18,127,83,0,43
Terras de Trás-os-Montes,56,0,38,17,277,0,218,57
Alfândega da Fé,0,0,0,0,5,0,5,0
Bragança,14,0,10,3,148,0,123,25
Macedo de Cavaleiros,10,0,10,0,41,0,41,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,32,0,18,14,76,0,42,32
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,7,0,7,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,2209,0,1416,783,6770,433,3763,2458
Oeste,372,0,223,149,1084,56,608,387
Alcobaça,50,0,32,18,166,0,142,24
Alenquer,39,0,22,17,213,56,115,42
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,33,0,20,13,79,0,27,47
Cadaval,11,0,0,11,50,0,24,26
Caldas da Rainha,102,0,74,28,256,0,144,98
Lourinhã,21,0,0,21,109,0,48,50
Nazaré,37,0,37,0,38,0,38,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,31,0,21,10,65,0,41,24
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,48,0,17,31,108,0,29,76
Região de Aveiro,415,0,292,119,1127,0,637,467
Águeda,105,0,72,31,366,0,197,159
Albergaria-a-Velha,4,0,0,4,46,0,22,24
Anadia,15,0,0,15,74,0,12,62
Aveiro,138,0,116,20,343,0,238,100
Estarreja,19,0,13,6,77,0,61,16
Ílhavo,31,0,18,13,75,0,52,16
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,52,0,52,0,45,0,45,0
Sever do Vouga,19,0,0,19,76,0,0,76
Vagos,32,0,21,11,25,0,10,14
Região de Coimbra,364,0,273,90,1260,84,826,333
Arganil,25,0,13,12,146,0,59,87
Cantanhede,12,0,7,5,90,0,41,49
Coimbra,192,0,134,57,605,84,377,127
Condeixa-a-Nova,0,0,0,0,11,0,11,0
Figueira da Foz,51,0,51,0,118,0,118,0
Góis,0,0,0,0,0,0,0,0
Lousã,12,0,12,0,15,0,15,0
Mealhada,12,0,12,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,41,0,36,5,142,0,110,32
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,11,0,0,11,80,0,42,38
Tábua,8,0,8,0,18,0,18,0
Vila Nova de Poiares,0,0,0,0,35,0,35,0
Região de Leiria,211,0,131,80,760,0,493,259
Alvaiázere,0,0,0,0,11,0,11,0
Ansião,0,0,0,0,20,0,20,0
Batalha,19,0,0,19,75,0,29,46
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,18,0,18,0
Leiria,116,0,81,35,360,0,212,145
Marinha Grande,51,0,39,12,147,0,99,46
Pedrógão Grande,11,0,11,0,0,0,0,0
Pombal,14,0,0,14,129,0,104,22
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,307,0,150,154,1050,280,389,377
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,17,0,17,0
Castro Daire,39,0,17,22,63,0,16,47
Mangualde,46,0,28,18,256,188,33,35
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,12,0,12,0,19,0,19,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,12,0,12,0
São Pedro do Sul,45,0,7,38,74,0,24,49
Sátão,0,0,0,0,0,0,0,0
Tondela,35,0,35,0,32,0,32,0
Vila Nova de Paiva,0,0,0,0,11,0,11,0
Viseu,130,0,51,76,566,92,225,246
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,51,0,38,13,198,0,111,87
Castelo Branco,50,0,38,12,175,0,111,64
Idanha-a-Nova,1,0,0,1,23,0,0,23
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,291,0,143,147,916,0,439,454
Abrantes,72,0,36,36,167,0,63,104
Alcanena,19,0,0,18,82,0,19,61
Constância,0,0,0,0,0,0,0,0
Entroncamento,0,0,0,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,41,0,15,26,80,0,25,40
Sardoal,0,0,0,0,0,0,0,0
Sertã,1,0,0,1,76,0,61,15
Tomar,123,0,57,66,435,0,195,234
Torres Novas,35,0,35,0,76,0,76,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,198,0,166,31,375,13,260,94
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,64,0,47,16,173,0,102,63
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,11,0,11,0,12,0,12,0
Fundão,15,0,0,15,61,0,30,31
Gouveia,0,0,0,0,7,0,7,0
Guarda,108,0,108,0,93,13,80,0
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,15,0,15,0
Sabugal,0,0,0,0,0,0,0,0
Seia,0,0,0,0,14,0,14,0
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,3863,0,2631,1168,12261,1052,6751,4231
Alcochete,0,0,0,0,131,68,63,0
Almada,67,0,39,28,483,158,131,194
Amadora,444,0,365,79,1172,0,647,520
Barreiro,150,0,101,49,321,0,224,92
Cascais,215,0,148,67,611,16,366,229
Lisboa,736,0,472,232,2614,425,1188,894
Loures,166,0,137,29,304,23,225,56
Mafra,41,0,25,15,184,0,149,28
Moita,149,0,110,38,283,61,138,76
Montijo,53,0,34,16,175,0,122,47
Odivelas,187,0,80,97,516,32,273,196
Oeiras,100,0,41,46,280,0,122,137
Palmela,0,0,0,0,0,0,0,0
Seixal,606,0,353,253,1258,84,778,391
Sesimbra,2,0,0,2,117,0,66,51
Setúbal,229,0,176,50,1010,43,692,246
Sintra,436,0,332,103,1872,142,927,786
Vila Franca de Xira,282,0,218,64,930,0,640,288
Alentejo,839,0,511,290,2318,46,1457,781
Alentejo Litoral,114,0,68,43,282,8,201,69
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,21,0,13,5,61,0,45,14
Odemira,4,0,4,0,21,0,21,0
Santiago do Cacém,60,0,30,30,170,8,128,32
Sines,29,0,21,8,30,0,7,23
Baixo Alentejo,176,0,99,76,497,5,274,215
Aljustrel,25,0,0,25,56,0,0,56
Almodôvar,22,0,0,22,77,0,25,52
Alvito,0,0,0,0,0,0,0,0
Barrancos,11,0,11,0,15,0,15,0
Beja,61,0,54,6,219,0,159,57
Castro Verde,0,0,0,0,6,0,6,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,5,0,5,0,26,0,26,0
Mértola,11,0,0,11,13,0,0,13
Moura,16,0,4,12,70,0,33,37
Ourique,0,0,0,0,0,0,0,0
Serpa,15,0,15,0,5,5,0,0
Vidigueira,10,0,10,0,10,0,10,0
Lezíria do Tejo,342,0,252,58,803,0,550,241
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,94,0,30,35,189,0,70,115
Benavente,17,0,17,0,28,0,28,0
Cartaxo,5,0,0,5,23,0,13,10
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,37,0,20,14,51,0,44,5
Salvaterra de Magos,26,0,26,0,71,0,71,0
Santarém,163,0,159,4,441,0,324,111
Alto Alentejo,68,0,47,20,299,33,182,73
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,3,0,3,0
Campo Maior,0,0,0,0,0,0,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,19,0,15,4,116,11,61,42
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,1,0,0,1,24,22,0,0
Portalegre,48,0,32,15,156,0,118,31
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,139,0,45,93,437,0,250,183
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,2,0,0,2,8,0,6,2
Borba,0,0,0,0,0,0,0,0
Estremoz,12,0,0,12,19,0,16,2
Évora,92,0,31,61,250,0,156,92
Montemor-o-Novo,16,0,14,2,38,0,19,19
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,21,0,21,0
Vendas Novas,3,0,0,3,38,0,24,14
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,14,0,0,13,63,0,8,54
Algarve,318,0,139,178,1584,51,984,532
Albufeira,29,0,15,14,134,0,80,54
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,56,0,44,12,201,0,145,53
Lagoa,0,0,0,0,0,0,0,0
Lagos,15,0,0,14,135,0,104,25
Loulé,28,0,13,15,246,44,153,46
Monchique,0,0,0,0,0,0,0,0
Olhão,43,0,18,25,172,0,128,41
Portimão,81,0,16,65,341,7,173,161
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,26,0,18,8,124,0,63,60
Tavira,0,0,0,0,71,0,71,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,40,0,15,25,160,0,67,92
R. A. Açores,437,7,27,403,550,98,83,369
Santa Maria,6,0,0,6,12,0,0,12
Vila do Porto,6,0,0,6,12,0,0,12
São Miguel,282,0,16,266,236,0,24,212
Lagoa (R.A.A.),33,0,0,33,22,0,0,22
Nordeste,1,0,0,1,3,0,0,3
Ponta Delgada,173,0,16,157,141,0,0,141
Povoação,15,0,0,15,3,0,0,3
Ribeira Grande,44,0,0,44,56,0,24,32
Vila Franca do Campo,16,0,0,16,11,0,0,11
Terceira,105,7,10,88,230,98,53,79
Angra do Heroísmo,71,0,10,61,99,0,53,46
Vila da Praia da Vitória,34,7,0,27,131,98,0,33
Graciosa,0,0,0,0,9,0,0,9
Santa Cruz da Graciosa,0,0,0,0,9,0,0,9
São Jorge,0,0,0,0,11,0,0,11
Calheta (R.A.A.),0,0,0,0,2,0,0,2
Velas,0,0,0,0,9,0,0,9
Pico,27,0,0,27,14,0,0,14
Lajes do Pico,9,0,0,9,3,0,0,3
Madalena,9,0,0,9,5,0,0,5
São Roque do Pico,9,0,0,9,6,0,0,6
Faial,14,0,1,13,26,0,6,20
Horta,14,0,1,13,26,0,6,20
Flores,3,0,0,3,11,0,0,11
Lajes das Flores,1,0,0,1,2,0,0,2
Santa Cruz das Flores,2,0,0,2,9,0,0,9
Corvo,0,0,0,0,1,0,0,1
Corvo,0,0,0,0,1,0,0,1
R. A. Madeira,531,0,201,100,1451,0,883,98
Calheta (R.A.M.),0,0,0,0,76,0,32,0
Câmara de Lobos,28,0,28,0,101,0,82,0
Funchal,447,0,117,100,992,0,563,98
Machico,26,0,26,0,62,0,62,0
Ponta do Sol,0,0,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,0,0,0,0,104,0,28,0
Santa Cruz,20,0,20,0,97,0,97,0
Santana,3,0,3,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,7,0,7,0,19,0,19,0
