,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Portugal,17064,9919,7145,30986,27491,3495,23554,21215,2339
Continente,15871,9052,6819,28500,25306,3194,21764,19505,2259
Norte,5673,3590,2083,10214,9325,889,7912,7224,688
Alto Minho,337,253,84,608,594,14,571,552,19
Arcos de Valdevez,22,13,9,47,47,0,45,45,0
Caminha,26,20,6,47,47,0,41,41,0
Melgaço,9,7,2,16,16,0,11,11,0
Monção,21,17,4,37,37,0,33,33,0
Paredes de Coura,13,7,6,16,16,0,23,23,0
Ponte da Barca,13,10,3,20,20,0,22,22,0
Ponte de Lima,62,58,4,109,109,0,104,104,0
Valença,18,18,0,40,40,0,40,40,0
Viana do Castelo,141,93,48,246,232,14,237,218,19
Vila Nova de Cerveira,12,10,2,30,30,0,15,15,0
Cávado,697,452,245,1291,1173,118,914,807,107
Amares,22,20,2,45,45,0,37,37,0
Barcelos,185,153,32,343,329,14,237,220,17
Braga,350,174,176,613,516,97,450,360,90
Esposende,57,36,21,117,117,0,73,73,0
Terras de Bouro,11,9,2,16,16,0,13,13,0
Vila Verde,72,60,12,157,150,7,104,104,0
Ave,610,360,250,1109,1061,48,842,798,44
Cabeceiras de Basto,23,19,4,50,50,0,36,36,0
Fafe,81,49,32,135,127,8,123,113,10
Guimarães,225,115,110,401,381,20,314,296,18
Mondim de Basto,9,6,3,19,19,0,17,17,0
Póvoa de Lanhoso,31,26,5,61,61,0,55,55,0
Vieira do Minho,14,13,1,24,24,0,26,26,0
Vila Nova de Famalicão,193,103,90,356,336,20,221,205,16
Vizela,34,29,5,63,63,0,50,50,0
A. M. Porto,2732,1500,1232,4588,3968,620,3630,3176,454
Arouca,29,23,6,63,63,0,45,45,0
Espinho,53,42,11,71,71,0,84,78,6
