,"Taxa de escolarização no ensino superior (alunas/os com idade entre 18 e 22 anos) , %, 2021/2022","Proporção de inscritas/os em áreas C&T no ensino superior , %, 2021/2022","Proporção de mulheres no ensino superior , Alunas inscritas, %, 2021/2022","Proporção de mulheres no ensino superior , Alunas diplomadas , %, 2020/2021","Diplomadas/os do ensino superior por 1 000 habitantes , Alunas diplomadas , N.º, 2020/2021"
Portugal,41.4,29.1,54,58.5,81.8
Continente,42.9,29.2,53.9,58.5,85.4
Norte,40.4,30.8,54,57.7,77.7
Alto Minho,28.8,27.9,49.5,55.7,44.2
Arcos de Valdevez,0,//,//,//,0
Caminha,0,//,//,//,0
Melgaço,88.2,0,22.3,30.4,119.5
Monção,0,//,//,//,0
Paredes de Coura,0,//,//,//,0
Ponte da Barca,0,//,//,//,0
Ponte de Lima,15.4,22.6,55.1,57.6,26.8
Valença,60,0,62.5,68,72.7
Viana do Castelo,52.3,36.6,49.5,56.9,82.9
Vila Nova de Cerveira,0,//,//,52.4,21
Cávado,61.2,41.7,52.9,56.6,129.6
Amares,20.4,0,76.3,67.5,33.4
Barcelos,28.9,23.7,51.4,52,56.3
Braga,113.5,45.5,52.9,57.2,256.8
Esposende,0,//,//,//,0
Terras de Bouro,0,//,//,//,0
Vila Verde,0,//,//,//,0
Ave,6.3,12,60.1,58.1,11.4
Cabeceiras de Basto,0,//,//,//,0
Fafe,11.8,10.1,54.3,50.3,33.8
Guimarães,0,//,//,//,0
Mondim de Basto,0,//,//,//,0
Póvoa de Lanhoso,0,//,//,//,0
Vieira do Minho,0,//,//,//,0
Vila Nova de Famalicão,15.3,12.7,62.1,62,24.1
Vizela,0,//,//,//,0
A. M. Porto,50.4,28.7,54.6,58.4,103.7
Arouca,0,//,//,//,0
Espinho,0,//,//,//,0
Gondomar,0,//,//,//,0
Maia,43.9,6.8,42.5,44.9,86.4
Matosinhos,38.4,1.2,62.4,71.2,68.9
Oliveira de Azeméis,13.4,28.8,54.5,42.9,22.3
Paredes,22.6,10.7,66.9,68.7,66.9
Porto,293.5,35.2,53.8,57.7,703.7
Póvoa de Varzim,0,//,//,//,0
Santa Maria da Feira,2.5,19.7,50.8,47.3,9.5
Santo Tirso,0,//,//,//,0
São João da Madeira,0,//,//,//,0
Trofa,0,//,//,//,0
Vale de Cambra,0,//,//,//,0
Valongo,0,//,//,//,0
Vila do Conde,29.5,8.3,55.3,61,38.7
Vila Nova de Gaia,19.8,15.8,63,65.7,35.7
Alto Tâmega,4.1,0,77.2,74.5,6.1
Boticas,0,//,//,//,0
Chaves,8.6,0,77.2,74.5,13.6
Montalegre,0,//,//,//,0
Ribeira de Pena,0,//,//,//,0
Valpaços,0,//,//,//,0
Vila Pouca de Aguiar,0,//,//,//,0
Tâmega e Sousa,5.6,30.8,44.9,47.4,7.6
Amarante,0,//,//,//,0
Baião,0,//,//,//,0
Castelo de Paiva,0,//,//,//,0
Celorico de Basto,0,//,//,//,0
Cinfães,0,//,//,//,0
Felgueiras,30.3,39.8,39.8,51.6,42.1
Lousada,0,//,//,//,0
Marco de Canaveses,0,//,//,//,0
Paços de Ferreira,0,//,//,//,0
Penafiel,8.7,0,62.6,32.6,9.9
Resende,0,//,//,//,0
Douro,53.6,31.2,55.4,56.9,80.9
Alijó,0,//,//,//,0
Armamar,0,//,//,//,0
Carrazeda de Ansiães,0,//,//,//,0
Freixo de Espada à Cinta,0,//,//,//,0
Lamego,27.9,13.8,62.9,62.6,49.1
Mesão Frio,0,//,//,//,0
Moimenta da Beira,0,//,//,//,0
Murça,0,//,//,//,0
Penedono,0,//,//,//,0
Peso da Régua,0,//,//,//,0
Sabrosa,0,//,//,//,0
Santa Marta de Penaguião,0,//,//,//,0
São João da Pesqueira,0,//,//,//,0
Sernancelhe,0,//,//,//,0
Tabuaço,0,//,//,//,0
Tarouca,0,//,//,//,0
Torre de Moncorvo,0,//,//,//,0
Vila Nova de Foz Côa,0,//,//,//,0
Vila Real,170.8,32.4,54.9,56.4,296.9
Terras de Trás-os-Montes,116.2,26.7,53,58,177
Alfândega da Fé,0,//,//,//,0
Bragança,239.7,31.3,53.2,58.5,471.6
Macedo de Cavaleiros,0,//,//,//,0
Miranda do Douro,0,//,//,//,0
Mirandela,117.2,7.3,52.3,55.2,121.9
Mogadouro,0,//,//,//,0
Vila Flor,0,//,//,//,0
Vimioso,0,//,//,//,0
Vinhais,0,//,//,//,0
Centro,46,32.1,53.9,59.5,83.9
Oeste,11.7,12.3,61.5,64.6,19.8
Alcobaça,0,//,//,//,0
Alenquer,0,//,//,//,0
Arruda dos Vinhos,0,//,//,//,0
Bombarral,0,//,//,//,0
Cadaval,0,//,//,//,0
Caldas da Rainha,41.8,0,60.6,60,71.7
Lourinhã,0,//,//,//,0
Nazaré,0,//,//,//,0
Óbidos,0,//,//,//,0
Peniche,86.4,25.8,62.6,69.8,137
Sobral de Monte Agraço,0,//,//,//,0
Torres Vedras,0,//,//,//,0
Região de Aveiro,41.7,49.3,52.7,56.3,84.8
Águeda,26.1,47.4,36.1,40.4,44
Albergaria-a-Velha,0,//,//,//,0
Anadia,0,//,//,//,0
Aveiro,173.3,49.4,53.8,57.4,373
Estarreja,0,//,//,//,0
Ílhavo,0,//,//,//,0
Murtosa,0,//,//,//,0
Oliveira do Bairro,0,//,//,//,0
Ovar,0,//,//,//,0
Sever do Vouga,0,//,//,//,0
Vagos,0,//,//,//,0
Região de Coimbra,101.3,29.2,56,61.4,203.3
Arganil,0,//,//,//,0
Cantanhede,0,//,//,//,0
Coimbra,298,29.2,56.3,61.8,699.3
Condeixa-a-Nova,0,//,//,//,0
Figueira da Foz,0,//,//,//,0
Góis,0,//,//,//,0
Lousã,0,//,//,//,0
Mealhada,0,//,//,//,0
Mira,0,//,//,//,0
Miranda do Corvo,0,//,//,//,0
Montemor-o-Velho,0,//,//,//,0
Mortágua,0,//,//,//,0
Oliveira do Hospital,45.3,31.5,43.8,40.8,65.4
Pampilhosa da Serra,0,//,//,//,0
Penacova,0,//,//,//,0
Penela,0,//,//,//,0
Soure,0,//,//,//,0
Tábua,0,//,//,//,0
Vila Nova de Poiares,0,//,//,//,0
Região de Leiria,40.7,35.3,48.6,56.1,64.1
Alvaiázere,0,//,//,//,0
Ansião,0,//,//,//,0
Batalha,0,//,//,//,0
Castanheira de Pêra,0,//,//,//,0
Figueiró dos Vinhos,0,//,//,//,0
Leiria,84.5,35.4,48.6,56.4,142
Marinha Grande,11.2,34,46.9,30.8,6.5
Pedrógão Grande,0,//,//,//,0
Pombal,0,//,//,//,0
Porto de Mós,0,//,//,//,0
Viseu Dão Lafões,27.8,22.1,53.5,59.8,41
Aguiar da Beira,0,//,//,//,0
Carregal do Sal,0,//,//,//,0
Castro Daire,0,//,//,//,0
Mangualde,0,//,//,//,0
Nelas,0,//,//,//,0
Oliveira de Frades,0,//,//,//,0
Penalva do Castelo,0,//,//,//,0
Santa Comba Dão,0,//,//,//,0
São Pedro do Sul,0,//,//,//,0
Sátão,0,//,//,//,0
Tondela,0,//,//,//,0
Vila Nova de Paiva,0,//,//,//,0
Viseu,67.3,22.1,53.5,59.8,105.6
Vouzela,0,//,//,//,0
Beira Baixa,81.1,21.4,55.3,61.4,116.7
Castelo Branco,101.4,24.4,54.8,60.7,164.5
Idanha-a-Nova,101.2,0,59.1,68.8,113.7
Oleiros,0,//,//,//,0
Penamacor,0,//,//,//,0
Proença-a-Nova,0,//,//,//,0
Vila Velha de Ródão,0,//,//,//,0
Médio Tejo,10,32.8,44.3,52.5,17
Abrantes,14.6,45.8,30,41.3,28.9
Alcanena,0,//,//,//,0
Constância,0,//,//,//,0
Entroncamento,0,//,//,//,0
Ferreira do Zêzere,0,//,//,//,0
Mação,0,//,//,//,0
Ourém,0,//,//,//,0
Sardoal,0,//,//,//,0
Sertã,0,//,//,//,0
Tomar,51.1,30,47.3,55.6,83.4
Torres Novas,0,//,//,//,0
Vila de Rei,0,//,//,//,0
Vila Nova da Barquinha,0,//,//,//,0
Beiras e Serra da Estrela,66.6,30.1,52.4,58.5,118.4
Almeida,0,//,//,//,0
Belmonte,0,//,//,//,0
Celorico da Beira,0,//,//,//,0
Covilhã,193.9,34.9,52.5,58.4,434.7
Figueira de Castelo Rodrigo,0,//,//,//,0
Fornos de Algodres,0,//,//,//,0
Fundão,0,//,//,//,0
Gouveia,0,//,//,//,0
Guarda,87,19.9,51.9,58.7,139.4
Manteigas,0,//,//,//,0
Mêda,0,//,//,//,0
Pinhel,0,//,//,//,0
Sabugal,0,//,//,//,0
Seia,15,0,56,59.3,38
Trancoso,0,//,//,//,0
A. M. Lisboa,49.9,27.6,53.6,58.1,113
Alcochete,0,//,//,//,0
Almada,74.8,66.8,46.1,54.1,111.4
Amadora,2.7,0,59.6,56.7,7.6
Barreiro,9.3,100,41.6,54.9,11.8
Cascais,26.7,0,51.5,51.1,75
Lisboa,224.4,24.3,55.6,60,645.8
Loures,0,//,//,//,0
Mafra,0,//,//,//,0
Moita,0,//,//,//,0
Montijo,0,//,//,//,0
Odivelas,4,0,54.5,62.5,9.5
Oeiras,27.5,43.6,33.4,37.5,67.2
Palmela,0,//,//,//,0
Seixal,0,//,//,//,0
Sesimbra,0,//,//,//,0
Setúbal,59.6,40.6,46,54.9,103.5
Sintra,1,31,36.9,15,0.5
Vila Franca de Xira,0,//,//,//,0
Alentejo,28.3,17.4,54.7,60.4,47.6
Alentejo Litoral,0,//,//,//,0
Alcácer do Sal,0,//,//,//,0
Grândola,0,//,//,//,0
Odemira,0,//,//,//,0
Santiago do Cacém,0,//,//,//,0
Sines,0,//,//,//,0
Baixo Alentejo,26.6,19.7,56.6,63.8,47.6
Aljustrel,0,//,//,//,0
Almodôvar,0,//,//,//,0
Alvito,0,//,//,//,0
Barrancos,0,//,//,//,0
Beja,86.5,19.7,56.6,63.8,174.1
Castro Verde,0,//,//,//,0
Cuba,0,//,//,//,0
Ferreira do Alentejo,0,//,//,//,0
Mértola,0,//,//,//,0
Moura,0,//,//,//,0
Ourique,0,//,//,//,0
Serpa,0,//,//,//,0
Vidigueira,0,//,//,//,0
Lezíria do Tejo,24.6,8.5,48.4,55.5,37.7
Almeirim,0,//,//,//,0
Alpiarça,0,//,//,//,0
Azambuja,0,//,//,//,0
Benavente,0,//,//,//,0
Cartaxo,0,//,//,//,0
Chamusca,0,//,//,//,0
Coruche,0,//,//,//,0
Golegã,0,//,//,//,0
Rio Maior,70.5,0,28.4,29.9,103.3
Salvaterra de Magos,0,//,//,//,0
Santarém,72.2,10.8,53.9,63.5,124.9
Alto Alentejo,28.6,7.1,62,68.9,42
Alter do Chão,0,//,//,//,0
Arronches,0,//,//,//,0
Avis,0,//,//,//,0
Campo Maior,0,//,//,//,0
Castelo de Vide,0,//,//,//,0
Crato,0,//,//,//,0
Elvas,21.4,0,58.7,59.8,43
Fronteira,0,//,//,//,0
Gavião,0,//,//,//,0
Marvão,0,//,//,//,0
Monforte,0,//,//,//,0
Nisa,0,//,//,//,0
Ponte de Sor,0,//,//,//,0
Portalegre,106,8.8,62.8,71.5,174.6
Sousel,0,//,//,//,0
Alentejo Central,51.8,25.6,55.9,59.6,95.2
Alandroal,0,//,//,//,0
Arraiolos,0,//,//,//,0
Borba,0,//,//,//,0
Estremoz,0,//,//,//,0
Évora,139.7,25.6,55.9,59.6,276.7
Montemor-o-Novo,0,//,//,//,0
Mora,0,//,//,//,0
Mourão,0,//,//,//,0
Portel,0,//,//,//,0
Redondo,0,//,//,//,0
Reguengos de Monsaraz,0,//,//,//,0
Vendas Novas,0,//,//,//,0
Viana do Alentejo,0,//,//,//,0
Vila Viçosa,0,//,//,//,0
Algarve,24.5,28.2,56.1,63.3,44.3
Albufeira,0,//,//,//,0
Alcoutim,0,//,//,//,0
Aljezur,0,//,//,//,0
Castro Marim,0,//,//,//,0
Faro,141.3,31.2,56.1,63.8,317.3
Lagoa,0,//,//,//,0
Lagos,0,//,//,//,0
Loulé,0,//,//,//,0
Monchique,0,//,//,//,0
Olhão,0,//,//,//,0
Portimão,18.3,10.5,52,56.8,30.8
São Brás de Alportel,0,//,//,//,0
Silves,7.9,0,72.5,70.8,6.6
Tavira,0,//,//,//,0
Vila do Bispo,0,//,//,//,0
Vila Real de Santo António,0,//,//,//,0
R. A. Açores,11.1,21,62.9,69,19.5
Santa Maria,0,//,//,//,0
Vila do Porto,0,//,//,//,0
São Miguel,15.715611227093481,20.551779288284685,62.49500199920032,68.31858407079646,29.051830522418758
Lagoa (R.A.A.),0,//,//,//,0
Nordeste,0,//,//,//,0
Ponta Delgada,33.2,20.6,62.5,68.3,61.6
Povoação,0,//,//,//,0
Ribeira Grande,0,//,//,//,0
Vila Franca do Campo,0,//,//,//,0
Terceira,7.5910931174089065,23.902439024390244,65.60975609756098,75,9.789807083213361
Angra do Heroísmo,11.8,23.9,65.6,75,16.4
Vila da Praia da Vitória,0,//,//,//,0
Graciosa,0,//,//,//,0
Santa Cruz da Graciosa,0,//,//,//,0
São Jorge,0,//,//,//,0
Calheta (R.A.A.),0,//,//,//,0
Velas,0,//,//,//,0
Pico,0,//,//,//,0
Lajes do Pico,0,//,//,//,0
Madalena,0,//,//,//,0
São Roque do Pico,0,//,//,//,0
Faial,0,//,//,//,0
Horta,0,//,//,//,0
Flores,0,//,//,//,0
Lajes das Flores,0,//,//,//,0
Santa Cruz das Flores,0,//,//,//,0
Corvo,0,//,//,//,0
Corvo,0,//,//,//,0
R. A. Madeira,16,25,53.5,54.6,27.6
Calheta (R.A.M.),0,//,//,//,0
Câmara de Lobos,0,//,//,//,0
Funchal,40.5,25,53.5,54.6,73.3
Machico,0,//,//,//,0
Ponta do Sol,0,//,//,//,0
Porto Moniz,0,//,//,//,0
Ribeira Brava,0,//,//,//,0
Santa Cruz,0,//,//,//,0
Santana,0,//,//,//,0
São Vicente,0,//,//,//,0
Porto Santo,0,//,//,//,0
