,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,72618,43070,6634,43739,5848,19196,9767,31236,8114,87642
Continente,68071,42518,4327,42846,5195,19037,8606,31152,6563,85639
Norte,23382,11508,844,13029,794,6756,1090,12266,1521,38759
Alto Minho,1534,78,0,273,0,168,0,432,0,1879
Arcos de Valdevez,179,0,0,0,0,2,0,19,0,186
Caminha,108,0,0,0,0,6,0,31,0,142
Melgaço,49,0,0,0,0,0,0,0,0,0
Monção,95,0,0,0,0,1,0,23,0,219
Paredes de Coura,89,0,0,0,0,0,0,14,0,142
Ponte da Barca,53,0,0,1,0,17,0,28,0,135
Ponte de Lima,53,0,0,3,0,2,0,41,0,217
Valença,0,0,0,0,0,0,0,0,0,57
Viana do Castelo,877,78,0,269,0,140,0,276,0,742
Vila Nova de Cerveira,31,0,0,0,0,0,0,0,0,39
Cávado,3068,1470,0,2250,36,1214,40,1965,0,5443
Amares,38,0,0,0,0,0,0,0,0,75
Barcelos,603,0,0,171,36,188,40,367,0,1307
Braga,1937,1283,0,1970,0,1005,0,1462,0,3241
Esposende,231,176,0,0,0,0,0,27,0,219
Terras de Bouro,22,11,0,0,0,0,0,0,0,0
Vila Verde,237,0,0,109,0,21,0,109,0,601
Ave,4240,959,0,829,0,416,0,882,0,2655
Cabeceiras de Basto,98,0,0,0,0,12,0,40,0,269
Fafe,428,236,0,124,0,66,0,164,0,394
Guimarães,1971,265,0,404,0,204,0,385,0,607
Mondim de Basto,48,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,97,0,0,0,0,0,0,33,0,164
Vieira do Minho,19,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1459,458,0,301,0,134,0,235,0,1062
Vizela,120,0,0,0,0,0,0,25,0,159
A. M. Porto,10862,7995,427,8810,406,4281,470,7480,173,23462
Arouca,94,0,0,0,0,0,0,20,0,75
Espinho,198,28,0,0,40,2,0,208,0,583
Gondomar,476,741,0,665,0,351,0,514,0,1134
Maia,971,673,0,530,0,298,0,329,0,654
Matosinhos,1400,676,194,613,0,180,0,504,0,1350
Oliveira de Azeméis,556,14,0,106,0,0,0,0,0,0
Paredes,208,149,0,218,0,201,0,211,0,498
Porto,1992,2947,233,3862,188,1966,255,3243,173,9399
Póvoa de Varzim,770,252,0,224,0,129,0,146,0,442
Santa Maria da Feira,983,232,0,338,0,246,0,322,0,881
Santo Tirso,268,221,0,345,0,153,0,309,0,825
São João da Madeira,254,55,0,111,0,38,0,67,0,263
Trofa,110,58,0,77,0,43,0,136,0,437
Vale de Cambra,49,0,0,0,0,0,0,0,0,37
Valongo,288,403,0,328,0,152,0,327,0,691
Vila do Conde,684,79,0,110,0,22,0,60,0,382
Vila Nova de Gaia,1561,1467,0,1283,178,500,215,1084,0,5811
Alto Tâmega,426,128,48,93,0,0,0,16,0,250
Boticas,34,0,0,0,0,0,0,0,0,0
Chaves,187,109,48,93,0,0,0,1,0,250
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,57,0,0,0,0,0,0,0,0,0
Valpaços,98,19,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,50,0,0,0,0,0,0,15,0,0
Tâmega e Sousa,1382,649,257,480,352,374,580,903,1348,2867
Amarante,152,140,185,0,352,0,540,0,1264,108
Baião,170,0,0,0,0,0,0,0,0,0
Castelo de Paiva,89,0,0,0,0,76,40,80,84,166
Celorico de Basto,25,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,63
Felgueiras,241,158,0,135,0,5,0,55,0,428
Lousada,130,95,0,172,0,112,0,159,0,208
Marco de Canaveses,35,47,0,0,0,0,0,11,0,87
Paços de Ferreira,229,149,0,165,0,119,0,288,0,639
Penafiel,311,24,72,8,0,62,0,310,0,1150
Resende,0,36,0,0,0,0,0,0,0,18
Douro,1073,147,59,133,0,143,0,179,0,1011
Alijó,100,0,0,0,0,0,0,0,0,0
Armamar,0,21,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,37,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,35,0,0,0,0,0,0,0,0,0
Lamego,123,14,0,38,0,16,0,35,0,84
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,82,0,0,0,0,0,0,0,0,86
Murça,24,0,0,0,0,0,0,21,0,97
Penedono,24,0,0,0,0,0,0,0,0,0
Peso da Régua,168,36,0,0,0,0,0,0,0,0
Sabrosa,15,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,83,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,1,0,10,0,28,0,138
Sernancelhe,17,0,0,0,0,0,0,0,0,120
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,34,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,15,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,23,0,0,0,0,0,0,0,0,0
