,"Nurses per 1 000 inhabitants , No., 2021 Po","Medical doctors per 1 000 inhabitants, No., 2021 Po","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2021","Hospitalisations in hospitals per 1 000 inhabitants , No., 2020 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2020 Po","Medical appointments in hospitals per inhabitant, No., 2020 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2020 Po","Annual bed-occupancy rate in hospitals, %, 2020 Po"
Portugal,7.8,5.7,0.3,95.9,2351,1.8,3.5,71
Continente,7.6,5.7,0.3,95.9,2281.3,1.8,3.3,70.4
Norte,7.8,5.7,0.3,97.4,978.9,2.1,3.4,67.1
Alto Minho,7.6,4.1,0.3,...,...,...,...,...
Arcos de Valdevez,4.8,2,0.3,0,0,0,0,//
Caminha,4.3,5.4,0.3,0,0,0,0,//
Melgaço,4.1,2.6,0.4,0,0,0,0,//
Monção,4.6,3.5,0.3,0,0,0,0,//
Paredes de Coura,3.4,1.5,0.3,0,0,0,0,//
Ponte da Barca,5.6,2.7,0.3,0,0,0,0,//
Ponte de Lima,5.3,2.9,0.2,0,0,0,0,//
Valença,3.3,2.2,0.2,0,0,0,0,//
Viana do Castelo,12.7,6.2,0.3,...,...,...,...,...
Vila Nova de Cerveira,3.5,3,0.3,0,0,0,0,//
Cávado,7,5.6,0.2,94.4,123.9,2.4,5.1,76
Amares,6.2,2.9,0.2,...,...,...,...,...
Barcelos,5.8,3.2,0.2,52.6,13.2,0.8,6,89
Braga,9.1,8.5,0.2,168.5,98.7,4.4,6.6,76.3
Esposende,4.2,4.7,0.2,...,...,...,...,...
Terras de Bouro,4.4,1.6,0.5,0,0,0,0,//
Vila Verde,4.7,2.1,0.2,...,...,...,...,...
Ave,5.7,3.8,0.2,60.9,64.1,1,2,60.4
Cabeceiras de Basto,4.6,2.8,0.3,0,0,0,0,//
Fafe,5.9,3.8,0.2,0,0,0,0,//
Guimarães,7,4.4,0.2,...,...,...,...,...
Mondim de Basto,5.2,1.9,0.3,0,0,0,0,//
Póvoa de Lanhoso,3.9,1.9,0.2,...,...,...,...,...
Vieira do Minho,4.7,1.5,0.3,0,0,0,0,//
Vila Nova de Famalicão,5,3.8,0.2,...,...,...,...,...
Vizela,4.6,3.2,0.2,0,0,0,0,//
A. M. Porto,8.6,7.7,0.2,121.5,627.6,2.7,4.2,63.4
Arouca,2.7,1.5,0.3,...,...,...,...,...
Espinho,4,7.4,0.3,...,...,...,...,...
Gondomar,4.1,4.6,0.2,0,0,0,0,//
Maia,4,7.3,0.2,0,0,0,0,//
Matosinhos,7,10,0.2,...,...,...,...,...
Oliveira de Azeméis,3.6,2.7,0.2,0,0,0,0,//
Paredes,3.9,2.3,0.2,...,...,...,...,...
Porto,29.8,22.2,0.5,544.3,363.8,11.5,18.5,70.6
Póvoa de Varzim,7.7,5.8,0.2,...,...,...,...,...
Santa Maria da Feira,5.6,3.3,0.2,113.2,49.6,1.8,2.7,86.8
Santo Tirso,6.3,4.1,0.3,122.1,17.2,2.1,3.9,74.4
São João da Madeira,5.2,4.2,0.2,0,0,0,0,//
Trofa,4,3.6,0.2,...,...,...,...,...
Vale de Cambra,2.6,3.9,0.3,0,0,0,0,//
Valongo,4.4,3.7,0.2,...,...,...,...,...
Vila do Conde,4.1,5,0.2,0,0,0,0,//
Vila Nova de Gaia,7,6.3,0.2,109.6,96.1,2.8,3,62.7
Alto Tâmega,9.1,3.8,0.4,0,0,0,0,//
Boticas,7.4,1.4,0.4,0,0,0,0,//
Chaves,13.2,6,0.3,0,0,0,0,//
Montalegre,5.8,1.5,0.5,0,0,0,0,//
Ribeira de Pena,5.8,1.2,0.3,0,0,0,0,//
Valpaços,5.1,2.3,0.5,0,0,0,0,//
Vila Pouca de Aguiar,5.7,2.5,0.3,0,0,0,0,//
Tâmega e Sousa,5.5,2.3,0.2,...,...,...,...,...
Amarante,6.3,3,0.3,0,0,0,0,//
Baião,4.2,1.3,0.3,0,0,0,0,//
Castelo de Paiva,2.3,1.3,0.3,0,0,0,0,//
Celorico de Basto,4.3,1.8,0.3,0,0,0,0,//
Cinfães,2.3,1.2,0.5,0,0,0,0,//
Felgueiras,4,2.4,0.2,...,...,...,...,...
Lousada,4.2,1.5,0.2,0,0,0,0,//
Marco de Canaveses,3.8,1.8,0.2,...,...,...,...,...
Paços de Ferreira,4.2,2.6,0.2,0,0,0,0,//
Penafiel,11.9,3.1,0.2,280.3,61.6,4.2,7.1,92.8
Resende,3.1,2,0.3,0,0,0,0,//
Douro,9.1,3.8,0.4,...,...,...,...,...
Alijó,4.8,1.2,0.8,0,0,0,0,//
Armamar,4.9,0.9,0.4,0,0,0,0,//
Carrazeda de Ansiães,4.6,1.5,0.4,0,0,0,0,//
Freixo de Espada à Cinta,5.3,0.9,0.3,0,0,0,0,//
Lamego,7.7,4.9,0.5,0,0,0,0,//
Mesão Frio,2.8,3.1,0.8,0,0,0,0,//
Moimenta da Beira,4.1,2.8,0.3,0,0,0,0,//
Murça,8.6,1.5,0.4,0,0,0,0,//
Penedono,4,1.1,0.4,0,0,0,0,//
Peso da Régua,7,3,0.5,0,0,0,0,//
Sabrosa,5,1.1,0.4,0,0,0,0,//
Santa Marta de Penaguião,3.6,1.5,0.3,0,0,0,0,//
São João da Pesqueira,3.1,1.6,0.4,0,0,0,0,//
Sernancelhe,2.8,1.4,0.4,0,0,0,0,//
Tabuaço,3.2,1,0.6,0,0,0,0,//
Tarouca,3,2.3,0.3,0,0,0,0,//
Torre de Moncorvo,5.1,1.9,0.4,0,0,0,0,//
Vila Nova de Foz Côa,4,2.2,0.6,0,0,0,0,//
Vila Real,19.5,7.8,0.3,...,...,...,...,...
Terras de Trás-os-Montes,11.3,3.9,0.3,...,...,...,...,...
Alfândega da Fé,7.2,2.1,0.5,0,0,0,0,//
Bragança,18.1,5.7,0.3,267.7,16.8,2.5,11.8,65.5
Macedo de Cavaleiros,11.2,3.3,0.3,0,0,0,0,//
Miranda do Douro,7.5,2.5,0.3,0,0,0,0,//
Mirandela,8.8,4.7,0.3,...,...,...,...,...
Mogadouro,5.7,2.2,0.4,0,0,0,0,//
Vila Flor,5.8,1.3,0.3,0,0,0,0,//
Vimioso,8.5,1.9,0.7,0,0,0,0,//
Vinhais,5.3,1.9,0.4,0,0,0,0,//
Centro,7.8,5.4,0.4,86.6,421.5,1.4,3.2,69.3
Oeste,4,2.3,0.3,39.3,25.1,0.8,1.6,54
Alcobaça,3.2,1.7,0.3,0,0,0,0,//
Alenquer,2.2,1.7,0.3,0,0,0,0,//
Arruda dos Vinhos,2.9,2.9,0.1,0,0,0,0,//
Bombarral,2.9,1.9,0.3,0,0,0,0,//
Cadaval,2.3,0.8,0.4,0,0,0,0,//
Caldas da Rainha,7.2,4,0.3,...,...,...,...,...
Lourinhã,1.9,1.9,0.2,0,0,0,0,//
Nazaré,2.3,1.9,0.4,...,...,...,...,...
Óbidos,1.8,1.2,0.4,0,0,0,0,//
Peniche,2.4,1.7,0.3,0,0,0,0,//
Sobral de Monte Agraço,2.1,2,0.3,0,0,0,0,//
Torres Vedras,6,2.8,0.3,...,...,...,...,...
Região de Aveiro,5.2,3.8,0.3,50,45,1,1.5,68.4
Águeda,4,2.9,0.3,0,0,0,0,//
Albergaria-a-Velha,3.2,3,0.4,0,0,0,0,//
Anadia,4.4,3.5,0.5,...,...,...,...,...
Aveiro,11.5,6.4,0.3,...,...,...,...,...
Estarreja,3.5,2.3,0.2,0,0,0,0,//
Ílhavo,2.4,3.4,0.2,0,0,0,0,//
Murtosa,2.7,1.9,0.4,0,0,0,0,//
Oliveira do Bairro,3.2,2.7,0.3,...,...,...,...,...
Ovar,3.9,4,0.3,12,3.2,0.5,0.6,50.7
Sever do Vouga,3.4,2,0.5,0,0,0,0,//
Vagos,2.7,2.8,0.3,0,0,0,0,//
Região de Coimbra,14.4,13.5,0.4,172.4,171.8,2.9,6.8,69.3
Arganil,4.1,1.2,0.4,0,0,0,0,//
Cantanhede,7.8,3.6,0.5,12.9,1.3,0.6,2.9,58
Coimbra,31.8,34.1,0.3,...,...,...,...,...
Condeixa-a-Nova,9,6.1,0.3,...,...,...,...,...
