,"Medical doctors, Total (N.º)","Medical doctors, Specialists (N.º)","Medical doctors, Non-specialists (N.º)","Specialist medical doctors, General surgery (N.º)","Specialist medical doctors, Stomatology (N.º)","Specialist medical doctors, Gynaecology and obstetrics (N.º)","Specialist medical doctors, Family and general medicine (N.º)","Specialist medical doctors, Ophthalmology (N.º)","Specialist medical doctors, Orthopaedics (N.º)","Specialist medical doctors, Paediatrics (N.º)","Specialist medical doctors, Psychiatry (N.º)"
Portugal,58735,36145,22590,1831,581,1850,8198,1140,1315,2284,1294
Continente,56535,34862,21673,1758,567,1781,7861,1113,1274,2210,1260
Norte,20602,12004,8598,574,162,592,2963,332,459,788,432
Alto Minho,957,482,475,18,5,21,183,13,13,32,13
Arcos de Valdevez,42,24,18,2,0,1,14,0,0,0,0
Caminha,86,45,41,2,0,1,16,0,2,5,2
Melgaço,20,12,8,0,0,0,8,0,0,0,0
Monção,62,28,34,0,0,2,14,1,1,0,0
Paredes de Coura,13,4,9,0,0,0,3,0,0,0,0
Ponte da Barca,30,16,14,0,0,0,11,1,0,1,1
Ponte de Lima,120,46,74,1,1,1,26,0,2,5,2
Valença,30,10,20,0,0,1,8,0,0,0,0
Viana do Castelo,527,281,246,13,4,15,77,11,8,21,8
Vila Nova de Cerveira,27,16,11,0,0,0,6,0,0,0,0
Cávado,2346,1162,1184,51,13,61,323,28,60,65,48
Amares,53,24,29,1,1,0,7,1,2,1,2
Barcelos,377,137,240,2,2,5,49,3,4,9,7
Braga,1643,885,758,43,10,50,236,23,47,51,33
Esposende,167,77,90,4,0,5,20,1,5,4,2
Terras de Bouro,10,2,8,0,0,0,1,0,0,0,0
Vila Verde,96,37,59,1,0,1,10,0,2,0,4
Ave,1570,713,857,36,0,36,260,16,22,41,15
Cabeceiras de Basto,43,16,27,0,0,1,10,0,0,0,1
Fafe,184,65,119,2,0,1,32,2,3,2,2
Guimarães,686,351,335,16,0,22,119,7,7,26,7
Mondim de Basto,12,4,8,0,0,0,3,0,0,0,0
Póvoa de Lanhoso,42,19,23,0,0,0,7,0,1,1,1
Vieira do Minho,18,7,11,0,0,0,5,0,0,0,0
Vila Nova de Famalicão,509,220,289,16,0,12,71,2,10,12,3
Vizela,76,31,45,2,0,0,13,5,1,0,1
A. M. Porto,13363,8593,4770,409,137,443,1783,256,326,584,333
Arouca,32,15,17,0,2,0,9,0,0,1,0
Espinho,229,145,84,4,1,10,40,1,9,19,4
Gondomar,748,410,338,17,4,16,125,12,11,30,12
Maia,990,612,378,20,8,25,147,13,18,48,14
Matosinhos,1734,1163,571,51,12,56,233,30,56,82,43
