,"Tax Households, No.","Taxable person, No.","Gross reported income, thousands euros","Taxable income, thousands euros","Personal income paid tax, thousands euros","Gross reported income less personal income paid tax, thousands euros"
Portugal,5296903,7367625,100984256,73213651,12588157,88396099
Continente,5065122,7044120,96723893,70144860,12186278,84537614
Norte,1802934,2567226,31671209,22195312,3547059,28124149
Alto Minho,117367,167421,1874087,1275086,177605,1696482
Arcos de Valdevez,10330,14673,141414,91344,11485,129929
Caminha,8389,11848,140862,98504,15898,124964
Melgaço,3776,5304,53488,35824,4679,48809
Monção,8683,12339,127979,86023,11195,116784
Paredes de Coura,4370,6338,60751,38473,4305,56446
Ponte da Barca,5718,8061,76750,48902,5687,71064
Ponte de Lima,20141,29236,297501,194008,23189,274311
Valença,7134,9939,102712,67272,7808,94905
Viana do Castelo,44117,63056,799368,565617,86962,712405
Vila Nova de Cerveira,4709,6627,73263,49118,6398,66865
Cávado,202689,290699,3596140,2507123,382734,3213405
Amares,8845,12934,135585,89702,10974,124611
Barcelos,57231,82606,879438,576668,72099,807338
Braga,94726,134570,1921714,1397443,238596,1683118
Esposende,17321,24830,306114,214674,34690,271424
Terras de Bouro,3078,4400,42166,27094,3105,39062
Vila Verde,21488,31359,311122,201541,23270,287853
Ave,213476,306577,3431925,2284320,306784,3125140
Cabeceiras de Basto,6962,10176,96176,61704,6987,89189
Fafe,24657,35401,360969,232461,28024,332945
Guimarães,81521,116543,1353221,907172,129135,1224086
Mondim de Basto,3027,4342,39329,24667,2756,36573
Póvoa de Lanhoso,9719,14167,139330,90172,10507,128822
Vieira do Minho,5535,7990,75444,48815,5747,69697
Vila Nova de Famalicão,69375,99885,1179060,800017,109955,1069105
Vizela,12680,18073,188396,119312,13673,174723
A. M. Porto,896050,1259185,17224136,12468245,2202456,15021679
Arouca,10210,15012,149977,97027,11568,138410
Espinho,16184,22618,304650,219501,38663,265987
Gondomar,83735,119037,1445919,1004295,146768,1299151
Maia,68072,97221,1469445,1094931,195464,1273981
Matosinhos,89938,125636,1928932,1441829,273065,1655866
Oliveira de Azeméis,35117,50813,600222,407810,58059,542163
Paredes,41945,60562,587849,379413,45375,542474
Porto,126548,164992,3137764,2480265,594276,2543488
Póvoa de Varzim,32475,46174,555519,390124,60079,495440
Santa Maria da Feira,69723,100464,1159412,787820,111018,1048393
Santo Tirso,36027,51608,595058,398171,55560,539498
São João da Madeira,12236,16868,214284,149188,23590,190694
Trofa,20028,28766,334435,226819,31362,303073
