,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Portugal,7554,10498,15586,26348,579252,1389361,866645,782315,934802,744528
Continente,7559,10504,15605,26377,552475,1327781,826934,750716,894093,713123
Norte,7287,9969,14373,23908,204266,520271,304213,268975,294206,211003
Alto Minho,6730,9681,13456,22079,14822,34858,20909,16984,18448,11346
Arcos de Valdevez,5610,8890,11590,18575,1669,3532,1787,1340,1294,708
Caminha,6512,9708,13718,23055,1118,2396,1447,1183,1367,878
Melgaço,6185,9193,12521,19575,570,1160,699,545,526,276
Monção,6365,9304,12553,20176,1206,2712,1619,1233,1212,701
Paredes de Coura,6356,9213,12237,19179,566,1462,817,635,626,264
Ponte da Barca,5610,8887,11204,18311,933,2019,1010,701,681,374
Ponte de Lima,6728,9389,12520,20002,2464,6625,3722,2911,2942,1477
Valença,6660,9468,12747,20328,921,2206,1379,1044,1095,489
Viana do Castelo,7497,10531,15409,25621,4789,11438,7555,6629,7929,5777
Vila Nova de Cerveira,7178,9946,13818,21628,586,1308,874,763,776,402
Cávado,7620,10150,14720,24136,21206,57847,34549,30626,34559,23902
Amares,7276,9714,13155,20978,1014,2727,1683,1296,1418,707
Barcelos,7557,9667,13299,20554,5754,18696,10352,9180,8943,4306
Braga,7988,11066,16881,28382,9419,23033,15162,13983,17974,15155
Esposende,7418,9861,14261,23508,1888,5196,2864,2626,2768,1979
Terras de Bouro,6263,9092,11861,19159,437,1054,541,420,434,192
Vila Verde,6876,9330,12503,19693,2694,7141,3947,3121,3022,1563
Ave,7630,9881,13740,21414,21612,65508,38934,35056,33555,18811
Cabeceiras de Basto,6365,8956,11736,18780,955,2517,1166,958,911,455
Fafe,6704,9179,12428,19416,3098,8436,4318,3692,3228,1885
Guimarães,7993,10057,14025,21536,7540,24723,14905,14027,12906,7420
Mondim de Basto,5959,8859,11136,17691,454,1164,500,375,365,169
Póvoa de Lanhoso,7005,9270,12538,19332,1200,3233,1786,1483,1406,611
Vieira do Minho,5960,8921,11803,18844,832,1915,929,761,743,355
Vila Nova de Famalicão,8022,10426,14661,23148,6353,19353,12874,11543,12168,7084
Vizela,7958,9743,13132,19480,1180,4167,2456,2217,1828,832
A. M. Porto,7620,10538,15512,26327,95987,234783,149216,134236,155792,126036
