,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Portugal,7500,10129,14695,23724,584784,1493412,887532,805920,969322,555933
Continente,7507,10135,14702,23721,557810,1428284,848098,773440,926939,530551
Norte,7255,9655,13706,21969,205965,557431,305119,273690,304385,156344
Alto Minho,6700,9373,12860,20597,14960,37468,20761,17149,18898,8131
Arcos de Valdevez,5593,8890,11148,17696,1688,3743,1757,1333,1325,484
Caminha,6443,9391,13078,21159,1133,2540,1501,1205,1353,657
Melgaço,6115,9181,11941,18251,579,1275,665,566,507,184
Monção,6315,9265,12019,18851,1215,2915,1596,1236,1230,491
Paredes de Coura,6321,9191,11788,18360,567,1571,785,638,628,181
Ponte da Barca,5569,8874,10815,17554,942,2145,974,703,676,278
Ponte de Lima,6713,9318,12082,19031,2483,7098,3586,2929,2983,1062
Valença,6633,9321,12202,18944,931,2389,1340,1054,1091,329
Viana do Castelo,7452,10169,14559,23316,4829,12372,7663,6752,8312,4189
Vila Nova de Cerveira,7087,9583,13102,20352,593,1420,894,733,793,276
Cávado,7604,9821,14047,22298,21381,62310,34205,31241,35750,17802
Amares,7223,9399,12653,19860,1019,2915,1650,1338,1392,531
Barcelos,7515,9349,12768,19496,5802,20106,10014,9254,8976,3079
Braga,7957,10651,15924,25387,9497,24936,15355,14428,19016,11494
Esposende,7379,9541,13558,21781,1904,5582,2863,2628,2870,1474
Terras de Bouro,6253,9056,11492,18162,442,1133,516,432,429,126
Vila Verde,6854,9304,12033,18701,2717,7638,3807,3161,3067,1098
Ave,7620,9558,13208,20271,21754,70802,37908,34842,34371,13799
Cabeceiras de Basto,6322,8939,11343,17921,959,2648,1135,975,938,307
Fafe,6679,9158,11976,18534,3132,8926,4228,3692,3267,1412
Guimarães,7958,9704,13520,20429,7585,26819,14435,14003,13159,5520
Mondim de Basto,5949,8839,10756,17028,458,1214,493,378,360,124
Póvoa de Lanhoso,6973,9249,12056,18477,1207,3443,1774,1447,1414,434
Vieira do Minho,5955,8898,11426,17980,838,2034,916,762,746,239
Vila Nova de Famalicão,7995,10039,14057,21731,6386,21183,12602,11410,12618,5176
Vizela,7936,9412,12709,18687,1189,4535,2325,2175,1869,587
A. M. Porto,7590,10164,14667,23719,96884,252737,152160,137375,162639,94255
Arouca,7114,9315,12337,18854,1116,3627,1859,1593,1519,496
Espinho,7553,10042,14175,23031,1698,4734,2885,2451,2760,1656
Gondomar,7480,9984,14098,22277,9230,24350,14889,13050,15161,7055
Maia,8255,11256,17100,27426,6477,16256,10767,10424,14503,9645
Matosinhos,8063,11042,16313,26247,8829,22085,14650,14403,18072,11899
Oliveira de Azeméis,7958,10121,13863,21849,3109,10611,6851,5628,6379,2539
Paredes,6253,8988,11519,18173,6210,15119,6961,5979,5636,2040
Porto,7261,10509,16450,28896,15320,32115,18221,17043,22783,21066
Póvoa de Varzim,6820,9358,13456,21724,4155,10211,5157,4872,5366,2714
Santa Maria da Feira,7449,9790,13420,21199,7412,21540,13101,10786,11804,5080
Santo Tirso,7994,9847,13392,20303,3078,11797,6917,6184,5634,2417
São João da Madeira,7345,9784,13503,21840,1295,3789,2254,1824,2001,1073
Trofa,7892,10020,13816,21440,1956,6021,3800,3248,3615,1388
Vale de Cambra,7908,10392,14113,22473,966,3216,2185,1853,2039,902
Valongo,7620,10166,14512,22861,5243,13505,8394,7648,9150,4186
Vila do Conde,7539,9993,14375,22887,4259,12113,6893,6495,7335,3793
Vila Nova de Gaia,7647,10365,14941,23976,16531,41648,26376,23894,28882,16306
Alto Tâmega,5932,8978,11719,19244,5887,13874,6112,5189,5585,2383
Boticas,5596,8794,10626,17010,374,889,345,302,248,97
Chaves,6256,9315,13089,21556,2491,5626,2744,2413,2975,1453
Montalegre,5723,8757,10838,17397,721,1655,669,546,539,191
Ribeira de Pena,5864,8890,10991,17444,414,1052,449,391,328,130
Valpaços,5546,8440,10512,16624,1087,2619,1041,764,798,229
Vila Pouca de Aguiar,6000,8931,11437,18050,800,2033,864,773,697,283
Tâmega e Sousa,6414,8967,11442,17840,27035,74932,32241,29216,24912,8833
Amarante,6110,8948,11387,18324,3671,9300,4068,3320,3230,1434
Baião,6460,9031,11481,17539,1004,3023,1361,1161,1008,263
