,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Portugal,2244715,1232717,1011998,46922,34119,12803,694199,482260,211939,1503594,716338,787256
Continente,2164118,1187469,976649,45276,32727,12549,675479,466645,208834,1443363,688097,755266
Norte,780252,434614,345638,8168,5875,2293,329340,215625,113715,442744,213114,229630
Alto Minho,45607,24038,21569,761,529,232,20528,12814,7714,24318,10695,13623
Arcos de Valdevez,3850,1750,2100,52,34,18,2226,1139,1087,1572,577,995
Caminha,1743,902,841,96,61,35,405,343,62,1242,498,744
Melgaço,763,335,428,15,10,5,248,165,83,500,160,340
Monção,2576,1371,1205,68,48,20,856,657,199,1652,666,986
Paredes de Coura,974,466,508,42,35,7,465,248,217,467,183,284
Ponte da Barca,1247,651,596,46,37,9,374,315,59,827,299,528
Ponte de Lima,7769,4180,3589,152,88,64,4093,2318,1775,3524,1774,1750
Valença,3561,1841,1720,40,27,13,945,584,361,2576,1230,1346
Viana do Castelo,19722,10750,8972,220,164,56,8554,5814,2740,10948,4772,6176
Vila Nova de Cerveira,3402,1792,1610,30,25,5,2362,1231,1131,1010,536,474
Cávado,98626,55414,43212,812,528,284,48617,31430,17187,49197,23456,25741
Amares,2916,1880,1036,127,66,61,1225,997,228,1564,817,747
Barcelos,29409,15020,14389,348,231,117,19436,10427,9009,9625,4362,5263
Braga,50771,29575,21196,113,82,31,19887,14327,5560,30771,15166,15605
Esposende,6840,4055,2785,99,60,39,3981,2793,1188,2760,1202,1558
Terras de Bouro,931,444,487,4,4,0,181,153,28,746,287,459
Vila Verde,7759,4440,3319,121,85,36,3907,2733,1174,3731,1622,2109
Ave,100802,55279,45523,737,551,186,60115,35747,24368,39950,18981,20969
Cabeceiras de Basto,2163,1156,1007,51,48,3,785,468,317,1327,640,687
Fafe,8634,4305,4329,25,18,7,4953,2548,2405,3656,1739,1917
Guimarães,42856,23358,19498,374,292,82,25713,15216,10497,16769,7850,8919
Mondim de Basto,582,377,205,31,22,9,212,173,39,339,182,157
Póvoa de Lanhoso,3552,1725,1827,45,31,14,1724,925,799,1783,769,1014
