,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Portugal,1247.21,1344.67,1128.5,949.72,970.11,895.39,1177.8,1235.51,1046.48,1288.54,1436,1154.37
Continente,1250.75,1349.35,1130.87,949.69,970.99,894.12,1178.66,1238.06,1045.92,1293.93,1442.82,1158.29
Norte,1145.23,1230.89,1037.52,909.86,930.88,856,1083.99,1152.3,954.47,1195.13,1318.68,1080.46
Alto Minho,1057.21,1126.88,979.58,881.59,928.69,774.2,1087.35,1149.53,984.07,1037.27,1109.54,980.53
Arcos de Valdevez,985.15,1049.99,931.12,820.57,845.28,773.89,1014.7,1079.94,946.33,948.75,1002.93,917.33
Caminha,918.06,946.57,887.48,865.2,908.95,788.94,936.88,933.66,954.73,916.01,960.08,886.51
Melgaço,913.56,962.45,875.29,764.47,797.91,697.58,875.04,867.81,889.42,937.13,1070.33,874.46
Monção,946.53,1012.97,870.95,834.25,861.71,768.33,977.22,998.06,908.4,935.26,1038.58,865.47
Paredes de Coura,964.2,1021.48,911.66,839.22,854.68,761.93,1010.63,1085.85,924.67,929.21,966.16,905.4
Ponte da Barca,902.82,943.01,858.91,940.71,987.58,748.04,933.6,954.74,820.74,886.79,925.15,865.07
Ponte de Lima,960.26,1002.07,911.55,799,830.1,756.23,958.52,974.2,938.05,969.22,1047.02,890.36
Valença,1004.89,1090.86,912.87,774.39,771.46,780.46,1193.53,1301.45,1018.96,939.27,997.89,885.7
Viana do Castelo,1153.04,1228.21,1062.97,994.19,1063.14,792.26,1165.14,1239.98,1006.32,1146.77,1219.54,1090.55
Vila Nova de Cerveira,1129.99,1225.03,1024.21,910.08,922.52,847.87,1182.35,1286.21,1069.31,1014.07,1098.64,918.43
Cávado,1088.49,1165.69,989.5,807.4,826.47,771.96,1054.43,1111.36,950.31,1126.79,1246.11,1018.06
Amares,984.23,1045.54,872.98,850.26,880.9,817.12,956.79,961.06,938.12,1016.6,1161.92,857.66
Barcelos,999.18,1070.92,924.3,795.54,817.46,752.26,975.97,1050.21,890.03,1053.44,1133.85,986.79
Braga,1186.4,1269.1,1071,805.13,807.98,797.58,1179.21,1215.05,1086.85,1192.44,1322.66,1065.89
Esposende,1002.53,1061.05,917.33,770.28,798.42,726.98,1012.16,1049.62,924.1,996.97,1100.7,916.94
Terras de Bouro,949.44,1114.63,798.84,733.98,733.98,//,1415.98,1493.3,993.48,837.4,918.06,786.96
Vila Verde,918,948.95,876.58,831.47,850.68,786.13,866.55,897.66,794.12,974.67,1040.52,924.03
Ave,1030.34,1111.92,931.27,791.69,799.53,768.47,1025.76,1122.2,884.27,1041.64,1101.63,987.34
Cabeceiras de Basto,847.31,876.44,813.86,808.31,816.83,672.03,766.3,796.19,722.17,896.73,939.59,856.79
Fafe,883.52,917.87,849.36,734.2,750.24,692.98,841.68,886.87,793.8,941.22,965.02,919.63
Guimarães,1013.72,1061.37,956.64,795.12,806.32,755.23,978.33,1039.31,889.93,1072.87,1113.61,1037
Mondim de Basto,834.75,837.16,830.33,723.04,720.68,728.82,771.72,773.59,763.47,884.39,911.67,852.76
Póvoa de Lanhoso,882.69,897.88,868.34,781.77,779.93,785.85,854.73,866.94,840.59,912.27,939.85,891.35
Vieira do Minho,855.3,872.62,835.89,812.29,778.36,883.54,771.31,772.92,763.16,883.19,939.14,841.53
Vila Nova de Famalicão,1135.77,1265.68,957.77,803.58,812.2,786.93,1168.21,1308.85,930.2,1085.54,1180.91,993.01
Vizela,904.89,973.72,838.59,714.08,720.09,700.03,885.36,961.14,807.95,951.56,1008.72,903.79
A. M. Porto,1257.11,1358.6,1126.77,1029.06,1055.28,950.36,1191.31,1259.2,1045.63,1293.58,1433.89,1154.31
Arouca,975.63,1033.89,879.29,914.42,932.76,802.83,1006.96,1065.23,862.79,936.29,987.72,896.36
Espinho,1002.26,1074.63,939.09,998.94,1074.24,…,1050.55,1087.08,984.89,978.54,1064.26,926.25
Gondomar,1046.37,1092.18,987.42,907.81,874.55,972.81,998.05,1023.23,930.6,1071.93,1147.85,1002.61
Maia,1297.46,1421.19,1120.41,815.49,835.88,789.18,1300.63,1359.25,1160.05,1297.19,1457.7,1110.22
Matosinhos,1387.5,1534.05,1208.28,991.36,1047.84,874.36,1502.48,1555.2,1327.21,1358.01,1526.91,1194.46
Oliveira de Azeméis,1172.21,1292.91,964.93,817.29,878.58,770.15,1216.05,1330,976.64,1065.85,1174.89,948.11
Paredes,960.88,994.14,904.63,992.12,881.99,1060.15,913.51,939.94,847.97,1025.21,1097.77,947.54
Porto,1498.25,1676.98,1316.61,1655.12,1849.11,1146.55,1572.17,1649.04,1389.27,1491.19,1680.32,1312.89
Póvoa de Varzim,1029.65,1092.46,958.63,1089.82,1129.94,955,954.93,1017.39,850.2,1065.97,1144.75,1000.56
Santa Maria da Feira,1126.41,1212.37,1001.01,1039.67,991.38,1229.11,1149.71,1225.93,1018.04,1096.55,1193.39,982.81
Santo Tirso,1040.92,1122.17,941.22,892.96,914.21,829.22,1045.93,1126.51,920.29,1035.52,1119.95,968.58
São João da Madeira,1146.21,1278.5,1012.47,…,…,//,1170.15,1289.26,1026.17,1118.87,1264.07,999.46
Trofa,1145.1,1203.67,1047.89,760.92,756.23,771.27,1212.14,1271.1,1108.32,1070.21,1125.91,984.34
Vale de Cambra,1183.24,1309.01,993.06,727.54,751.74,663,1224.52,1312.15,1039.4,1072.14,1301.04,926.69
Valongo,1116.97,1178.78,1015.36,826.38,848.39,696.55,1127.16,1153.08,1055.02,1111.97,1210.5,999.28
Vila do Conde,1172.35,1254.3,1053.43,986.49,1006.16,902.11,1192.91,1281.15,1026.53,1170.87,1258.66,1074.5
Vila Nova de Gaia,1203.08,1272.54,1110.35,1346.66,1292.79,1466.03,1169.27,1207.72,1068.58,1219.92,1321.24,1121.27
Alto Tâmega,975.61,1045.52,890.27,876.19,857.02,943.94,1041.68,1063.07,937.9,943.3,1036.45,882.56
Boticas,854.88,886.15,826.75,721.6,724.59,…,840.59,857.76,815.56,880.8,984.62,834.33
Chaves,1002,1084.42,906.91,1021.34,985.62,1111.47,1071.3,1086.32,988.19,975.12,1086.26,896.88
Montalegre,920.55,964.33,868.76,830.96,817.39,883.73,941.74,950.89,886.87,917.29,1003.99,866.4
Ribeira de Pena,1169.48,1292.5,917.55,1126.27,1188.15,…,1352.86,1368.22,1204.93,930.93,1050.32,862.71
Valpaços,863.61,845.78,881.4,731.26,748.26,667.54,842.42,825.3,918.34,874.88,868.83,878.33
Vila Pouca de Aguiar,946.55,993.93,870.49,728.07,718.19,747.84,976.33,990.29,893.54,929.07,1012.58,867.94
Tâmega e Sousa,936.96,981.62,876.49,799.37,808,773.76,902.06,953.64,811.96,998.38,1051.53,951.25
Amarante,950.61,980.28,899.85,775.67,763.58,800.19,924.82,948.41,833.25,985.03,1054.8,929.43
Baião,942.14,1002.59,834.69,841.51,930.23,720.85,960.71,1010.86,778.32,923.11,988.58,871.56
Castelo de Paiva,886.62,929.6,845.04,768.31,762.53,793.27,871.99,914.74,820.15,919.98,995.14,874.93
Celorico de Basto,845.04,888.2,789.02,743.13,751,694.75,850.24,901.5,747.7,844.07,876.48,821.11
Cinfães,947.02,978.73,819.27,776.18,830.75,667.05,979.55,986.93,858.94,867.9,939.7,811.2
Felgueiras,908.91,972.57,834.73,779.96,766.37,824.69,891.83,960.37,808.75,963.51,1020.69,905.72
Lousada,893.75,952.72,818.15,948.41,981.52,869.32,855.32,921.88,769.62,961.9,1008.12,903.76
Marco de Canaveses,904.22,944.21,826.7,815.93,832.11,751.22,896.84,931.8,783.78,918.1,978.91,858.54
Paços de Ferreira,933.65,985.5,867.47,737.2,766.58,649.07,884,922.66,832.46,1023.23,1105.43,926.39
Penafiel,1037.06,1065.41,1006.59,794.91,797.59,784.74,948.86,1012.24,844.25,1138.18,1165.06,1120.4
Resende,880.1,920.45,822.52,783.64,803.88,715.13,940.71,948.48,856.58,853.9,904.27,823.79
Douro,993.68,1028.49,954.91,889.71,905.57,854.02,998.08,993.55,1012.4,1001.82,1075.09,950.13
Alijó,950.64,1016.09,883.08,985.14,1025.08,867.49,1066.33,1101.69,1000.92,897.35,957.67,855.68
Armamar,906.84,938.64,864.19,843.16,868.15,774.09,898.46,910.23,862.96,930.78,1005.45,876.8
Carrazeda de Ansiães,882.55,921.87,845.39,819.09,833.42,790.43,870.44,887.61,756.38,891.77,959.52,853.1
Freixo de Espada à Cinta,900.71,920.41,883.16,875.56,787.91,…,887.78,870.79,1034.99,906.51,990.22,871.08
Lamego,958.03,998.22,911.5,775.22,777.02,769.89,924.35,933.77,893.96,985.95,1078.97,918.99
Mesão Frio,855.91,908.18,806.17,766.38,756.9,788.52,817.27,829.12,735.36,880.69,1024.46,811.85
Moimenta da Beira,877.37,946.47,805.97,792.51,815.66,751.52,888.31,912.36,773.88,882.38,997.26,812.6
Murça,938.01,932.69,944.07,955.3,1034.51,697.84,866.69,861.56,885.01,972.38,984.73,964.77
Penedono,831.84,843.46,819.93,802.71,788.77,816.16,752.29,748.95,783.31,870.63,955.51,822.92
Peso da Régua,1005.07,1099.6,912.43,828.2,808.42,866.06,1195.97,1269.25,991.62,963.45,1046.77,904.23
Sabrosa,984.87,1017.15,953.35,1080.72,1100.57,1051.64,1068.06,1073.51,1056.41,890.15,878.42,895.99
Santa Marta de Penaguião,871.56,872.47,870.39,850.64,856.04,829.87,876.11,866.35,914.83,873.98,893.01,864.4
São João da Pesqueira,980.42,1044.47,898.85,932.87,964.79,852.39,994.59,998.05,983.36,998.77,1169.25,894.68
Sernancelhe,848.4,880.65,803.28,750.44,775.03,684.86,835.21,840.66,804.92,861.4,942.17,805.59
Tabuaço,973.43,1030.1,909.6,976.38,1043.44,861.4,1048.15,1027.47,1118.38,918.67,1028.24,864.95
Tarouca,855.18,870.95,824.2,835.83,845.89,735.17,874.52,869.05,906.44,838.7,876.98,804.28
Torre de Moncorvo,891.67,930.6,851.43,804.12,816.8,760.2,911.86,936.76,810.25,894.06,951.35,859.52
Vila Nova de Foz Côa,935.43,1003.73,863.46,878.71,880.74,871.56,1006.62,1041.57,882.65,898.01,994.13,859.07
Vila Real,1115.35,1133.09,1096.26,866.64,882.58,845.59,1101.62,1076.05,1164.99,1124.65,1169.41,1087.77
Terras de Trás-os-Montes,988.17,1029.07,948.23,867.44,854.87,893.33,977.59,994.65,922.6,997.14,1064.56,952.93
Alfândega da Fé,889.93,920.91,859.45,893.78,901.13,869.28,786.35,794.03,749.72,918.13,1001.12,867.55
Bragança,1046.87,1084.98,1007.67,784.8,802.94,679.99,1023.74,1035.72,988.94,1059.82,1128.76,1012.07
Macedo de Cavaleiros,930.67,937.96,923.82,814.65,805.53,833.5,869.91,877.82,838.13,953.38,982.98,934.01
Miranda do Douro,916.03,985.74,852.51,847.88,842.39,860.21,996.9,1058.07,756.39,890.54,940.58,862.95
Mirandela,1001.38,1047.98,957.06,824.72,830.37,806.7,989.44,1028.17,883.33,1011.5,1073.85,969.13
Mogadouro,920.96,999.48,841.23,795.56,810.16,762.38,917.84,943.64,793.28,928.14,1042.45,846.73
Vila Flor,969.79,1009.75,931.84,1004.14,1005.44,1002.96,1044.66,1045.78,1039.75,929.56,979.63,901.17
Vimioso,890.32,904.47,880.27,790.71,717.93,…,847.39,837.56,898.26,908.36,1001.68,876.98
Vinhais,853.91,882.39,825.21,731.86,773.23,…,794.92,799.83,777.72,877.94,947.24,833.02
Centro,1104.06,1206.51,977.25,935.6,974.53,850.23,1154.78,1221.12,1003.81,1077.06,1206.98,970.44
Oeste,1061.13,1150.45,951.53,952.75,1004.47,831.19,1104.21,1154.7,987.07,1047.34,1167.64,946.77
Alcobaça,1038.68,1127.75,931.34,850.17,869.71,812.89,1075.98,1143.49,929.69,1019.47,1141.58,938.72
Alenquer,1217.74,1303.48,1062.22,947.67,921.82,1023.3,1273.44,1334.67,1124.68,1175.83,1285.78,1022.76
Arruda dos Vinhos,1107.84,1170.19,1000.03,1018.55,1081.38,912.89,1108.77,1134.49,1030.31,1110.06,1186.49,996.64
Bombarral,967.68,998.91,929.37,866.53,890.59,839.91,900.22,898.98,905.68,1015.87,1092.95,950.4
Cadaval,1017.51,1121.91,911.13,877.84,914.75,774.1,1050.16,1109.53,878.32,1028.71,1220.54,927.94
Caldas da Rainha,1019.26,1127.15,921.8,849.23,884.96,762.16,1084.72,1151.23,924.7,1006.56,1131.13,924.34
Lourinhã,999.69,1076.7,894.87,1268.23,1403.36,868.42,953.03,959.79,925.37,966.23,1065.67,892.12
