,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Portugal,1247.21,820.42,894.42,944.47,979.97,1136.98,1141.9,1900.94,1907.36,1964.19,2692.53
Continente,1250.75,817.39,891.13,942.27,980.92,1138.63,1146.68,1900.96,1908.75,1962.57,2700.52
Norte,1145.23,802.58,873,910.31,939.81,1069.97,1028.21,1758.76,1738.73,1796.57,2608.01
Alto Minho,1057.21,863.51,871.97,897.75,923.4,995.89,1027.27,1505.87,1606.25,1662.45,1774.63
Arcos de Valdevez,985.15,707.79,811.17,836.95,867.44,940.74,…,1538.96,1482.07,1787.63,//
Caminha,918.06,774.07,808.31,850.61,840.15,871.18,…,1693.29,1264.53,1314.69,…
Melgaço,913.56,//,800.63,779.05,807.75,863.76,…,1654.03,1351.37,1418.85,//
Monção,946.53,812.72,863.85,851.64,874.53,928.87,1156.49,1291.07,1261.1,1155.43,//
Paredes de Coura,964.2,…,763.13,839.95,849.6,971.85,…,1571.95,1453.99,1664.64,//
Ponte da Barca,902.82,…,869.91,813.55,848.45,883.5,…,1225.13,1218.05,968.93,//
Ponte de Lima,960.26,832.27,806.04,845.77,879.87,966.09,763.05,1389.37,1374.41,1271.85,1491.42
Valença,1004.89,707.94,881.2,883.89,911.21,1000.7,//,1079.91,1468.85,1414.71,1198.91
Viana do Castelo,1153.04,937.31,944.58,948.09,974.95,1033.37,1079.75,1617.69,1739.07,1818.77,2166.81
Vila Nova de Cerveira,1129.99,…,924.71,969.75,973.51,1112.23,…,1332.32,1881.82,1682.83,1776.37
Cávado,1088.49,783.34,875.82,941.18,929.24,1007.12,939.32,1519.17,1582.02,1666.72,2287.46
Amares,984.23,708.49,919.86,946.07,907.4,985.84,…,1118.35,1343.86,1275.5,2129.49
Barcelos,999.18,793.19,864.85,890.22,934.89,968.45,976.7,1472.08,1488.77,1475.77,1923.36
Braga,1186.4,791.15,894.43,1045.42,957.49,1045.67,933.35,1547.97,1644.5,1731.16,2360.55
Esposende,1002.53,774.61,855.23,848.93,871.55,987.55,…,1515.69,1555.42,1494.84,1595.44
Terras de Bouro,949.44,757.99,769.56,756.63,792.63,995.99,//,2065.58,1340.89,1558.53,//
Vila Verde,918,733.08,830.77,847.29,844.16,890.1,910.88,1337.73,1300.17,1285.27,1068.08
Ave,1030.34,796.5,845,868.4,916,1047.94,1036.41,1658.97,1569.93,1550.7,2284.05
Cabeceiras de Basto,847.31,…,783.36,788.58,800.38,846.73,…,1094.76,1108.9,1078.6,…
Fafe,883.52,750.44,799.41,796.7,819.87,907.9,…,1457.34,1250.83,1362.74,1666.28
Guimarães,1013.72,794.44,832.73,869.54,901.29,995.98,1104.98,1615.15,1535.51,1507.68,2420.77
Mondim de Basto,834.75,…,776.3,762.31,765.96,874.58,//,1101.1,1156.04,1080.75,//
Póvoa de Lanhoso,882.69,812.85,801.61,816.9,818.03,868.99,…,1220.19,1255.36,1149.13,1202.67
Vieira do Minho,855.3,…,830.5,774.21,794.11,883.95,730.24,951.32,1145.79,1043.61,…
Vila Nova de Famalicão,1135.77,812.86,892.58,909.76,998.57,1170.5,1010.95,1899.22,1750.89,1684.18,2143.88
Vizela,904.89,747.32,820.42,829.79,833.98,956.66,…,1117.06,1421.14,1140.71,1695.82
A. M. Porto,1257.11,800.74,905.44,948.12,981.15,1140.21,1080.42,1881.51,1856.64,1884.03,2730.1
Arouca,975.63,831.84,836.96,905.96,908.73,961.02,1061.43,1354.77,1381.59,1390.47,…
Espinho,1002.26,731.5,855.87,862.39,834.64,949.74,…,1595.29,1469.15,1497.82,1013.99
Gondomar,1046.37,751.11,860.4,929.68,906.34,1009.29,1081.29,1624.22,1478.32,1535.46,2573.64
Maia,1297.46,829.62,860.93,977.17,1004.33,1183.53,1291.06,2085.67,1966.47,1900.53,2452.26
Matosinhos,1387.5,819.23,921.52,976.45,1035.39,1193.82,994.16,2003.29,1969.43,2000.34,2956.08
Oliveira de Azeméis,1172.21,799.85,939.54,988.29,1074.51,1155.01,969.87,1795.14,1913.67,1608.25,2597.21
Paredes,960.88,726.25,843.71,856.58,875.29,940.98,1080.68,1363.52,1414.49,1419.33,2599.27
Porto,1498.25,832.36,924.67,971.3,1006.1,1269.26,1040.94,1965.77,1929.82,1965.6,2706.89
Póvoa de Varzim,1029.65,796.84,916.05,887.86,906.22,995.16,1095.04,1424.6,1522.36,1564.32,1813.93
Santa Maria da Feira,1126.41,856.37,953.77,960.56,965.35,1097.59,1016.36,1631.8,1799.25,1726.51,1897.81
Santo Tirso,1040.92,746.68,854.3,872.12,936.68,1058.25,1334,1742.1,1668.03,1573.53,2796.21
São João da Madeira,1146.21,802.83,937.64,937.67,993.08,1069.98,983.52,1846.2,1765.17,1820.1,2283.93
Trofa,1145.1,850.3,907.41,974.47,943.97,1027.14,855.7,1846.96,1943.28,2044.6,4700.99
Vale de Cambra,1183.24,799.83,943.58,991.16,1038.74,1072.77,910.27,2106.52,1951.26,1556.34,2423.92
Valongo,1116.97,829.71,951.19,956.35,966.75,1094.76,…,1625.86,1684.9,1614.36,2310.1
Vila do Conde,1172.35,862.55,942.34,963.19,990.06,1107.54,1128.14,1853.97,1789.66,1822.21,2772.71
Vila Nova de Gaia,1203.08,745.39,908.86,955.98,978.84,1092.88,1061.57,1768.91,1746.19,1821,2327.96
Alto Tâmega,975.61,828.9,828.66,849.13,858.51,966.39,785.91,1450.89,1391.96,1455.21,2289.7
Boticas,854.88,…,782.47,773.72,804.99,829.28,//,995.47,1361.65,1480.96,//
Chaves,1002,767.81,840.62,857.17,858.58,989.11,808.56,1181.88,1422.08,1571.37,2841.57
Montalegre,920.55,1086.78,842.23,786.14,833.47,994.03,//,1204.25,1143.64,1074.94,…
Ribeira de Pena,1169.48,768.35,946.26,1016.66,1089.9,1090.68,//,2995.77,1548.89,1782.49,//
Valpaços,863.61,976.12,763.71,811.07,765.86,842.36,…,1078.93,1232.64,1368.07,…
Vila Pouca de Aguiar,946.55,755.07,787.14,835.21,844.96,945.77,//,1312.89,1502.81,1091.94,//
Tâmega e Sousa,936.96,819.31,834.89,848.03,867.48,933.45,900.21,1445.16,1470.2,1537.42,2013.96
Amarante,950.61,794.21,869.26,883.02,847.87,908.92,767.8,1298.85,1410.63,1417.91,…
Baião,942.14,875.52,792.31,849.86,1032.61,888.27,…,1476,1156.7,1179.13,…
Castelo de Paiva,886.62,743.61,788.01,815.35,821.58,902.36,…,1920.08,1367.12,1257.92,…
Celorico de Basto,845.04,735.05,821.02,797.61,812.13,833.31,1001.99,1028.44,1150.68,1128,…
