,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Portugal,1247.21,940.5,1062.15,1160.59,1250.02,1376.31,1516.5,1502.96
Continente,1250.75,942.47,1066.1,1165.34,1254.49,1383.12,1522.94,1500.22
Norte,1145.23,893.23,984.89,1066.82,1151.87,1262.05,1353.13,1436.61
Alto Minho,1057.21,860.17,920.72,982.2,1140.99,1079.1,1198.61,1321.4
Arcos de Valdevez,985.15,824.61,888.71,961.01,1287.77,889.94,1057.13,1082.11
Caminha,918.06,809.78,839.7,909.63,997.27,1877.83,1001.39,1292.92
Melgaço,913.56,845.21,860.85,1004.46,967.69,773.49,798.3,1665.38
Monção,946.53,825.93,943.54,990.9,1147.77,821.91,921.8,1255.02
Paredes de Coura,964.2,826.35,891.86,876.35,968.87,1402.56,714.58,1785.02
Ponte da Barca,902.82,828.33,838.53,902.39,1237.17,817.95,828.57,1525.97
Ponte de Lima,960.26,824.85,861.34,910.38,1036.51,880.32,1114.27,1232.21
Valença,1004.89,905.99,977.2,1082.16,1307.86,978.34,1108.51,993.41
Viana do Castelo,1153.04,904.43,965.82,1016.98,1164.58,1135.3,1298.78,1518.13
Vila Nova de Cerveira,1129.99,865.16,1015.05,1053.81,928.51,1199.97,1240.87,1187.24
Cávado,1088.49,866.73,962.57,1006.82,1086.23,1241.52,1199.16,1460.06
Amares,984.23,846.29,858.21,894.46,1057.13,1766.58,1095.07,1550.25
Barcelos,999.18,835.77,902.02,916.62,1057.08,1150.46,1345.09,1309.93
Braga,1186.4,906.68,1040.51,1092.35,1147.36,1317.08,1165.62,1497.94
Esposende,1002.53,850.29,929.04,1001.26,1083.03,1148.63,1122.41,1214.73
Terras de Bouro,949.44,752.79,754.3,852.05,836.48,1088.48,820.31,2516.11
Vila Verde,918,838.15,900.01,936.26,948.35,913.87,965.69,1140.27
Ave,1030.34,859.49,895.26,955.54,1005.62,1078.04,1084.31,1424.37
Cabeceiras de Basto,847.31,780.09,802.13,903.89,816.55,1072.39,912.47,1276.33
Fafe,883.52,799.3,827.79,835.65,968.59,1142.08,922.57,1281.77
Guimarães,1013.72,885.22,896.54,980.59,993.9,1042.13,956.97,1339.23
Mondim de Basto,834.75,774.36,833.69,774.82,934.08,733.41,769.56,2142.05
Póvoa de Lanhoso,882.69,796.08,830.15,876.02,873.06,1020.59,870.26,1472.44
Vieira do Minho,855.3,774.7,820.57,853.14,991.77,887.52,893.96,1144.66
Vila Nova de Famalicão,1135.77,882.28,959.46,999.3,1063.69,1166.11,1244.22,1523.7
Vizela,904.89,837.09,816.49,869.3,947.6,904.63,1038.18,1133.69
A. M. Porto,1257.11,950.72,1063.86,1179.49,1299.68,1417.53,1509.77,1449.49
Arouca,975.63,807.64,920.41,1021.23,1045.48,1177.07,//,1606.09
Espinho,1002.26,879.5,930.12,975.22,989.14,1132.21,1002.42,1323.37
Gondomar,1046.37,872.95,938.22,1090.03,1124.47,1169.2,1059.59,1326.38
Maia,1297.46,1016.64,1179.99,1275.96,1434.31,1516.1,1569.61,1234.58
Matosinhos,1387.5,982.85,1157.48,1280.71,1427.7,1456.47,1763.27,1574.08
Oliveira de Azeméis,1172.21,934.83,971.37,1079.48,1170.52,1353.38,1430.54,1293.69
Paredes,960.88,820.78,896.47,937.85,974.44,1053.25,1385.39,1534.7
Porto,1498.25,1068.21,1198.49,1433.72,1586.03,1862.84,1611.63,1624.45
Póvoa de Varzim,1029.65,875.4,906.35,985.21,1048.26,1238.09,1354.31,1280.06
Santa Maria da Feira,1126.41,921.1,1027.12,1152.39,1166.5,1245.97,1444.04,1281.82
Santo Tirso,1040.92,870.12,981.27,995.87,996.16,1183.14,1236.22,1202.46
São João da Madeira,1146.21,971.09,1117.97,1125.86,1258.71,1187.47,883.88,1198.85
Trofa,1145.1,895.55,985.63,1128.56,1160.7,1116.63,1736.74,1042.03
Vale de Cambra,1183.24,924.09,1097.85,1163.32,1229.15,1229.29,1352.61,1298.83
Valongo,1116.97,895.79,977.05,1047.39,1188.52,1351.33,1278.09,1363.53
Vila do Conde,1172.35,901.37,1089.47,1106.87,1380,1335.79,1355.08,1264.24
Vila Nova de Gaia,1203.08,946.49,1019.1,1141.15,1306.39,1284.39,1258.43,1426.5
Alto Tâmega,975.61,798.51,909.8,1061.83,969.98,1128.64,965.21,1397.01
Boticas,854.88,784.03,863.96,825.16,936.89,879.79,950.02,870.92
Chaves,1002,795.3,936.8,1062.07,956.36,1207.63,984.91,1405.12
Montalegre,920.55,802.88,821.72,880.06,2081.96,945.24,1683.95,2062.08
Ribeira de Pena,1169.48,874.05,846.8,1314.15,1370.83,1148.09,//,1760.44
Valpaços,863.61,779.86,864.42,927.12,849.87,891.3,879.46,1722.67
